pos,sample,date,type,weight,n_per,c_per
1,BLANK,07/27/2021,Blank,NA,0,0
2,ASP1,07/27/2021,STD,1.054,10.55000019,36.09000015
3,ASP3,07/27/2021,STD,2.963,10.55000019,36.09000015
4,ASP5,07/27/2021,STD,4.919,10.55000019,36.09000015
5,ASP10,07/27/2021,STD,9.993,10.55000019,36.09000015
6,BLANK,07/27/2021,Blank,NA,0,0
7,SRM,07/27/2021,UNK,30.034,0.328096747,3.247223854
8,SRM,07/27/2021,UNK,29.949,0.3030653,3.263396263
9,SRM,07/27/2021,UNK,30,0.281506985,3.262246847
10,BLANK,07/27/2021,UNK,1,0,0
11,CFP056,07/27/2021,UNK,25.078,0.279138625,2.388162613
12,CFP056,07/27/2021,UNK,25.041,0.306564599,2.764724016
13,CFP053,07/27/2021,UNK,25.017,0.318095893,2.729360342
14,CFP053,07/27/2021,UNK,24.991,0.360854626,3.116039753
15,CFP037,07/27/2021,UNK,25.085,0.271065712,2.435359001
16,CFP037,07/27/2021,UNK,25.102,0.268087804,2.591759682
17,CFP016,07/27/2021,UNK,25.086,0.289307505,2.506042957
18,CFP016,07/27/2021,UNK,25.085,0.27964586,2.535223484
19,CFP049,07/27/2021,UNK,24.975,0.266827077,2.34058857
20,CFP049,07/27/2021,UNK,25.052,0.277781695,2.551635742
21,BLANK,07/27/2021,UNK,1,0,0
22,SRM,07/27/2021,UNK,30.105,0.307496041,3.360599518
23,CFP028,07/27/2021,UNK,25.021,0.283533096,2.681615353
24,CFP028,07/27/2021,UNK,24.953,0.290366262,2.711296797
25,CFP075,07/27/2021,UNK,25.003,0.310042173,2.555027485
26,CFP075,07/27/2021,UNK,25.017,0.30450961,2.522994995
27,CFP021,07/27/2021,UNK,25.09,0.307001084,2.607200384
28,CFP021,07/27/2021,UNK,24.929,0.309034139,2.586287975
29,CFP109,07/27/2021,UNK,25.081,0.322696984,2.60007
30,CFP109,07/27/2021,UNK,25.072,0.295919716,2.47740674
31,CFP007,07/27/2021,UNK,24.95,0.281193942,2.288997889
32,CFP007,07/27/2021,UNK,25.043,0.309599251,2.596884012
33,BLANK,07/27/2021,UNK,1,0,0
34,SRM,07/27/2021,UNK,30.053,0.324087411,3.181187391
35,CFP018,07/27/2021,UNK,24.979,0.277929425,2.73551631
36,CFP018,07/27/2021,UNK,25.023,0.292008251,2.628801346
37,CFP020,07/27/2021,UNK,24.994,0.300541461,2.515043736
38,CFP020,07/27/2021,UNK,25.018,0.296648979,2.442275763
39,CFP112,07/27/2021,UNK,25.012,0.300953478,2.437800407
40,CFP112,07/27/2021,UNK,24.922,0.297998577,2.419430971
41,CFP062,07/27/2021,UNK,24.935,0.366892904,2.94548583
42,CFP062,07/27/2021,UNK,24.963,0.346478671,2.738745451
43,CFP015,07/27/2021,UNK,25.005,0.314611942,2.589371204
44,CFP015,07/27/2021,UNK,24.967,0.295822352,2.587166548
45,BLANK,07/27/2021,UNK,1,0,0.050403174
46,SRM,07/27/2021,UNK,30.059,0.345039934,3.627066851
47,CFP115,07/27/2021,UNK,25.048,0.290691853,2.37391758
48,CFP115,07/27/2021,UNK,24.999,0.282467514,2.49401021
49,CFP113,07/27/2021,UNK,24.963,0.33843258,2.656700373
50,CFP113,07/27/2021,UNK,25.07,0.350382417,2.894162893
51,CFP114,07/27/2021,UNK,25.081,0.293126732,2.433043957
52,CFP114,07/27/2021,UNK,24.973,0.299028724,2.480117083
53,CFP083,07/27/2021,UNK,24.99,0.301403999,2.528461695
54,CFP083,07/27/2021,UNK,25.084,0.303091556,2.586863518
55,CFP066,07/27/2021,UNK,24.985,0.297808439,2.430011034
56,CFP066,07/27/2021,UNK,24.903,0.332527816,2.544022322
57,BLANK,07/27/2021,UNK,1,0,0
58,SRM,07/27/2021,UNK,30.061,0.30209589,3.158790112
