pos,sample_no,type,n_per,c_per
1,BLANK,Blank,0,0
2,ASP1,STD,10.55000019,36.09000015
3,ASP3,STD,10.55000019,36.09000015
4,ASP5,STD,10.55000019,36.09000015
5,ASP10,STD,10.55000019,36.09000015
6,BLANK,Blank,0,0
7,SRM,UNK,0.328096747,3.247223854
8,SRM,UNK,0.3030653,3.263396263
9,SRM,UNK,0.281506985,3.262246847
10,BLANK,UNK,0,0
11,CFP056,UNK,0.279138625,2.388162613
12,CFP056,UNK,0.306564599,2.764724016
13,CFP053,UNK,0.318095893,2.729360342
14,CFP053,UNK,0.360854626,3.116039753
15,CFP037,UNK,0.271065712,2.435359001
16,CFP037,UNK,0.268087804,2.591759682
17,CFP016,UNK,0.289307505,2.506042957
18,CFP016,UNK,0.27964586,2.535223484
19,CFP049,UNK,0.266827077,2.34058857
20,CFP049,UNK,0.277781695,2.551635742
21,BLANK,UNK,0,0
22,SRM,UNK,0.307496041,3.360599518
23,CFP028,UNK,0.283533096,2.681615353
24,CFP028,UNK,0.290366262,2.711296797
25,CFP075,UNK,0.310042173,2.555027485
26,CFP075,UNK,0.30450961,2.522994995
27,CFP021,UNK,0.307001084,2.607200384
28,CFP021,UNK,0.309034139,2.586287975
29,CFP109,UNK,0.322696984,2.60007
30,CFP109,UNK,0.295919716,2.47740674
31,CFP007,UNK,0.281193942,2.288997889
32,CFP007,UNK,0.309599251,2.596884012
33,BLANK,UNK,0,0
34,SRM,UNK,0.324087411,3.181187391
35,CFP018,UNK,0.277929425,2.73551631
36,CFP018,UNK,0.292008251,2.628801346
37,CFP020,UNK,0.300541461,2.515043736
38,CFP020,UNK,0.296648979,2.442275763
39,CFP112,UNK,0.300953478,2.437800407
40,CFP112,UNK,0.297998577,2.419430971
41,CFP062,UNK,0.366892904,2.94548583
42,CFP062,UNK,0.346478671,2.738745451
43,CFP015,UNK,0.314611942,2.589371204
44,CFP015,UNK,0.295822352,2.587166548
45,BLANK,UNK,0,0.050403174
46,SRM,UNK,0.345039934,3.627066851
47,CFP115,UNK,0.290691853,2.37391758
48,CFP115,UNK,0.282467514,2.49401021
49,CFP113,UNK,0.33843258,2.656700373
50,CFP113,UNK,0.350382417,2.894162893
51,CFP114,UNK,0.293126732,2.433043957
52,CFP114,UNK,0.299028724,2.480117083
53,CFP083,UNK,0.301403999,2.528461695
54,CFP083,UNK,0.303091556,2.586863518
55,CFP066,UNK,0.297808439,2.430011034
56,CFP066,UNK,0.332527816,2.544022322
57,BLANK,UNK,0,0
58,SRM,UNK,0.30209589,3.158790112
