System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-01-11	16:8:54	-1.36207e1	1.79419e-1	-3.94772e1	5.15767e1	1.10873e2	-4.6228170e-3	1.8393993e-3	1.2036149e1	9.9916467e-1	
2022-01-11	16:8:55	-1.37607e1	1.73765e-1	-3.97873e1	5.15767e1	1.10846e2	-4.6700239e-3	1.7818808e-3	1.2041184e1	9.9807958e-1	
2022-01-11	16:8:55	-1.36482e1	1.78034e-1	-3.95551e1	5.15767e1	1.10835e2	-4.6305656e-3	1.8247961e-3	1.2036988e1	9.9737834e-1	
2022-01-11	16:8:56	-1.39536e1	1.78938e-1	-3.95074e1	5.15734e1	1.10823e2	-4.7357082e-3	1.8337368e-3	1.2037827e1	9.9675607e-1	
2022-01-11	16:8:56	-1.40638e1	1.76149e-1	-3.96600e1	5.15734e1	1.10805e2	-4.7730207e-3	1.8053054e-3	1.2048738e1	9.9597148e-1	
2022-01-11	16:8:57	-1.40638e1	1.76149e-1	-3.96600e1	5.15734e1	1.10805e2	-4.7730207e-3	1.8053054e-3	1.2048738e1	9.9597148e-1	
2022-01-11	16:8:57	-1.36872e1	1.76180e-1	-3.96592e1	5.15800e1	1.10796e2	-4.6422481e-3	1.8054246e-3	1.2038667e1	9.9574918e-1	
2022-01-11	16:8:58	-1.36410e1	1.73485e-1	-3.98090e1	5.15667e1	1.10774e2	-4.6254396e-3	1.7779469e-3	1.2045381e1	9.9481649e-1	
2022-01-11	16:8:58	-1.37310e1	1.76476e-1	-3.96454e1	5.15667e1	1.10769e2	-4.6563148e-3	1.8080472e-3	1.2014328e1	9.9446544e-1	
2022-01-11	16:8:59	-1.38015e1	1.78943e-1	-3.95126e1	5.15667e1	1.10759e2	-4.6802759e-3	1.8327832e-3	1.2032792e1	9.9410371e-1	
2022-01-11	16:8:59	-1.35266e1	1.77044e-1	-3.96157e1	5.15701e1	1.10755e2	-4.5850276e-3	1.8135309e-3	1.2016845e1	9.9401569e-1	
2022-01-11	16:9:00	-1.35266e1	1.77044e-1	-3.96157e1	5.15701e1	1.10755e2	-4.5850276e-3	1.8135309e-3	1.2016845e1	9.9401569e-1	
2022-01-11	16:9:00	-1.34957e1	1.75367e-1	-3.97075e1	5.15701e1	1.10750e2	-4.5741796e-3	1.7965435e-3	1.2020202e1	9.9378004e-1	
2022-01-11	16:9:01	-1.34138e1	1.71941e-1	-3.98974e1	5.15701e1	1.10743e2	-4.5455694e-3	1.7618536e-3	1.2029434e1	9.9334125e-1	
2022-01-11	16:9:01	-1.36210e1	1.73213e-1	-3.98271e1	5.15734e1	1.10739e2	-4.6168565e-3	1.7746090e-3	1.2020202e1	9.9320163e-1	
