System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-02-14	16:5:58	7.18025e-2	2.97510e-1	-3.42190e1	5.15667e1	1.13863e2	2.4616718e-5	3.1008720e-3	1.2092378e1	1.0785877	
2022-02-14	16:5:58	7.18025e-2	2.97510e-1	-3.42190e1	5.15667e1	1.13863e2	2.4616718e-5	3.1008720e-3	1.2092378e1	1.0785877	
2022-02-14	16:5:59	8.85882e-2	2.96131e-1	-3.42648e1	5.15701e1	1.13877e2	3.0398368e-5	3.0872225e-3	1.2092378e1	1.0785179	
2022-02-14	16:5:59	1.48407e-1	2.94201e-1	-3.43296e1	5.15701e1	1.13893e2	5.0902366e-5	3.0680298e-3	1.2098252e1	1.0784420	
2022-02-14	16:6:00	1.50155e-1	2.93849e-1	-3.43406e1	5.15667e1	1.13906e2	5.1498413e-5	3.0648112e-3	1.2096574e1	1.0783841	
2022-02-14	16:6:00	5.68525e-1	2.94276e-1	-3.43256e1	5.15634e1	1.13909e2	1.9490718e-4	3.0692815e-3	1.2094895e1	1.0783675	
2022-02-14	16:6:01	-4.20547e-2	2.96130e-1	-3.42615e1	5.15634e1	1.13915e2	-1.4424324e-5	3.0882954e-3	1.2098252e1	1.0783404	
2022-02-14	16:6:01	-4.20547e-2	2.96130e-1	-3.42615e1	5.15634e1	1.13915e2	-1.4424324e-5	3.0882954e-3	1.2098252e1	1.0783404	
2022-02-14	16:6:02	-7.45386e-1	2.93026e-1	-3.43675e1	5.15634e1	1.13923e2	-2.5606155e-4	3.0569434e-3	1.2099931e1	1.0783013	
2022-02-14	16:6:02	-6.48007e-4	2.99859e-1	-3.41329e1	5.15634e1	1.13934e2	-2.3841857e-7	3.1267404e-3	1.2105805e1	1.0782568	
2022-02-14	16:6:03	6.33773e-2	2.81609e-1	-3.47670e1	5.15667e1	1.13944e2	2.1755695e-5	2.9411911e-3	1.2095735e1	1.0782347	
2022-02-14	16:6:03	6.82386e-2	2.90376e-1	-3.44569e1	5.15701e1	1.13951e2	2.3424625e-5	3.0306577e-3	1.2100770e1	1.0781863	
