System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-02-18	15:34:20	1.07049e-1	1.51299e-1	-4.09778e1	5.15634e1	1.12371e2	3.6180019e-5	1.5759468e-3	1.2003418e1	1.0857156	
2022-02-18	15:34:20	1.74252e-1	1.51645e-1	-4.09563e1	5.15634e1	1.12368e2	5.8889389e-5	1.5794634e-3	1.2005096e1	1.0857278	
2022-02-18	15:34:21	2.89422e-1	1.53852e-1	-4.08194e1	5.15634e1	1.12366e2	9.7811222e-5	1.6021132e-3	1.2021042e1	1.0857374	
2022-02-18	15:34:21	3.12885e-1	1.52210e-1	-4.09212e1	5.15634e1	1.12366e2	1.0573863e-4	1.5852451e-3	1.2012649e1	1.0857450	
2022-02-18	15:34:22	2.58959e-1	1.51728e-1	-4.09516e1	5.15634e1	1.12362e2	8.7499618e-5	1.5802383e-3	1.2005096e1	1.0857632	
2022-02-18	15:34:22	1.70558e-1	1.52352e-1	-4.09125e1	5.15634e1	1.12364e2	5.7637691e-5	1.5866756e-3	1.2004257e1	1.0857559	
2022-02-18	15:34:23	1.36794e-1	1.49714e-1	-4.10778e1	5.15634e1	1.12368e2	4.6253204e-5	1.5596151e-3	1.2007614e1	1.0857278	
2022-02-18	15:34:23	1.06141e-1	1.51116e-1	-4.09899e1	5.15600e1	1.12363e2	3.5881996e-5	1.5739798e-3	1.2005935e1	1.0857596	
2022-02-18	15:34:24	1.46385e-1	1.51345e-1	-4.09756e1	5.15634e1	1.12362e2	4.9471855e-5	1.5763044e-3	1.2016845e1	1.0857644	
2022-02-18	15:34:24	-1.06131e-1	1.51759e-1	-4.09498e1	5.15634e1	1.12361e2	-3.5881996e-5	1.5805363e-3	1.2003418e1	1.0857692	
2022-02-18	15:34:25	-1.98452e-1	1.56078e-1	-4.06834e1	5.15634e1	1.12360e2	-6.7114830e-5	1.6248822e-3	1.2004257e1	1.0857777	
2022-02-18	15:34:25	1.45867e-1	1.55411e-1	-4.07241e1	5.15634e1	1.12359e2	4.9293041e-5	1.6180276e-3	1.2017685e1	1.0857801	
2022-02-18	15:34:26	1.87862e-1	1.53176e-1	-4.08617e1	5.15634e1	1.12360e2	6.3478946e-5	1.5950798e-3	1.2006775e1	1.0857752	
2022-02-18	15:34:26	1.55588e-1	1.51537e-1	-4.09643e1	5.15634e1	1.12354e2	5.2571296e-5	1.5781521e-3	1.2006775e1	1.0858043	
2022-02-18	15:34:27	2.68873e-1	1.50967e-1	-4.10000e1	5.15600e1	1.12354e2	9.0837478e-5	1.5723109e-3	1.2003418e1	1.0858043	
2022-02-18	15:34:27	1.37763e-1	1.51809e-1	-4.09475e1	5.15567e1	1.12352e2	4.6551227e-5	1.5809535e-3	1.2012649e1	1.0858163	
2022-02-18	15:34:28	7.38667e-3	1.50699e-1	-4.10169e1	5.15567e1	1.12354e2	2.5033950e-6	1.5695691e-3	1.2007614e1	1.0858055	
2022-02-18	15:34:28	3.10484e-1	1.52669e-1	-4.08942e1	5.15600e1	1.12348e2	1.0490417e-4	1.5897154e-3	1.2002578e1	1.0858433	
