System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-02-23	16:5:38	1.84502	9.35865e-2	-4.53291e1	5.15634e1	1.13653e2	6.2996149e-4	9.9092721e-4	1.2058808e1	1.0795713	
2022-02-23	16:5:39	1.84502	9.35865e-2	-4.53291e1	5.15634e1	1.13653e2	6.2996149e-4	9.9092721e-4	1.2058808e1	1.0795713	
2022-02-23	16:5:39	1.59209	9.35986e-2	-4.53280e1	5.15634e1	1.13652e2	5.4377317e-4	9.9104642e-4	1.2072236e1	1.0795761	
2022-02-23	16:5:40	1.58488	9.28236e-2	-4.54031e1	5.15634e1	1.13656e2	5.4132938e-4	9.8294019e-4	1.2062165e1	1.0795583	
2022-02-23	16:5:40	1.65535	9.54350e-2	-4.51513e1	5.15601e1	1.13655e2	5.6535005e-4	1.0103583e-3	1.2057969e1	1.0795642	
2022-02-23	16:5:41	1.81600	9.46089e-2	-4.52305e1	5.15634e1	1.13653e2	6.2006711e-4	1.0016560e-3	1.2062165e1	1.0795749	
2022-02-23	16:5:41	1.72664	9.12231e-2	-4.55612e1	5.15667e1	1.13651e2	5.8960914e-4	9.6607208e-4	1.2061326e1	1.0795844	
2022-02-23	16:5:42	1.72664	9.12231e-2	-4.55612e1	5.15667e1	1.13651e2	5.8960914e-4	9.6607208e-4	1.2061326e1	1.0795844	
2022-02-23	16:5:42	1.80265	9.31270e-2	-4.53737e1	5.15667e1	1.13654e2	6.1553716e-4	9.8609924e-4	1.2059648e1	1.0795677	
2022-02-23	16:5:43	1.70510	9.51993e-2	-4.51739e1	5.15667e1	1.13654e2	5.8227777e-4	1.0078549e-3	1.2059648e1	1.0795689	
2022-02-23	16:5:43	1.80724	9.27201e-2	-4.54137e1	5.15634e1	1.13651e2	6.1708688e-4	9.8180770e-4	1.2057969e1	1.0795832	
2022-02-23	16:5:44	1.73998	9.55933e-2	-4.51362e1	5.15600e1	1.13655e2	5.9419870e-4	1.0120272e-3	1.2057130e1	1.0795606	
2022-02-23	16:5:44	1.84294	9.56766e-2	-4.51285e1	5.15634e1	1.13652e2	6.2924623e-4	1.0128617e-3	1.2059648e1	1.0795761	
2022-02-23	16:5:45	1.84294	9.56766e-2	-4.51285e1	5.15634e1	1.13652e2	6.2924623e-4	1.0128617e-3	1.2059648e1	1.0795761	
2022-02-23	16:5:45	1.62324	9.59613e-2	-4.51016e1	5.15634e1	1.13651e2	5.5438280e-4	1.0158419e-3	1.2063004e1	1.0795809	
2022-02-23	16:5:46	1.85844	9.45894e-2	-4.52322e1	5.15600e1	1.13654e2	6.3455104e-4	1.0014772e-3	1.2067201e1	1.0795665	
2022-02-23	16:5:46	1.94852	9.45245e-2	-4.52386e1	5.15667e1	1.13653e2	6.6518783e-4	1.0007619e-3	1.2064683e1	1.0795737	
2022-02-23	16:5:47	1.81548	9.28490e-2	-4.54009e1	5.15634e1	1.13653e2	6.1988830e-4	9.8317861e-4	1.2057130e1	1.0795737	
2022-02-23	16:5:47	1.79086	9.32318e-2	-4.53639e1	5.15600e1	1.13649e2	6.1148405e-4	9.8717212e-4	1.2057130e1	1.0795938	
2022-02-23	16:5:48	1.79086	9.32318e-2	-4.53639e1	5.15600e1	1.13649e2	6.1148405e-4	9.8717212e-4	1.2057130e1	1.0795938	
2022-02-23	16:5:48	1.72539	9.11859e-2	-4.55646e1	5.15634e1	1.13653e2	5.8919191e-4	9.6571445e-4	1.2058808e1	1.0795713	
2022-02-23	16:5:49	1.65586	9.31145e-2	-4.53755e1	5.15600e1	1.13646e2	5.6546926e-4	9.8592042e-4	1.2072236e1	1.0796046	
2022-02-23	16:5:49	1.81255	9.48491e-2	-4.52077e1	5.15600e1	1.13649e2	6.1887502e-4	1.0041594e-3	1.2061326e1	1.0795903	
2022-02-23	16:5:50	2.07754	9.41149e-2	-4.52781e1	5.15600e1	1.13652e2	7.0911645e-4	9.9647045e-4	1.2058808e1	1.0795797	
2022-02-23	16:5:50	1.93095	9.29449e-2	-4.53916e1	5.15600e1	1.13652e2	6.5922737e-4	9.8419189e-4	1.2055451e1	1.0795761	
2022-02-23	16:5:51	1.93095	9.29449e-2	-4.53916e1	5.15600e1	1.13652e2	6.5922737e-4	9.8419189e-4	1.2055451e1	1.0795761	
2022-02-23	16:5:51	1.77123	9.06213e-2	-4.56210e1	5.15667e1	1.13651e2	6.0480833e-4	9.5975399e-4	1.2069718e1	1.0795820	
2022-02-23	16:5:52	1.73365	9.41122e-2	-4.52785e1	5.15667e1	1.13650e2	5.9199333e-4	9.9641084e-4	1.2060487e1	1.0795856	
2022-02-23	16:5:52	1.93331	9.67855e-2	-4.50238e1	5.15634e1	1.13651e2	6.6000223e-4	1.0244846e-3	1.2058808e1	1.0795844	
2022-02-23	16:5:53	1.97061	9.63781e-2	-4.50624e1	5.15600e1	1.13648e2	6.7269802e-4	1.0201930e-3	1.2057969e1	1.0795986	
2022-02-23	16:5:53	1.79820	9.43392e-2	-4.52568e1	5.15600e1	1.13648e2	6.1398744e-4	9.9879503e-4	1.2065522e1	1.0795962	
2022-02-23	16:5:54	2.25024	9.21855e-2	-4.54659e1	5.15667e1	1.13653e2	7.6788663e-4	9.7620487e-4	1.2060487e1	1.0795713	
2022-02-23	16:5:54	2.25024	9.21855e-2	-4.54659e1	5.15667e1	1.13653e2	7.6788663e-4	9.7620487e-4	1.2060487e1	1.0795713	
2022-02-23	16:5:55	2.52598	9.18745e-2	-4.54967e1	5.15634e1	1.13651e2	8.6164474e-4	9.7292661e-4	1.2073915e1	1.0795832	
2022-02-23	16:5:55	1.84878	8.91525e-2	-4.57689e1	5.15634e1	1.13649e2	6.3121318e-4	9.4431638e-4	1.2071397e1	1.0795903	
2022-02-23	16:5:56	1.53621	9.40782e-2	-4.52819e1	5.15634e1	1.13649e2	5.2469968e-4	9.9605321e-4	1.2059648e1	1.0795915	
2022-02-23	16:5:56	1.67639	1.11463e-1	-4.37299e1	5.15600e1	1.13649e2	5.7250261e-4	1.1783242e-3	1.2057969e1	1.0795915	
2022-02-23	16:5:57	1.59773	9.33291e-2	-4.53544e1	5.15634e1	1.13649e2	5.4568052e-4	9.8818540e-4	1.2068040e1	1.0796103	
2022-02-23	16:5:57	1.66431	7.68427e-2	-4.71018e1	5.15634e1	1.13654e2	5.6838989e-4	8.1485509e-4	1.2069718e1	1.0796018	
2022-02-23	16:5:58	1.75856	9.18687e-2	-4.54978e1	5.15634e1	1.13644e2	6.0045719e-4	9.7280740e-4	1.2063004e1	1.0796329	
2022-02-23	16:5:58	1.58553	9.31483e-2	-4.53721e1	5.15634e1	1.13648e2	5.4150819e-4	9.8627805e-4	1.2055451e1	1.0795974	
2022-02-23	16:5:59	1.50527	9.10741e-2	-4.55764e1	5.15667e1	1.13645e2	5.1414966e-4	9.6446275e-4	1.2075593e1	1.0796093	
2022-02-23	16:5:59	1.69361	9.38647e-2	-4.53026e1	5.15667e1	1.13648e2	5.7834386e-4	9.9378824e-4	1.2060487e1	1.0795986	
2022-02-23	16:6:00	1.95059	9.55627e-2	-4.51397e1	5.15667e1	1.13647e2	6.6584348e-4	1.0116100e-3	1.2057969e1	1.0796010	
2022-02-23	16:6:00	1.88578	9.17357e-2	-4.55107e1	5.15634e1	1.13647e2	6.4378976e-4	9.7143650e-4	1.2058808e1	1.0796010	
2022-02-23	16:6:01	2.03581	9.11176e-2	-4.55720e1	5.15634e1	1.13647e2	6.9487094e-4	9.6493959e-4	1.2072236e1	1.0796034	
2022-02-23	16:6:01	1.89137	9.34749e-2	-4.53407e1	5.15634e1	1.13644e2	6.4569711e-4	9.8967552e-4	1.2058808e1	1.0796152	
2022-02-23	16:6:02	1.68760	9.55254e-2	-4.51432e1	5.15600e1	1.13649e2	5.7631731e-4	1.0112524e-3	1.2071397e1	1.0795938	
