System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-03-17	9:53:22	4.49913e-1	1.08872e-1	-4.36744e1	5.15667e1	1.17057e2	1.5890598e-4	1.1856555e-3	1.2068879e1	1.0637599	
2022-03-17	9:53:22	3.63242e-1	1.07988e-1	-4.37492e1	5.15634e1	1.17061e2	1.2832880e-4	1.1761784e-3	1.2055451e1	1.0637406	
2022-03-17	9:53:23	3.37445e-1	1.08981e-1	-4.36656e1	5.15634e1	1.17052e2	1.1920928e-4	1.1867880e-3	1.2057969e1	1.0637849	
2022-03-17	9:53:23	5.07473e-1	1.07264e-1	-4.38117e1	5.15634e1	1.17056e2	1.7923116e-4	1.1683106e-3	1.2056291e1	1.0637656	
2022-03-17	9:53:24	5.84815e-1	1.07041e-1	-4.38307e1	5.15634e1	1.17058e2	2.0653009e-4	1.1659264e-3	1.2055451e1	1.0637542	
2022-03-17	9:53:24	4.55288e-1	1.07318e-1	-4.38070e1	5.15634e1	1.17057e2	1.6081333e-4	1.1689066e-3	1.2057969e1	1.0637621	
2022-03-17	9:53:25	4.55288e-1	1.07318e-1	-4.38070e1	5.15634e1	1.17057e2	1.6081333e-4	1.1689066e-3	1.2057969e1	1.0637621	
2022-03-17	9:53:25	6.90830e-1	1.09334e-1	-4.36356e1	5.15667e1	1.17054e2	2.4390220e-4	1.1906027e-3	1.2057969e1	1.0637747	
2022-03-17	9:53:26	5.57328e-1	1.11820e-1	-4.34277e1	5.15634e1	1.17054e2	1.9681453e-4	1.2174248e-3	1.2053773e1	1.0637747	
2022-03-17	9:53:26	4.91980e-1	1.11429e-1	-4.34598e1	5.15634e1	1.17058e2	1.7374753e-4	1.2132525e-3	1.2057969e1	1.0637553	
2022-03-17	9:53:27	2.72500e-1	1.04973e-1	-4.40106e1	5.15634e1	1.17055e2	9.6261501e-5	1.1435747e-3	1.2054612e1	1.0637701	
2022-03-17	9:53:27	2.72500e-1	1.04973e-1	-4.40106e1	5.15634e1	1.17055e2	9.6261501e-5	1.1435747e-3	1.2054612e1	1.0637701	
2022-03-17	9:53:28	3.86581e-1	1.08863e-1	-4.36753e1	5.15667e1	1.17054e2	1.3655424e-4	1.1855363e-3	1.2056291e1	1.0637712	
2022-03-17	9:53:28	3.86581e-1	1.08863e-1	-4.36753e1	5.15667e1	1.17054e2	1.3655424e-4	1.1855363e-3	1.2056291e1	1.0637712	
2022-03-17	9:53:29	2.60318e-1	1.11967e-1	-4.34153e1	5.15667e1	1.17058e2	9.1969966e-5	1.2190341e-3	1.2057969e1	1.0637564	
2022-03-17	9:53:29	5.10526e-1	1.11879e-1	-4.34230e1	5.15667e1	1.17052e2	1.8030405e-4	1.2180209e-3	1.2058808e1	1.0637837	
2022-03-17	9:53:30	5.40152e-1	1.08510e-1	-4.37053e1	5.15667e1	1.17054e2	1.9073486e-4	1.1817216e-3	1.2052094e1	1.0637747	
2022-03-17	9:53:30	5.19466e-1	1.08469e-1	-4.37087e1	5.15634e1	1.17055e2	1.8346309e-4	1.1813044e-3	1.2056291e1	1.0637689	
2022-03-17	9:53:31	3.75618e-1	1.06026e-1	-4.39187e1	5.15600e1	1.17055e2	1.3267993e-4	1.1549592e-3	1.2056291e1	1.0637679	
2022-03-17	9:53:31	3.75618e-1	1.06026e-1	-4.39187e1	5.15600e1	1.17055e2	1.3267993e-4	1.1549592e-3	1.2056291e1	1.0637679	
2022-03-17	9:53:32	6.09516e-1	1.05686e-1	-4.39484e1	5.15634e1	1.17053e2	2.1523237e-4	1.1512637e-3	1.2053773e1	1.0637769	
2022-03-17	9:53:32	5.79240e-1	1.08153e-1	-4.37356e1	5.15634e1	1.17056e2	2.0456314e-4	1.1779069e-3	1.2063004e1	1.0637656	
2022-03-17	9:53:33	4.97559e-1	1.05186e-1	-4.39921e1	5.15667e1	1.17052e2	1.7571449e-4	1.1458396e-3	1.2056291e1	1.0637814	
2022-03-17	9:53:33	6.42396e-1	1.09951e-1	-4.35834e1	5.15667e1	1.17055e2	2.2685527e-4	1.1972784e-3	1.2057969e1	1.0637689	
2022-03-17	9:53:34	5.78728e-1	1.10692e-1	-4.35214e1	5.15667e1	1.17055e2	2.0438432e-4	1.2052655e-3	1.2056291e1	1.0637701	
2022-03-17	9:53:34	5.78728e-1	1.10692e-1	-4.35214e1	5.15667e1	1.17055e2	2.0438432e-4	1.2052655e-3	1.2056291e1	1.0637701	
2022-03-17	9:53:35	2.65501e-1	1.10842e-1	-4.35090e1	5.15634e1	1.17053e2	9.3817710e-5	1.2068748e-3	1.2054612e1	1.0637769	
2022-03-17	9:53:35	2.64920e-1	1.08748e-1	-4.36852e1	5.15667e1	1.17054e2	9.3579292e-5	1.1842846e-3	1.2057130e1	1.0637747	
2022-03-17	9:53:36	2.20589e-1	1.13615e-1	-4.32970e1	5.15667e1	1.16843e2	7.7784061e-5	1.2345314e-3	1.2057130e1	1.0647348	
2022-03-17	9:53:36	-4.81704e-1	1.18368e-1	-4.29056e1	5.15634e1	1.16981e2	-1.7023086e-4	1.2871623e-3	1.2056291e1	1.0641076	
2022-03-17	9:53:37	3.82489e-1	1.08544e-1	-4.37046e1	5.15600e1	1.17027e2	1.3506412e-4	1.1818408e-3	1.2056291e1	1.0638973	
2022-03-17	9:53:37	3.82489e-1	1.08544e-1	-4.37046e1	5.15600e1	1.17027e2	1.3506412e-4	1.1818408e-3	1.2056291e1	1.0638973	
2022-03-17	9:53:38	9.55733e-1	1.03045e-1	-4.41818e1	5.15667e1	1.17044e2	3.3730268e-4	1.1226534e-3	1.2057130e1	1.0638190	
2022-03-17	9:53:38	7.60599e-1	1.05026e-1	-4.40062e1	5.15667e1	1.17052e2	2.6851892e-4	1.1441111e-3	1.2057969e1	1.0637814	
2022-03-17	9:53:39	1.04780e-1	1.07429e-1	-4.37974e1	5.15667e1	1.17058e2	3.7014484e-5	1.1700987e-3	1.2055451e1	1.0637553	
2022-03-17	9:53:39	1.78009e-1	1.21151e-1	-4.26830e1	5.15634e1	1.17059e2	6.2882900e-5	1.3179779e-3	1.2067201e1	1.0637531	
2022-03-17	9:53:40	2.86955e-1	1.17846e-1	-4.29401e1	5.15634e1	1.17064e2	1.0138750e-4	1.2824535e-3	1.2055451e1	1.0637292	
2022-03-17	9:53:40	2.86955e-1	1.17846e-1	-4.29401e1	5.15634e1	1.17064e2	1.0138750e-4	1.2824535e-3	1.2055451e1	1.0637292	
2022-03-17	9:53:41	8.65059e-2	1.02488e-1	-4.42306e1	5.15667e1	1.17056e2	3.0577182e-5	1.1167526e-3	1.2062165e1	1.0637992	
2022-03-17	9:53:41	7.92478e-2	1.11945e-1	-4.34172e1	5.15634e1	1.17056e2	2.8014183e-5	1.2187957e-3	1.2070558e1	1.0637632	
2022-03-17	9:53:42	-3.10119e1	1.57450e-1	-4.01903e1	5.15600e1	1.17291e2	-1.1475443e-2	1.7108321e-3	1.2059648e1	1.0626959	
2022-03-17	9:53:42	1.58754e2	1.03829e-1	-4.40234e1	5.15667e1	1.18180e2	4.7022700e-2	1.1420845e-3	1.2052094e1	1.0586959	
2022-03-17	9:53:43	5.43466e2	7.87266e-2	-4.65931e1	5.15667e1	1.17434e2	1.1814564e-1	8.6241960e-4	1.2058808e1	1.0620533	
2022-03-17	9:53:43	5.43466e2	7.87266e-2	-4.65931e1	5.15667e1	1.17434e2	1.1814564e-1	8.6241960e-4	1.2058808e1	1.0620533	
2022-03-17	9:53:44	-3.75486e1	1.24278e-1	-4.24391e1	5.15634e1	1.17133e2	-1.4007329e-2	1.3524889e-3	1.2056291e1	1.0634136	
2022-03-17	9:53:44	-2.57260e1	1.16336e-1	-4.30578e1	5.15634e1	1.17090e2	-9.4289779e-3	1.2664794e-3	1.2057969e1	1.0636088	
2022-03-17	9:53:45	-9.40483	1.11235e-1	-4.34750e1	5.15634e1	1.17070e2	-3.3676624e-3	1.2112855e-3	1.2063004e1	1.0637009	
2022-03-17	9:53:45	-2.56147	1.11070e-1	-4.34897e1	5.15634e1	1.17058e2	-9.0849399e-4	1.2093782e-3	1.2055451e1	1.0637564	
2022-03-17	9:53:46	-3.36935e-3	1.11039e-1	-4.34924e1	5.15634e1	1.17055e2	-1.1920928e-6	1.2090206e-3	1.2057969e1	1.0637679	
2022-03-17	9:53:46	-3.36935e-3	1.11039e-1	-4.34924e1	5.15634e1	1.17055e2	-1.1920928e-6	1.2090206e-3	1.2057969e1	1.0637679	
2022-03-17	9:53:47	1.13157	1.09185e-1	-4.36486e1	5.15667e1	1.17047e2	3.9929151e-4	1.1889338e-3	1.2055451e1	1.0638042	
2022-03-17	9:53:47	1.18547	1.07973e-1	-4.37511e1	5.15634e1	1.17054e2	4.1830539e-4	1.1759400e-3	1.2056291e1	1.0637735	
2022-03-17	9:53:48	1.24354	1.08645e-1	-4.36941e1	5.15667e1	1.17051e2	4.3874979e-4	1.1831521e-3	1.2058808e1	1.0637860	
2022-03-17	9:53:48	1.27715	1.07967e-1	-4.37520e1	5.15667e1	1.17050e2	4.5055150e-4	1.1758208e-3	1.2053773e1	1.0637917	
2022-03-17	9:53:49	1.02550	1.06610e-1	-4.38689e1	5.15600e1	1.17045e2	3.6191940e-4	1.1611580e-3	1.2060487e1	1.0638133	
2022-03-17	9:53:49	1.14090	1.07895e-1	-4.37582e1	5.15634e1	1.17049e2	4.0256977e-4	1.1750459e-3	1.2058808e1	1.0637985	
2022-03-17	9:53:50	1.14987	1.08444e-1	-4.37115e1	5.15667e1	1.17048e2	4.0572881e-4	1.1809468e-3	1.2057130e1	1.0638030	
2022-03-17	9:53:50	9.24271e-1	1.08671e-1	-4.36923e1	5.15634e1	1.17046e2	3.2621622e-4	1.1833906e-3	1.2052094e1	1.0638098	
2022-03-17	9:53:51	9.00989e-1	1.09960e-1	-4.35830e1	5.15634e1	1.17051e2	3.1805038e-4	1.1973381e-3	1.2055451e1	1.0637894	
2022-03-17	9:53:51	8.91270e-1	1.09323e-1	-4.36370e1	5.15667e1	1.17047e2	3.1459331e-4	1.1904239e-3	1.2056291e1	1.0638053	
2022-03-17	9:53:52	1.09905	1.10292e-1	-4.35553e1	5.15600e1	1.17050e2	3.8784742e-4	1.2009143e-3	1.2057969e1	1.0637940	
2022-03-17	9:53:52	1.07506	1.13742e-1	-4.32702e1	5.15600e1	1.17050e2	3.7938356e-4	1.2381076e-3	1.2062165e1	1.0637940	
2022-03-17	9:53:53	8.02159e-1	1.11576e-1	-4.34483e1	5.15634e1	1.17049e2	2.8318166e-4	1.2147426e-3	1.2053773e1	1.0637985	
2022-03-17	9:53:53	6.52308e-1	1.06136e-1	-4.39100e1	5.15634e1	1.17044e2	2.3031234e-4	1.1560320e-3	1.2063004e1	1.0638166	
2022-03-17	9:53:54	5.11039e-1	1.10451e-1	-4.35418e1	5.15634e1	1.17052e2	1.8048286e-4	1.2026429e-3	1.2057969e1	1.0637825	
2022-03-17	9:53:54	7.46393e-1	1.11720e-1	-4.34364e1	5.15634e1	1.17049e2	2.6351213e-4	1.2162923e-3	1.2064683e1	1.0637974	
2022-03-17	9:53:55	8.28421e-1	1.07514e-1	-4.37908e1	5.15634e1	1.17048e2	2.9242038e-4	1.1709332e-3	1.2058808e1	1.0637996	
2022-03-17	9:53:55	5.62059e-1	1.08205e-1	-4.37318e1	5.15634e1	1.17048e2	1.9848346e-4	1.1783838e-3	1.2058808e1	1.0637996	
2022-03-17	9:53:56	4.98856e-1	1.07251e-1	-4.38135e1	5.15667e1	1.17047e2	1.7619132e-4	1.1680722e-3	1.2057130e1	1.0638042	
2022-03-17	9:53:56	6.50759e-1	1.06929e-1	-4.38416e1	5.15667e1	1.17042e2	2.2977590e-4	1.1645555e-3	1.2057969e1	1.0638269	
2022-03-17	9:53:57	6.32865e-1	1.09576e-1	-4.36155e1	5.15667e1	1.17049e2	2.2345781e-4	1.1931657e-3	1.2054612e1	1.0637985	
