System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-03-17	9:28:05	2.92241e-2	1.64298e-1	-3.98240e1	5.15667e1	1.16786e2	1.0311603e-5	1.7764568e-3	1.2056291e1	1.0650032	
2022-03-17	9:28:06	2.92241e-2	1.64298e-1	-3.98240e1	5.15667e1	1.16786e2	1.0311603e-5	1.7764568e-3	1.2056291e1	1.0650032	
2022-03-17	9:28:06	1.21049e-1	1.65189e-1	-3.97719e1	5.15667e1	1.16788e2	4.2676925e-5	1.7859935e-3	1.2047059e1	1.0649907	
2022-03-17	9:28:07	9.82368e-2	1.64507e-1	-3.98117e1	5.15634e1	1.16787e2	3.4630298e-5	1.7787218e-3	1.2045381e1	1.0649975	
2022-03-17	9:28:07	6.10405e-2	1.65379e-1	-3.97613e1	5.15634e1	1.16784e2	2.1517276e-5	1.7879605e-3	1.2047898e1	1.0650135	
2022-03-17	9:28:08	3.20105e-2	1.67656e-1	-3.96295e1	5.15667e1	1.16789e2	1.1265277e-5	1.8122792e-3	1.2049577e1	1.0649895	
2022-03-17	9:28:08	2.34075e-1	1.65280e-1	-3.97667e1	5.15667e1	1.16788e2	8.2492828e-5	1.7869472e-3	1.2050416e1	1.0649952	
2022-03-17	9:28:09	2.34075e-1	1.65280e-1	-3.97667e1	5.15667e1	1.16788e2	8.2492828e-5	1.7869472e-3	1.2050416e1	1.0649952	
2022-03-17	9:28:09	1.56238e-1	1.62013e-1	-3.99581e1	5.15667e1	1.16788e2	5.5074691e-5	1.7521381e-3	1.2045381e1	1.0649918	
2022-03-17	9:28:10	-2.53354e-2	1.62391e-1	-3.99356e1	5.15667e1	1.16790e2	-8.9406967e-6	1.7561912e-3	1.2044541e1	1.0649850	
2022-03-17	9:28:10	3.81466e-1	1.64929e-1	-3.97870e1	5.15634e1	1.16789e2	1.3440847e-4	1.7832517e-3	1.2062165e1	1.0649873	
2022-03-17	9:28:11	3.81466e-1	1.64929e-1	-3.97870e1	5.15634e1	1.16789e2	1.3440847e-4	1.7832517e-3	1.2062165e1	1.0649873	
2022-03-17	9:28:11	2.83849e-1	1.63072e-1	-3.98955e1	5.15634e1	1.16789e2	1.0001659e-4	1.7634630e-3	1.2057969e1	1.0649873	
2022-03-17	9:28:12	2.04325e-1	1.63764e-1	-3.98549e1	5.15634e1	1.16790e2	7.2002410e-5	1.7708539e-3	1.2057969e1	1.0649827	
