sample_no,drying_treatment,date,cc_treatment,pre_post_wet,median,iqr,day_elapsed
22,two_wk,2022-03-02,w_cc,post,98790.23869544698,11088.198184979688,1
31,one_wk,2022-02-24,w_cc,post,205027.0361220916,50045.75482592988,2
33,one_wk,2022-02-24,w_cc,post_co2,71427.35079422819,2540.520995393963,2
45,four_wk,2022-03-16,w_cc,post,111548.12146695516,44243.76235363251,1
47,two_wk,2022-03-02,w_cc,post,93525.27712801892,14457.2613107589,1
49,four_wk,2022-03-16,w_cc,post,58225.40328738148,29793.539203026565,1
53,four_wk,2022-03-16,w_cc,post,54563.91457375964,4488.17323982095,1
54,four_wk,2022-03-16,w_cc,post_co2,54082.16496952681,11982.047438892723,1
61,one_wk,2022-02-24,w_cc,post,166704.26165756755,6280.764682440757,2
71,four_wk,2022-03-16,w_cc,post_co2,44158.15655924058,15041.719384918222,1
72,four_wk,2022-03-16,w_cc,post_co2,70373.6629836873,20652.63029200553,1
92,one_wk,2022-02-24,w_cc,post_co2,262948.5465779303,84304.18703607141,2
94,two_wk,2022-03-02,w_cc,post,71511.38094157647,12367.439907312226,1
95,four_wk,2022-03-16,w_cc,post,62084.25311825542,18034.00392166795,1
96,one_wk,2022-02-24,w_cc,post,125560.17559415915,15690.74320958626,2
103,one_wk,2022-02-24,w_cc,post,90932.27883282692,70637.44752581994,2
108,four_wk,2022-03-16,w_cc,post,54116.21397989928,21610.4364648637,1
109,one_wk,2022-02-24,w_cc,post,154090.30906000032,24205.02567955409,2
113,one_wk,2022-02-24,w_cc,post_co2,213921.5208814256,93528.75886274688,2
114,two_wk,2022-03-02,w_cc,post,64944.52263541777,42555.050445822206,1
132,two_wk,2022-03-02,w_cc,post,78551.21986588762,10284.55107169431,1
6,one_wk,2022-02-23,no_cc,post,4421.5578887135225,636.2296532334367,1
10,four_wk,2022-03-16,no_cc,post,4110.204939053308,846.0388602673729,1
12,one_wk,2022-02-23,no_cc,post,3446.271439151021,742.9257209756856,1
13,four_wk,2022-03-16,no_cc,post,4037.586779248514,1089.790211683226,1
18,one_wk,2022-02-23,no_cc,post,3540.73817883419,696.8868438213153,1
39,four_wk,2022-03-16,no_cc,post_co2,4817.403070004564,1719.0492472094516,1
41,one_wk,2022-02-23,no_cc,post,3842.737731114128,548.4600528059254,1
43,two_wk,2022-03-02,no_cc,post,5162.761338824442,567.889156207596,1
50,one_wk,2022-02-23,no_cc,post,4282.165404125775,600.1051817704492,1
66,four_wk,2022-03-16,no_cc,post_co2,3328.03220521812,2500.356356438549,1
74,four_wk,2022-03-16,no_cc,post,3627.639974319275,503.889437693997,1
85,two_wk,2022-03-02,no_cc,post,4730.3799642406775,589.2476440901373,1
93,four_wk,2022-03-16,no_cc,post,3859.461434589085,1926.291185097763,1
99,two_wk,2022-03-02,no_cc,post,5151.119420841267,2308.0238853707815,1
102,one_wk,2022-02-23,no_cc,post_co2,5125.169697551162,1673.0445711856937,1
105,one_wk,2022-02-23,no_cc,post_co2,4200.335456712267,388.25438099350185,1
115,one_wk,2022-02-23,no_cc,post_co2,3682.342201093258,2468.235938683405,1
116,two_wk,2022-03-02,no_cc,post,4417.761970618472,450.71200844171744,1
122,two_wk,2022-03-02,no_cc,post,4215.47551197078,748.1335312599285,1
126,four_wk,2022-03-16,no_cc,post,4353.318241730833,1095.4127955750446,1
127,four_wk,2022-03-16,no_cc,post_co2,1841.019200419964,988.1070356426552,1
