sample_no,cc_treatment,drying_treatment,pre_post_wet,samp_med_bact,samp_med_fung
1,no_cc,initial,initial,2.717692301663983e-5,2.0109671839484806e-7
2,w_cc,two_wk,pre,6.772572777908627e-5,6.564448917209599e-7
3,no_cc,all_dry,all_dry,3.594396256818431e-5,4.7889899495749946e-8
4,w_cc,two_wk,pre,7.96722286744802e-5,9.358151631476941e-7
5,w_cc,two_wk,cw,8.448331433097562e-5,8.633121097238133e-7
6,no_cc,one_wk,post,5.33350853364361e-5,1.0139994973986182e-7
7,no_cc,one_wk,pre,4.103151127840716e-5,9.03575583773508e-8
8,no_cc,one_wk,cw,3.059630016164554e-5,1.2635951405317314e-7
9,w_cc,initial,initial,5.312805611925655e-5,1.796404553719172e-6
10,no_cc,four_wk,post,4.2456580431516146e-5,4.753818098758108e-8
11,w_cc,one_wk,cw,8.196030968349575e-5,9.81491736096024e-7
12,no_cc,one_wk,post,5.033027913055314e-5,8.237177460803306e-8
13,no_cc,four_wk,post,4.278077046418268e-5,5.750296708050976e-8
14,w_cc,all_dry,all_dry,7.452744395565119e-5,1.4899523057712674e-6
15,no_cc,initial,initial,1.798531216255977e-5,5.8477330955357973e-8
16,w_cc,four_wk,cw,6.608138611995282e-5,2.479624398040117e-7
17,w_cc,four_wk,cw,7.49976836734597e-5,2.1643805548543809e-7
18,no_cc,one_wk,post,4.010529704635896e-5,6.897237095453312e-8
19,no_cc,two_wk,pre,5.2960469609609034e-5,1.404695570746945e-7
20,w_cc,four_wk,cw,1.1432603623063621e-4,4.0451773831184225e-7
21,no_cc,four_wk,pre,3.6327776642762816e-5,8.022247092540831e-8
22,w_cc,two_wk,post,1.2724580231558577e-4,1.3783311500297697e-6
24,w_cc,two_wk,cw,8.833031255490664e-5,4.0000812099756415e-7
25,no_cc,two_wk,cw,5.535896785763098e-5,7.578752865098753e-8
26,no_cc,one_wk,cw,4.626748962946581e-5,8.632956597541192e-8
27,w_cc,four_wk,cw,1.0757639177678778e-4,2.318674298135635e-7
28,no_cc,one_wk,cw,2.894603476959658e-5,7.347508628588735e-8
29,w_cc,initial,initial,7.272286875710739e-5,1.2471892892105762e-7
30,w_cc,one_wk,pre,4.9477170452712635e-5,2.0147756037972536e-7
31,w_cc,one_wk,post,1.9080738709594458e-4,4.150516770965021e-6
32,no_soil,no_soil,no_soil,NA,NA
34,w_cc,one_wk,pre,4.837276932653602e-5,3.439339839060016e-7
35,w_cc,four_wk,pre,6.200454007674496e-5,1.7568176050526074e-7
37,w_cc,two_wk,cw,5.972978440353964e-5,1.966182719808984e-7
38,no_cc,four_wk,cw,3.987364956370651e-5,1.0963835347992776e-7
41,no_cc,one_wk,post,5.436099288324307e-5,7.911212875614584e-8
42,no_soil,no_soil,no_soil,NA,NA
43,no_cc,two_wk,post,4.579053842296948e-5,7.737984445980093e-8
44,no_cc,all_dry,all_dry,4.391041824091443e-5,3.246015467132797e-8
45,w_cc,four_wk,post,1.0631669664277526e-4,7.816163459779759e-7
47,w_cc,two_wk,post,1.6273389436334418e-4,2.694111210676602e-6
48,w_cc,all_dry,all_dry,1.474687812398679e-4,4.140959843380101e-6
49,w_cc,four_wk,post,7.799222975799869e-5,6.720885200088855e-7
50,no_cc,one_wk,post,4.311575485077214e-5,1.4541763644101545e-7
51,no_cc,one_wk,pre,3.2742973334559136e-5,8.485708509509965e-8
52,w_cc,initial,initial,5.635252672951577e-5,8.893531384043093e-7
53,w_cc,four_wk,post,8.703261628102752e-5,8.732948365358248e-7
55,no_cc,all_dry,all_dry,3.990964794498863e-5,9.877135365515841e-8
56,w_cc,one_wk,pre,7.082187964425872e-5,3.614199756147342e-7
