sample_no,mean_n,sd_n,mean_c,sd_c,rsd_n,rsd_c,flag,date,type,n_mg,c_mg
SG001,0.2703518569469452,0.23414661444510518,1.7508164246877034,1.516479081443571,86.6081028957219,86.61553890289032,yes,08/31/2022,UNK,0.40818148851394653,2.652496099472046
SG001,0.2703518569469452,0.23414661444510518,1.7508164246877034,1.516479081443571,86.6081028957219,86.61553890289032,yes,08/31/2022,UNK,0,0
SG001,0.2703518569469452,0.23414661444510518,1.7508164246877034,1.516479081443571,86.6081028957219,86.61553890289032,yes,08/31/2022,UNK,0.40287408232688904,2.5999531745910645
SG017,0.35367467999458313,NA,2.689436197280884,NA,NA,NA,yes,08/30/2022,UNK,0.35367467999458313,2.689436197280884
SG065,0.8632558435201645,0.7440203608849651,2.865234851837158,0.07718369226539429,86.1877004910869,2.6937998543436996,yes,08/30/2022,UNK,0.33715400099754333,2.8106577396392822
SG065,0.8632558435201645,0.7440203608849651,2.865234851837158,0.07718369226539429,86.1877004910869,2.6937998543436996,yes,08/30/2022,UNK,1.3893576860427856,2.919811964035034
SG074,0.37228384613990784,0.007021243493429837,2.810539722442627,0.391050598776446,1.8859919833296197,13.913718979092947,yes,09/27/2022,UNK,0.3673190772533417,3.0870542526245117
SG074,0.37228384613990784,0.007021243493429837,2.810539722442627,0.391050598776446,1.8859919833296197,13.913718979092947,yes,09/27/2022,UNK,0.377248615026474,2.534025192260742
SG128,0.7867589592933655,0.5515462193744155,2.7108923196792603,0.02145089143071058,70.10358291563551,0.7912852633426822,yes,09/27/2022,UNK,1.1767610311508179,2.6957242488861084
SG128,0.7867589592933655,0.5515462193744155,2.7108923196792603,0.02145089143071058,70.10358291563551,0.7912852633426822,yes,09/27/2022,UNK,0.3967568874359131,2.726060390472412
