"2022-02-15 at 15:4"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-02-15	15:4:39	1.13220	1.19269e-1	-4.33857e1	5.15600e1	1.10243e2	3.7431716e-4	1.2222528e-3	1.2031114e1	1.0406742	
2022-02-15	15:4:40	1.07552	1.18973e-1	-4.34088e1	5.15634e1	1.10241e2	3.5560131e-4	1.2192130e-3	1.2026916e1	1.0406364	
2022-02-15	15:4:40	1.02985	1.20025e-1	-4.33274e1	5.15600e1	1.10240e2	3.4052133e-4	1.2298822e-3	1.2027755e1	1.0404523	
2022-02-15	15:4:41	9.40740e-1	1.20592e-1	-4.32840e1	5.15601e1	1.10238e2	3.1107664e-4	1.2356042e-3	1.2028595e1	1.0405679	
2022-02-15	15:4:41	9.38534e-1	1.18916e-1	-4.34135e1	5.15601e1	1.10239e2	3.1036138e-4	1.2186169e-3	1.2026916e1	1.0404217	
2022-02-15	15:4:42	9.96255e-1	1.14492e-1	-4.37637e1	5.15600e1	1.10238e2	3.2943487e-4	1.1737346e-3	1.2028595e1	1.0403673	
2022-02-15	15:4:42	9.96255e-1	1.14492e-1	-4.37637e1	5.15600e1	1.10238e2	3.2943487e-4	1.1737346e-3	1.2028595e1	1.0403673	
2022-02-15	15:4:43	1.07265	1.15142e-1	-4.37115e1	5.15567e1	1.10238e2	3.5464763e-4	1.1803507e-3	1.2026077e1	1.0401867	
2022-02-15	15:4:43	1.46594	1.20306e-1	-4.33061e1	5.15600e1	1.10236e2	4.8440694e-4	1.2326836e-3	1.2028595e1	1.0403957	
2022-02-15	15:4:44	1.17877	1.20094e-1	-4.33221e1	5.15567e1	1.10240e2	3.8969516e-4	1.2305974e-3	1.2030273e1	1.0402175	
2022-02-15	15:4:44	7.26212e-1	1.13385e-1	-4.38536e1	5.15567e1	1.10233e2	2.4020671e-4	1.1624693e-3	1.2035310e1	1.0402753	
2022-02-15	15:4:45	1.02714	1.31406e-1	-4.24851e1	5.15634e1	1.10236e2	3.3962726e-4	1.3450980e-3	1.2022720e1	1.0402445	
2022-02-15	15:4:45	7.15204e-1	1.13975e-1	-4.38058e1	5.15634e1	1.10234e2	2.3657083e-4	1.1684298e-3	1.2025238e1	1.0402067	
2022-02-15	15:4:46	7.15204e-1	1.13975e-1	-4.38058e1	5.15634e1	1.10234e2	2.3657083e-4	1.1684298e-3	1.2025238e1	1.0402067	
2022-02-15	15:4:46	1.05716	1.19222e-1	-4.33902e1	5.15600e1	1.10232e2	3.4952163e-4	1.2216567e-3	1.2036988e1	1.0401501	
2022-02-15	15:4:47	9.68896e-1	1.17705e-1	-4.35085e1	5.15634e1	1.10234e2	3.2037496e-4	1.2062788e-3	1.2036988e1	1.0400650	
2022-02-15	15:4:47	1.06787	1.16723e-1	-4.35864e1	5.15634e1	1.10229e2	3.5303831e-4	1.1962652e-3	1.2024399e1	1.0400048	
2022-02-15	15:4:48	1.06896	1.15417e-1	-4.36902e1	5.15600e1	1.10230e2	3.5339593e-4	1.1830329e-3	1.2024399e1	1.0398690	
2022-02-15	15:4:48	1.25416	1.17209e-1	-4.35475e1	5.15600e1	1.10235e2	4.1455030e-4	1.2012720e-3	1.2031114e1	1.0399954	
2022-02-15	15:4:49	1.25416	1.17209e-1	-4.35475e1	5.15600e1	1.10235e2	4.1455030e-4	1.2012720e-3	1.2031114e1	1.0399954	
2022-02-15	15:4:49	9.45288e-1	1.17454e-1	-4.35284e1	5.15634e1	1.10232e2	3.1256675e-4	1.2037158e-3	1.2025238e1	1.0397331	
2022-02-15	15:4:50	1.15434	1.16341e-1	-4.36166e1	5.15634e1	1.10230e2	3.8158893e-4	1.1923909e-3	1.2026916e1	1.0398973	
2022-02-15	15:4:50	1.04303	1.17660e-1	-4.35127e1	5.15634e1	1.10226e2	3.4481287e-4	1.2057423e-3	1.2026077e1	1.0399210	
2022-02-15	15:4:51	1.05508	1.21683e-1	-4.32016e1	5.15600e1	1.10224e2	3.4880638e-4	1.2465119e-3	1.2023559e1	1.0397531	
2022-02-15	15:4:51	1.08271	1.20742e-1	-4.32736e1	5.15600e1	1.10224e2	3.5792589e-4	1.2369751e-3	1.2022720e1	1.0396788	
2022-02-15	15:4:52	9.34836e-1	1.17021e-1	-4.35632e1	5.15600e1	1.10224e2	3.0910968e-4	1.1992454e-3	1.2036988e1	1.0397036	
2022-02-15	15:4:52	8.90996e-1	1.16972e-1	-4.35669e1	5.15600e1	1.10226e2	2.9462575e-4	1.1987686e-3	1.2021881e1	1.0395926	
2022-02-15	15:4:53	9.52617e-1	1.17930e-1	-4.34919e1	5.15634e1	1.10222e2	3.1495094e-4	1.2084245e-3	1.2026077e1	1.0397815	
2022-02-15	15:4:53	1.02409	1.18271e-1	-4.34652e1	5.15634e1	1.10221e2	3.3855438e-4	1.2118816e-3	1.2025238e1	1.0394719	
2022-02-15	15:4:54	9.47364e-1	1.18123e-1	-4.34767e1	5.15634e1	1.10223e2	3.1322240e-4	1.2103915e-3	1.2040345e1	1.0393810	
2022-02-15	15:4:54	8.92034e-1	1.18638e-1	-4.34364e1	5.15600e1	1.10223e2	2.9498338e-4	1.2156367e-3	1.2027755e1	1.0396444	
2022-02-15	15:4:55	1.19311	1.15137e-1	-4.37137e1	5.15600e1	1.10217e2	3.9434432e-4	1.1800527e-3	1.2030273e1	1.0395972	
2022-02-15	15:4:55	1.30650	1.13001e-1	-4.38861e1	5.15567e1	1.10220e2	4.3177604e-4	1.1584162e-3	1.2026077e1	1.0395759	
2022-02-15	15:4:56	1.22185	1.16058e-1	-4.36401e1	5.15600e1	1.10218e2	4.0382146e-4	1.1894106e-3	1.2026916e1	1.0394814	
2022-02-15	15:4:56	1.10231	1.16967e-1	-4.35678e1	5.15634e1	1.10221e2	3.6436319e-4	1.1986494e-3	1.2027755e1	1.0392971	
2022-02-15	15:4:57	9.97758e-1	1.19082e-1	-4.34020e1	5.15634e1	1.10221e2	3.2985210e-4	1.2201070e-3	1.2038667e1	1.0391978	
2022-02-15	15:4:57	1.14097	1.18599e-1	-4.34400e1	5.15634e1	1.10217e2	3.7711858e-4	1.2151598e-3	1.2033631e1	1.0395299	
2022-02-15	15:4:58	9.76150e-1	1.18027e-1	-4.34846e1	5.15600e1	1.10218e2	3.2269954e-4	1.2093782e-3	1.2026077e1	1.0393089	
