"2022-02-19 at 13:58"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-02-19	13:58:27	5.02742e-1	1.37631e-1	-4.20020e1	5.15600e1	1.10822e2	1.6731023e-4	1.4155507e-3	1.2089021e1	1.0355931	
2022-02-19	13:58:27	4.91787e-1	1.40740e-1	-4.17921e1	5.15600e1	1.10823e2	1.6367435e-4	1.4471411e-3	1.2088181e1	1.0355354	
2022-02-19	13:58:28	5.75942e-1	1.39668e-1	-4.18644e1	5.15634e1	1.10818e2	1.9162893e-4	1.4361739e-3	1.2086503e1	1.0356909	
2022-02-19	13:58:28	3.67529e-1	1.37387e-1	-4.20190e1	5.15667e1	1.10818e2	1.2230873e-4	1.4129877e-3	1.2088181e1	1.0355658	
2022-02-19	13:58:29	3.30388e-1	1.41294e-1	-4.17554e1	5.15667e1	1.10819e2	1.0997056e-4	1.4526844e-3	1.2100770e1	1.0354113	
2022-02-19	13:58:29	5.30436e-1	1.42779e-1	-4.16574e1	5.15667e1	1.10815e2	1.7648935e-4	1.4677047e-3	1.2088181e1	1.0355539	
2022-02-19	13:58:30	6.25929e-1	1.39650e-1	-4.18656e1	5.15634e1	1.10818e2	2.0825862e-4	1.4359951e-3	1.2091538e1	1.0353581	
2022-02-19	13:58:30	5.45795e-1	1.41752e-1	-4.17251e1	5.15634e1	1.10818e2	1.8161535e-4	1.4573335e-3	1.2092378e1	1.0355116	
2022-02-19	13:58:31	3.88463e-1	1.42674e-1	-4.16641e1	5.15634e1	1.10818e2	1.2928247e-4	1.4666914e-3	1.2093217e1	1.0355504	
2022-02-19	13:58:31	4.75201e-1	1.39628e-1	-4.18671e1	5.15667e1	1.10818e2	1.5813112e-4	1.4357566e-3	1.2089860e1	1.0354715	
2022-02-19	13:58:32	3.80432e-1	1.40460e-1	-4.18110e1	5.15701e1	1.10820e2	1.2660026e-4	1.4442205e-3	1.2089021e1	1.0353571	
2022-02-19	13:58:32	4.13354e-1	1.40799e-1	-4.17884e1	5.15634e1	1.10819e2	1.3756752e-4	1.4476776e-3	1.2090699e1	1.0355340	
2022-02-19	13:58:33	4.50752e-1	1.39613e-1	-4.18680e1	5.15600e1	1.10818e2	1.5002489e-4	1.4356374e-3	1.2088181e1	1.0355281	
2022-02-19	13:58:33	3.76207e-1	1.40209e-1	-4.18282e1	5.15600e1	1.10816e2	1.2522935e-4	1.4416575e-3	1.2089860e1	1.0354536	
2022-02-19	13:58:34	4.70719e-1	1.41223e-1	-4.17603e1	5.15601e1	1.10817e2	1.5664100e-4	1.4519691e-3	1.2087342e1	1.0352873	
2022-02-19	13:58:34	4.13350e-1	1.41006e-1	-4.17748e1	5.15601e1	1.10817e2	1.3756752e-4	1.4497637e-3	1.2086503e1	1.0354030	
2022-02-19	13:58:35	4.80513e-1	1.43999e-1	-4.15772e1	5.15634e1	1.10815e2	1.5991926e-4	1.4801025e-3	1.2096574e1	1.0355917	
2022-02-19	13:58:35	5.45795e-1	1.40069e-1	-4.18376e1	5.15634e1	1.10816e2	1.8161535e-4	1.4402270e-3	1.2089021e1	1.0353109	
2022-02-19	13:58:36	5.11899e-1	1.37540e-1	-4.20085e1	5.15701e1	1.10818e2	1.7035007e-4	1.4145374e-3	1.2087342e1	1.0354514	
2022-02-19	13:58:36	3.06207e-1	1.36607e-1	-4.20726e1	5.15634e1	1.10817e2	1.0192394e-4	1.4050602e-3	1.2100770e1	1.0354100	
2022-02-19	13:58:37	3.06207e-1	1.36607e-1	-4.20726e1	5.15634e1	1.10817e2	1.0192394e-4	1.4050602e-3	1.2100770e1	1.0354100	
2022-02-19	13:58:37	7.57368e-1	1.39472e-1	-4.18777e1	5.15667e1	1.10817e2	2.5194883e-4	1.4341473e-3	1.2089860e1	1.0354796	
2022-02-19	13:58:38	1.06483	1.42967e-1	-4.16451e1	5.15634e1	1.10813e2	3.5405158e-4	1.4696121e-3	1.2089860e1	1.0353909	
2022-02-19	13:58:38	3.96496e-1	1.43329e-1	-4.16212e1	5.15600e1	1.10813e2	1.3196468e-4	1.4733076e-3	1.2100770e1	1.0352765	
2022-02-19	13:58:39	3.78803e-1	1.58891e-1	-4.06455e1	5.15600e1	1.10811e2	1.2606382e-4	1.6310214e-3	1.2089021e1	1.0353908	
2022-02-19	13:58:39	2.25578e-1	1.45767e-1	-4.14622e1	5.15600e1	1.10813e2	7.5101852e-5	1.4980435e-3	1.2091538e1	1.0351738	
2022-02-19	13:58:40	2.25578e-1	1.45767e-1	-4.14622e1	5.15600e1	1.10813e2	7.5101852e-5	1.4980435e-3	1.2091538e1	1.0351738	
2022-02-19	13:58:40	3.69598e-1	1.31887e-1	-4.24018e1	5.15634e1	1.10817e2	1.2302398e-4	1.3570785e-3	1.2089021e1	1.0351457	
2022-02-19	13:58:41	4.37528e-1	1.36953e-1	-4.20493e1	5.15600e1	1.10811e2	1.4561414e-4	1.4085173e-3	1.2089860e1	1.0351099	
2022-02-19	13:58:41	4.41687e-1	1.42869e-1	-4.16516e1	5.15667e1	1.10813e2	1.4698505e-4	1.4685988e-3	1.2098252e1	1.0349968	
2022-02-19	13:58:42	3.87360e-1	1.41216e-1	-4.17614e1	5.15634e1	1.10810e2	1.2892484e-4	1.4517903e-3	1.2091538e1	1.0352174	
2022-02-19	13:58:42	3.81457e-1	1.38456e-1	-4.19469e1	5.15600e1	1.10810e2	1.2695789e-4	1.4237761e-3	1.2094056e1	1.0351135	
2022-02-19	13:58:43	3.81457e-1	1.38456e-1	-4.19469e1	5.15600e1	1.10810e2	1.2695789e-4	1.4237761e-3	1.2094056e1	1.0351135	
2022-02-19	13:58:43	5.09625e-1	1.40438e-1	-4.18135e1	5.15667e1	1.10809e2	1.6957521e-4	1.4438629e-3	1.2089860e1	1.0352692	
2022-02-19	13:58:44	6.53614e-1	1.38056e-1	-4.19743e1	5.15634e1	1.10807e2	2.1743774e-4	1.4196634e-3	1.2100770e1	1.0352491	
2022-02-19	13:58:44	6.45510e-1	1.39501e-1	-4.18758e1	5.15634e1	1.10815e2	2.1475553e-4	1.4344453e-3	1.2086503e1	1.0320630	
2022-02-19	13:58:45	2.49496e-1	1.42089e-1	-4.17114e1	5.15634e1	1.10716e2	8.2969665e-5	1.4594197e-3	1.2099092e1	1.0331600	
2022-02-19	13:58:45	4.47095e-3	1.43002e-1	-4.16462e1	5.15634e1	1.10773e2	1.4901161e-6	1.4694333e-3	1.2093217e1	1.0343781	
2022-02-19	13:58:46	4.47095e-3	1.43002e-1	-4.16462e1	5.15634e1	1.10773e2	1.4901161e-6	1.4694333e-3	1.2093217e1	1.0343781	
2022-02-19	13:58:46	4.52831e-1	1.38094e-1	-4.19727e1	5.15634e1	1.10796e2	1.5068054e-4	1.4199018e-3	1.2089860e1	1.0349805	
2022-02-19	13:58:47	5.52792e-1	1.42187e-1	-4.16964e1	5.15600e1	1.10816e2	1.8393993e-4	1.4617443e-3	1.2094056e1	1.0355563	
2022-02-19	13:58:47	5.14028e-1	1.40624e-1	-4.18002e1	5.15634e1	1.10818e2	1.7106533e-4	1.4458894e-3	1.2089860e1	1.0355564	
2022-02-19	13:58:48	5.47416e-1	1.40359e-1	-4.18179e1	5.15634e1	1.10819e2	1.8215179e-4	1.4432072e-3	1.2088181e1	1.0355128	
2022-02-19	13:58:48	5.15913e-1	1.39253e-1	-4.18924e1	5.15667e1	1.10818e2	1.7166137e-4	1.4319419e-3	1.2100770e1	1.0353771	
2022-02-19	13:58:49	5.15913e-1	1.39253e-1	-4.18924e1	5.15667e1	1.10818e2	1.7166137e-4	1.4319419e-3	1.2100770e1	1.0353771	
2022-02-19	13:58:49	5.41964e-1	1.38950e-1	-4.19128e1	5.15600e1	1.10818e2	1.8036365e-4	1.4289021e-3	1.2099931e1	1.0353771	
2022-02-19	13:58:50	4.65861e-1	1.39445e-1	-4.18798e1	5.15634e1	1.10814e2	1.5503168e-4	1.4338493e-3	1.2090699e1	1.0352470	
2022-02-19	13:58:50	5.37231e-1	1.36291e-1	-4.20948e1	5.15600e1	1.10810e2	1.7875432e-4	1.4017820e-3	1.2099092e1	1.0349612	
2022-02-19	13:58:51	7.93147e-1	1.39534e-1	-4.18740e1	5.15600e1	1.10811e2	2.6381015e-4	1.4347434e-3	1.2091538e1	1.0349271	
2022-02-19	13:58:51	6.22240e-1	1.40773e-1	-4.17911e1	5.15667e1	1.10809e2	2.0700693e-4	1.4472603e-3	1.2089021e1	1.0350992	
2022-02-19	13:58:52	6.22240e-1	1.40773e-1	-4.17911e1	5.15667e1	1.10809e2	2.0700693e-4	1.4472603e-3	1.2089021e1	1.0350992	
2022-02-19	13:58:52	3.68242e-1	1.40436e-1	-4.18142e1	5.15667e1	1.10802e2	1.2254714e-4	1.4437437e-3	1.2092378e1	1.0349442	
2022-02-19	13:58:53	-7.93509e-1	1.48268e-1	-4.12426e1	5.15634e1	1.11506e2	-2.6631355e-4	1.5329122e-3	1.2085664e1	1.0645152	
2022-02-19	13:58:53	7.63704	1.34220e-1	-4.22078e1	5.15634e1	1.11171e2	2.5261640e-3	1.3852119e-3	1.2093217e1	1.0439344	
2022-02-19	13:58:54	1.06861e1	1.39593e-1	-4.18586e1	5.15634e1	1.10946e2	3.5127997e-3	1.4370679e-3	1.2089860e1	1.0384079	
2022-02-19	13:58:54	9.29481e-1	1.58825e-1	-4.06454e1	5.15634e1	1.10857e2	3.0922889e-4	1.6310214e-3	1.2092378e1	1.0359485	
2022-02-19	13:58:55	9.29481e-1	1.58825e-1	-4.06454e1	5.15634e1	1.10857e2	3.0922889e-4	1.6310214e-3	1.2092378e1	1.0359485	
2022-02-19	13:58:55	9.29481e-1	1.58825e-1	-4.06454e1	5.15634e1	1.10857e2	3.0922889e-4	1.6310214e-3	1.2092378e1	1.0359485	
2022-02-19	13:58:56	-1.59284	1.48288e-1	-4.12999e1	5.15600e1	1.10818e2	-5.3155422e-4	1.5236735e-3	1.2091538e1	1.0348601	
2022-02-19	13:58:56	4.77530e-1	1.40909e-1	-4.17841e1	5.15634e1	1.10784e2	1.5884637e-4	1.4483332e-3	1.2089021e1	1.0339876	
2022-02-19	13:58:57	5.34120e-1	1.40634e-1	-4.18026e1	5.15600e1	1.10782e2	1.7768144e-4	1.4455318e-3	1.2095735e1	1.0339757	
2022-02-19	13:58:57	6.32405e-1	1.36345e-1	-4.20932e1	5.15600e1	1.10786e2	2.1034479e-4	1.4020204e-3	1.2093217e1	1.0341662	
2022-02-19	13:58:58	6.71639e-1	1.38549e-1	-4.19428e1	5.15634e1	1.10784e2	2.2339820e-4	1.4243721e-3	1.2089021e1	1.0339308	
2022-02-19	13:58:58	6.71639e-1	1.38549e-1	-4.19428e1	5.15634e1	1.10784e2	2.2339820e-4	1.4243721e-3	1.2089021e1	1.0339308	
2022-02-19	13:58:59	6.57706e-1	1.38969e-1	-4.19137e1	5.15667e1	1.10792e2	2.1874904e-4	1.4287233e-3	1.2092378e1	1.0342149	
2022-02-19	13:58:59	6.91351e-1	1.39164e-1	-4.19008e1	5.15634e1	1.10790e2	2.2995471e-4	1.4306902e-3	1.2090699e1	1.0343873	
2022-02-19	13:59:00	4.10436e-1	1.37836e-1	-4.19911e1	5.15634e1	1.10787e2	1.3655424e-4	1.4171600e-3	1.2089860e1	1.0343624	
2022-02-19	13:59:00	4.21072e-1	1.37966e-1	-4.19822e1	5.15667e1	1.10787e2	1.4007091e-4	1.4184713e-3	1.2099092e1	1.0343624	
2022-02-19	13:59:01	5.43461e-1	1.39991e-1	-4.18450e1	5.15634e1	1.10790e2	1.8078088e-4	1.4390945e-3	1.2094056e1	1.0342338	
2022-02-19	13:59:01	5.43461e-1	1.39991e-1	-4.18450e1	5.15634e1	1.10790e2	1.8078088e-4	1.4390945e-3	1.2094056e1	1.0342338	
2022-02-19	13:59:02	6.65538e-1	1.38530e-1	-4.19437e1	5.15600e1	1.10789e2	2.2137165e-4	1.4242529e-3	1.2091538e1	1.0343530	
2022-02-19	13:59:02	4.69551e-1	1.39215e-1	-4.18973e1	5.15600e1	1.10790e2	1.5622377e-4	1.4312267e-3	1.2085664e1	1.0342633	
2022-02-19	13:59:03	4.91792e-1	1.39832e-1	-4.18561e1	5.15634e1	1.10786e2	1.6361474e-4	1.4374256e-3	1.2085664e1	1.0342713	
2022-02-19	13:59:03	6.24301e-1	1.36710e-1	-4.20678e1	5.15600e1	1.10790e2	2.0766258e-4	1.4057755e-3	1.2091538e1	1.0342928	
2022-02-19	13:59:04	6.07644e-1	1.35495e-1	-4.21514e1	5.15634e1	1.10791e2	2.0211935e-4	1.3934373e-3	1.2095735e1	1.0344654	
2022-02-19	13:59:04	6.07644e-1	1.35495e-1	-4.21514e1	5.15634e1	1.10791e2	2.0211935e-4	1.3934373e-3	1.2095735e1	1.0344654	
2022-02-19	13:59:05	3.70113e-1	1.34665e-1	-4.22092e1	5.15600e1	1.10788e2	1.2314319e-4	1.3849735e-3	1.2089021e1	1.0344027	
2022-02-19	13:59:05	3.25587e-1	1.36046e-1	-4.21133e1	5.15634e1	1.10792e2	1.0836124e-4	1.3990402e-3	1.2094056e1	1.0344891	
2022-02-19	13:59:06	3.53916e-1	1.37674e-1	-4.20018e1	5.15667e1	1.10791e2	1.1777877e-4	1.4155507e-3	1.2092378e1	1.0343626	
2022-02-19	13:59:06	3.24554e-1	1.39397e-1	-4.18848e1	5.15667e1	1.10792e2	1.0800361e-4	1.4330744e-3	1.2089021e1	1.0342988	
