"2022-02-23 at 16:7"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-02-23	16:7:36	1.54612	9.32666e-2	-4.53710e1	5.15600e1	1.13517e2	5.2744150e-4	9.8639726e-4	1.2059648e1	1.0802178	
2022-02-23	16:7:36	1.66391	9.20526e-2	-4.54894e1	5.15600e1	1.13522e2	5.6755542e-4	9.7370147e-4	1.2059648e1	1.0801964	
2022-02-23	16:7:37	1.71040	9.41981e-2	-4.52807e1	5.15634e1	1.13519e2	5.8335065e-4	9.9617242e-4	1.2055451e1	1.0802094	
2022-02-23	16:7:37	1.81828	9.61942e-2	-4.50896e1	5.15634e1	1.13525e2	6.2006711e-4	1.0171532e-3	1.2063844e1	1.0801821	
2022-02-23	16:7:38	2.43836	9.44575e-2	-4.52555e1	5.15634e1	1.13522e2	8.3082914e-4	9.9891424e-4	1.2058808e1	1.0801976	
2022-02-23	16:7:38	2.32174	8.93291e-2	-4.57613e1	5.15667e1	1.13521e2	7.9119205e-4	9.4509124e-4	1.2073075e1	1.0802024	
2022-02-23	16:7:39	2.32174	8.93291e-2	-4.57613e1	5.15667e1	1.13521e2	7.9119205e-4	9.4509124e-4	1.2073075e1	1.0802024	
2022-02-23	16:7:39	1.45545	8.67348e-2	-4.60271e1	5.15701e1	1.13521e2	4.9656629e-4	9.1785192e-4	1.2057969e1	1.0801987	
2022-02-23	16:7:40	1.54123	1.24086e-1	-4.27460e1	5.15634e1	1.13519e2	5.2577257e-4	1.3087987e-3	1.2057969e1	1.0802084	
2022-02-23	16:7:40	1.57112	1.07183e-1	-4.41007e1	5.15600e1	1.13523e2	5.3596496e-4	1.1322498e-3	1.2057130e1	1.0802169	
2022-02-23	16:7:41	1.73474	9.30312e-2	-4.53936e1	5.15634e1	1.13521e2	5.9163570e-4	9.8395347e-4	1.2062165e1	1.0802429	
2022-02-23	16:7:41	1.85964	9.17751e-2	-4.55167e1	5.15667e1	1.13523e2	6.3413381e-4	9.7078084e-4	1.2058808e1	1.0801993	
2022-02-23	16:7:42	1.85964	9.17751e-2	-4.55167e1	5.15667e1	1.13523e2	6.3413381e-4	9.7078084e-4	1.2058808e1	1.0801993	
2022-02-23	16:7:42	1.84469	9.08381e-2	-4.56097e1	5.15634e1	1.13522e2	6.2906742e-4	9.6094608e-4	1.2060487e1	1.0801976	
2022-02-23	16:7:43	1.52402	9.04678e-2	-4.56465e1	5.15667e1	1.13524e2	5.1993131e-4	9.5707178e-4	1.2060487e1	1.0801857	
2022-02-23	16:7:43	1.71760	9.02106e-2	-4.56727e1	5.15634e1	1.13518e2	5.8579444e-4	9.5432996e-4	1.2062165e1	1.0802154	
2022-02-23	16:7:44	1.77117	9.19033e-2	-4.55044e1	5.15667e1	1.13519e2	6.0403347e-4	9.7209215e-4	1.2056291e1	1.0802094	
2022-02-23	16:7:44	1.71587	9.11628e-2	-4.55774e1	5.15667e1	1.13522e2	5.8519840e-4	9.6434354e-4	1.2072236e1	1.0801976	
