"2022-03-02 at 18:3"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-03-02	18:3:08	1.03445	2.13904e-1	-3.75479e1	5.15667e1	1.13421e2	3.5279989e-4	2.2366642e-3	1.2018524e1	1.0806772	
2022-03-02	18:3:08	1.05308	2.13047e-1	-3.75875e1	5.15701e1	1.13418e2	3.5911798e-4	2.2277832e-3	1.2005096e1	1.0806915	
2022-03-02	18:3:09	7.73394e-1	2.10472e-1	-3.77061e1	5.15600e1	1.13425e2	2.6386976e-4	2.2015571e-3	1.2005935e1	1.0806570	
2022-03-02	18:3:09	1.07816	2.12545e-1	-3.76102e1	5.15634e1	1.13422e2	3.6770105e-4	2.2227764e-3	1.2017685e1	1.0806689	
2022-03-02	18:3:10	8.65019e-1	2.13145e-1	-3.75823e1	5.15567e1	1.13425e2	2.9510259e-4	2.2290349e-3	1.2002578e1	1.0806546	
2022-03-02	18:3:10	1.08800	2.10709e-1	-3.76951e1	5.15567e1	1.13425e2	3.7103891e-4	2.2040009e-3	1.2004257e1	1.0806593	
2022-03-02	18:3:11	1.08800	2.10709e-1	-3.76951e1	5.15567e1	1.13425e2	3.7103891e-4	2.2040009e-3	1.2004257e1	1.0806593	
2022-03-02	18:3:11	1.47847	2.11749e-1	-3.76464e1	5.15634e1	1.13429e2	5.0395727e-4	2.2147297e-3	1.2001739e1	1.0806380	
2022-03-02	18:3:12	1.53246	2.10888e-1	-3.76865e1	5.15634e1	1.13427e2	5.2231550e-4	2.2058486e-3	1.2004257e1	1.0806474	
2022-03-02	18:3:12	8.14061e-1	2.30460e-1	-3.68128e1	5.15600e1	1.13432e2	2.7775764e-4	2.4066567e-3	1.2023559e1	1.0806237	
2022-03-02	18:3:13	8.30027e-1	2.42117e-1	-3.63239e1	5.15634e1	1.13433e2	2.8318166e-4	2.5258660e-3	1.2007614e1	1.0806189	
