"2022-03-08 at 13:57"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2022-03-08	13:57:57	1.02935	8.56867e-2	-4.62356e1	5.15701e1	1.12279e2	3.4719705e-4	8.9693069e-4	1.2073915e1	1.0861390	
2022-03-08	13:57:57	1.13177	8.42729e-2	-4.63848e1	5.15701e1	1.12283e2	3.8170814e-4	8.8226795e-4	1.2078111e1	1.0861321	
2022-03-08	13:57:58	1.13740	8.56833e-2	-4.62357e1	5.15667e1	1.12283e2	3.8361549e-4	8.9693069e-4	1.2076432e1	1.0861233	
2022-03-08	13:57:58	1.19422	8.24588e-2	-4.65799e1	5.15667e1	1.12284e2	4.0274858e-4	8.6343288e-4	1.2070558e1	1.0861262	
2022-03-08	13:57:59	1.34557	8.12713e-2	-4.67098e1	5.15634e1	1.12283e2	4.5371055e-4	8.5109472e-4	1.2072236e1	1.0861184	
2022-03-08	13:57:59	1.09308	8.50829e-2	-4.62986e1	5.15634e1	1.12286e2	3.6871433e-4	8.9073181e-4	1.2072236e1	1.0861140	
2022-03-08	13:58:00	9.80037e-1	8.54086e-2	-4.62641e1	5.15634e1	1.12288e2	3.3062696e-4	8.9412927e-4	1.2084825e1	1.0860967	
2022-03-08	13:58:00	1.16210	8.49183e-2	-4.63162e1	5.15634e1	1.12284e2	3.9196014e-4	8.8900327e-4	1.2074754e1	1.0861160	
2022-03-08	13:58:01	1.29613	8.54742e-2	-4.62575e1	5.15634e1	1.12285e2	4.3708086e-4	8.9478492e-4	1.2070558e1	1.0861123	
2022-03-08	13:58:01	1.22392	8.39816e-2	-4.64156e1	5.15634e1	1.12286e2	4.1276216e-4	8.7928771e-4	1.2073915e1	1.0861140	
2022-03-08	13:58:02	1.11273	8.56797e-2	-4.62359e1	5.15600e1	1.12285e2	3.7533044e-4	8.9693069e-4	1.2068879e1	1.0861111	
2022-03-08	13:58:02	1.20472	8.69364e-2	-4.61048e1	5.15634e1	1.12286e2	4.0632486e-4	9.0998411e-4	1.2083146e1	1.0861064	
2022-03-08	13:58:03	1.23645	8.79763e-2	-4.59978e1	5.15634e1	1.12285e2	4.1699409e-4	9.2077255e-4	1.2084825e1	1.0861136	
2022-03-08	13:58:03	1.22341	8.80219e-2	-4.59931e1	5.15634e1	1.12285e2	4.1258335e-4	9.2124938e-4	1.2072236e1	1.0861111	
2022-03-08	13:58:04	1.37476	8.33625e-2	-4.64820e1	5.15634e1	1.12286e2	4.6354532e-4	8.7285041e-4	1.2089860e1	1.0861164	
2022-03-08	13:58:04	1.39545	8.41746e-2	-4.63949e1	5.15600e1	1.12288e2	4.7051906e-4	8.8131427e-4	1.2073075e1	1.0860979	
2022-03-08	13:58:05	1.16936	8.62358e-2	-4.61776e1	5.15600e1	1.12286e2	3.9440393e-4	9.0271234e-4	1.2075593e1	1.0861087	
2022-03-08	13:58:05	1.17430	8.45460e-2	-4.63551e1	5.15634e1	1.12291e2	3.9607286e-4	8.8518857e-4	1.2076432e1	1.0860834	
2022-03-08	13:58:06	1.28744	8.56438e-2	-4.62394e1	5.15634e1	1.12288e2	4.3416023e-4	8.9657306e-4	1.2077271e1	1.0860967	
2022-03-08	13:58:06	1.23476	8.42307e-2	-4.63887e1	5.15634e1	1.12291e2	4.1645765e-4	8.8191032e-4	1.2073915e1	1.0860846	
2022-03-08	13:58:07	1.21464	8.44828e-2	-4.63619e1	5.15600e1	1.12290e2	4.0966272e-4	8.8453292e-4	1.2077271e1	1.0860882	
2022-03-08	13:58:07	1.15516	8.84872e-2	-4.59450e1	5.15634e1	1.12292e2	3.8963556e-4	9.2613697e-4	1.2077271e1	1.0860786	
2022-03-08	13:58:08	1.15647	8.54366e-2	-4.62610e1	5.15667e1	1.12290e2	3.9005279e-4	8.9442729e-4	1.2078111e1	1.0860871	
2022-03-08	13:58:08	1.15647	8.54366e-2	-4.62610e1	5.15667e1	1.12290e2	3.9005279e-4	8.9442729e-4	1.2078111e1	1.0860871	
2022-03-08	13:58:09	1.31197	8.31842e-2	-4.65005e1	5.15667e1	1.12295e2	4.4244527e-4	8.7106227e-4	1.2076432e1	1.0860615	
2022-03-08	13:58:09	1.42098	8.59116e-2	-4.62110e1	5.15667e1	1.12292e2	4.7910213e-4	8.9937448e-4	1.2080628e1	1.0860798	
2022-03-08	13:58:10	1.30114	8.64823e-2	-4.61512e1	5.15667e1	1.12295e2	4.3880939e-4	9.0533494e-4	1.2073915e1	1.0860693	
2022-03-08	13:58:10	1.40267	8.57220e-2	-4.62310e1	5.15634e1	1.12291e2	4.7296285e-4	8.9740753e-4	1.2078950e1	1.0860923	
2022-03-08	13:58:11	1.19817	8.77296e-2	-4.60225e1	5.15634e1	1.12292e2	4.0411949e-4	9.1826915e-4	1.2077271e1	1.0860786	
2022-03-08	13:58:11	1.19817	8.77296e-2	-4.60225e1	5.15634e1	1.12292e2	4.0411949e-4	9.1826915e-4	1.2077271e1	1.0860786	
2022-03-08	13:58:12	9.95204e-1	8.58896e-2	-4.62136e1	5.15600e1	1.12288e2	3.3575296e-4	8.9913606e-4	1.2072236e1	1.0861055	
2022-03-08	13:58:12	1.23124	8.27591e-2	-4.65465e1	5.15600e1	1.12294e2	4.1526556e-4	8.6665153e-4	1.2073075e1	1.0860676	
2022-03-08	13:58:13	1.35905	8.46130e-2	-4.63479e1	5.15600e1	1.12292e2	4.5830011e-4	8.8590383e-4	1.2085664e1	1.0860862	
2022-03-08	13:58:13	1.31324	8.52784e-2	-4.62775e1	5.15600e1	1.12292e2	4.4286251e-4	8.9281797e-4	1.2072236e1	1.0860773	
2022-03-08	13:58:14	1.51888	8.51655e-2	-4.62895e1	5.15634e1	1.12291e2	5.1206350e-4	8.9162588e-4	1.2077271e1	1.0860923	
2022-03-08	13:58:14	1.51888	8.51655e-2	-4.62895e1	5.15634e1	1.12291e2	5.1206350e-4	8.9162588e-4	1.2077271e1	1.0860923	
2022-03-08	13:58:15	1.58882	8.55591e-2	-4.62479e1	5.15600e1	1.12292e2	5.3560733e-4	8.9573860e-4	1.2079789e1	1.0860749	
2022-03-08	13:58:15	1.23616	8.74840e-2	-4.60475e1	5.15567e1	1.12295e2	4.1693449e-4	9.1576576e-4	1.2073075e1	1.0860615	
2022-03-08	13:58:16	1.68272	8.20615e-2	-4.66225e1	5.15600e1	1.12292e2	5.6719779e-4	8.5937976e-4	1.2075593e1	1.0860798	
2022-03-08	13:58:16	2.21947	7.99230e-2	-4.68587e1	5.15600e1	1.12292e2	7.4756145e-4	8.3714723e-4	1.2083146e1	1.0860862	
2022-03-08	13:58:17	1.56081	8.14664e-2	-4.66876e1	5.15667e1	1.12292e2	5.2618980e-4	8.5318088e-4	1.2076432e1	1.0860850	
2022-03-08	13:58:17	1.56081	8.14664e-2	-4.66876e1	5.15667e1	1.12292e2	5.2618980e-4	8.5318088e-4	1.2076432e1	1.0860850	
2022-03-08	13:58:18	1.10256	9.93678e-2	-4.48934e1	5.15634e1	1.12293e2	3.7193298e-4	1.0390281e-3	1.2072236e1	1.0860813	
2022-03-08	13:58:18	1.27284	1.15553e-1	-4.35079e1	5.15600e1	1.12295e2	4.2927265e-4	1.2065768e-3	1.2072236e1	1.0860641	
2022-03-08	13:58:19	1.12415	8.37406e-2	-4.64408e1	5.15634e1	1.12294e2	3.7920475e-4	8.7684392e-4	1.2076432e1	1.0861121	
2022-03-08	13:58:19	1.23546	8.38894e-2	-4.64249e1	5.15600e1	1.12293e2	4.1669607e-4	8.7839365e-4	1.2086503e1	1.0860801	
2022-03-08	13:58:20	1.31986	8.25692e-2	-4.65670e1	5.15600e1	1.12295e2	4.4512748e-4	8.6468458e-4	1.2081468e1	1.0860717	
2022-03-08	13:58:20	1.31986	8.25692e-2	-4.65670e1	5.15600e1	1.12295e2	4.4512748e-4	8.6468458e-4	1.2081468e1	1.0860717	
