Sample 1
4/12/2022 2:49 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	1.259
220.5	1.235
221.0	1.210
221.5	1.187
222.0	1.163
222.5	1.143
223.0	1.123
223.5	1.102
224.0	1.082
224.5	1.061
225.0	1.047
225.5	1.035
226.0	1.026
226.5	1.017
227.0	1.011
227.5	1.005
228.0	1.000
228.5	0.997
229.0	0.994
229.5	0.992
230.0	0.990
230.5	0.989
231.0	0.988
231.5	0.988
232.0	0.989
232.5	0.990
233.0	0.989
233.5	0.990
234.0	0.992
234.5	0.995
235.0	0.998
235.5	1.004
236.0	1.011
236.5	1.018
237.0	1.029
237.5	1.038
238.0	1.049
238.5	1.065
239.0	1.080
239.5	1.093
240.0	1.106
240.5	1.119
241.0	1.128
241.5	1.137
242.0	1.146
242.5	1.157
243.0	1.171
243.5	1.185
244.0	1.199
244.5	1.212
245.0	1.223
245.5	1.235
246.0	1.246
246.5	1.256
247.0	1.267
247.5	1.277
248.0	1.286
248.5	1.297
249.0	1.306
249.5	1.315
250.0	1.322
250.5	1.330
251.0	1.337
251.5	1.344
252.0	1.353
252.5	1.361
253.0	1.367
253.5	1.372
254.0	1.376
254.5	1.378
255.0	1.379
255.5	1.380
256.0	1.380
256.5	1.378
257.0	1.376
257.5	1.374
258.0	1.369
258.5	1.365
259.0	1.361
259.5	1.356
260.0	1.350
260.5	1.344
261.0	1.339
261.5	1.333
262.0	1.328
262.5	1.322
263.0	1.314
263.5	1.305
264.0	1.292
264.5	1.277
265.0	1.261
265.5	1.244
266.0	1.229
266.5	1.215
267.0	1.201
267.5	1.188
268.0	1.174
268.5	1.157
269.0	1.141
269.5	1.127
270.0	1.112
270.5	1.098
271.0	1.082
271.5	1.067
272.0	1.050
272.5	1.034
273.0	1.019
273.5	1.004
274.0	0.990
274.5	0.974
275.0	0.958
275.5	0.942
276.0	0.923
276.5	0.905
277.0	0.886
277.5	0.867
278.0	0.847
278.5	0.828
279.0	0.808
279.5	0.788
280.0	0.771
280.5	0.753
281.0	0.734
281.5	0.715
282.0	0.696
282.5	0.680
283.0	0.663
283.5	0.646
284.0	0.631
284.5	0.615
285.0	0.599
285.5	0.584
286.0	0.569
286.5	0.553
287.0	0.537
287.5	0.519
288.0	0.503
288.5	0.488
289.0	0.474
289.5	0.458
290.0	0.441
290.5	0.425
291.0	0.407
291.5	0.390
292.0	0.372
292.5	0.357
293.0	0.342
293.5	0.327
294.0	0.310
294.5	0.295
295.0	0.281
295.5	0.267
296.0	0.253
296.5	0.240
297.0	0.229
297.5	0.221
298.0	0.211
298.5	0.201
299.0	0.191
299.5	0.183
300.0	0.175
300.5	0.166
301.0	0.158
301.5	0.153
302.0	0.144
302.5	0.135
303.0	0.129
303.5	0.123
304.0	0.118
304.5	0.115
305.0	0.111
305.5	0.105
306.0	0.100
306.5	0.097
307.0	0.093
307.5	0.089
308.0	0.086
308.5	0.084
309.0	0.081
309.5	0.078
310.0	0.077
310.5	0.076
311.0	0.074
311.5	0.072
312.0	0.069
312.5	0.067
313.0	0.066
313.5	0.065
314.0	0.064
314.5	0.062
315.0	0.060
315.5	0.059
316.0	0.057
316.5	0.056
317.0	0.055
317.5	0.054
318.0	0.052
318.5	0.050
319.0	0.049
319.5	0.047
320.0	0.046
320.5	0.043
321.0	0.042
321.5	0.041
322.0	0.041
322.5	0.039
323.0	0.038
323.5	0.035
324.0	0.034
324.5	0.033
325.0	0.032
325.5	0.031
326.0	0.029
326.5	0.028
327.0	0.026
327.5	0.026
328.0	0.025
328.5	0.024
329.0	0.023
329.5	0.022
330.0	0.022
330.5	0.020
331.0	0.020
331.5	0.019
332.0	0.018
332.5	0.016
333.0	0.016
333.5	0.016
334.0	0.016
334.5	0.014
335.0	0.013
335.5	0.012
336.0	0.012
336.5	0.011
337.0	0.008
337.5	0.007
338.0	0.006
338.5	0.006
339.0	0.005
339.5	0.002
340.0	0.000
340.5	-0.001
341.0	-0.002
341.5	-0.002
342.0	-0.003
342.5	-0.005
343.0	-0.006
343.5	-0.008
344.0	-0.010
344.5	-0.011
345.0	-0.013
345.5	-0.015
346.0	-0.016
346.5	-0.017
347.0	-0.019
347.5	-0.017
348.0	-0.018
348.5	-0.020
349.0	-0.023
349.5	-0.024
350.0	-0.024

