Sample 1
4/12/2022 4:15 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.03333	
//WLCalib: 261S 	0.56000	
//WLCalib: 362S 	0.57000	
//WLCalib: 484S 	0.97000	
//WLCalib: 529S 	0.93000	
//WLCalib: 823S 	0.45000	
//QSpecEnd: 
220.0	1.285
220.5	1.264
221.0	1.245
221.5	1.226
222.0	1.208
222.5	1.190
223.0	1.172
223.5	1.155
224.0	1.139
224.5	1.124
225.0	1.112
225.5	1.098
226.0	1.091
226.5	1.084
227.0	1.079
227.5	1.073
228.0	1.068
228.5	1.065
229.0	1.063
229.5	1.061
230.0	1.058
230.5	1.057
231.0	1.056
231.5	1.054
232.0	1.053
232.5	1.052
233.0	1.052
233.5	1.051
234.0	1.052
234.5	1.052
235.0	1.054
235.5	1.055
236.0	1.058
236.5	1.061
237.0	1.066
237.5	1.071
238.0	1.079
238.5	1.087
239.0	1.094
239.5	1.102
240.0	1.108
240.5	1.114
241.0	1.120
241.5	1.125
242.0	1.130
242.5	1.137
243.0	1.144
243.5	1.152
244.0	1.160
244.5	1.167
245.0	1.172
245.5	1.176
246.0	1.181
246.5	1.187
247.0	1.193
247.5	1.199
248.0	1.205
248.5	1.210
249.0	1.216
249.5	1.221
250.0	1.224
250.5	1.227
251.0	1.230
251.5	1.234
252.0	1.237
252.5	1.240
253.0	1.245
253.5	1.246
254.0	1.248
254.5	1.247
255.0	1.245
255.5	1.241
256.0	1.239
256.5	1.232
257.0	1.226
257.5	1.222
258.0	1.217
258.5	1.212
259.0	1.207
259.5	1.202
260.0	1.198
260.5	1.194
261.0	1.190
261.5	1.185
262.0	1.180
262.5	1.174
263.0	1.169
263.5	1.161
264.0	1.151
264.5	1.140
265.0	1.125
265.5	1.113
266.0	1.102
266.5	1.091
267.0	1.079
267.5	1.066
268.0	1.055
268.5	1.041
269.0	1.027
269.5	1.015
270.0	1.003
270.5	0.992
271.0	0.981
271.5	0.968
272.0	0.956
272.5	0.948
273.0	0.935
273.5	0.923
274.0	0.910
274.5	0.898
275.0	0.886
275.5	0.874
276.0	0.860
276.5	0.845
277.0	0.830
277.5	0.815
278.0	0.800
278.5	0.783
279.0	0.769
