SampleID,WNH3,WNO1,WNO3,
021A,0.143,0.054,5.0393,
021B,0.146,0.057,5.5198,
021C,0.152,0.060,5.6997,
112A,0.304,0.128,3.3540,
112B,0.313,0.144,3.8441,
112C,0.346,0.145,3.7410,
056A,0.257,0.101,6.6459,
056B,0.246,0.104,6.7802,
056C,0.268,0.112,7.4296,
007A,0.012,0.044,3.0360,
007B,0.007,0.046,3.1699,
007C,-0.037,0.008,3.1194,
020A,0.012,0.043,1.6104,
020B,0.012,0.046,1.7484,
020C,0.008,0.046,1.8482,
083A,0.023,0.045,1.4427,
083B,0.026,0.044,1.2809,
083C,0.027,0.046,1.2390,
BLANK_4WK_POST_1,-0.005,0.042,0.0156,
BLANK_4WK_POST_2,-0.001,0.045,0.0223,
BLANK_4WK_POST_3,0.001,0.047,0.0052,
022A,0.155,0.042,6.3509,
022B,0.175,0.046,6.7027,
022C,0.178,0.047,7.0893,
068A,0.344,0.046,5.2823,
068B,0.405,0.056,6.2849,
068C,0.386,0.055,6.0181,
061A,0.117,0.039,3.2645,
061B,0.125,0.048,3.7799,
061C,0.128,0.046,3.5877,
064A,0.388,0.044,1.7109,
064B,0.393,0.046,1.7380,
064C,0.417,0.047,1.8887,
029A,0.169,0.039,0.8642,
029B,0.205,0.047,1.2219,
029C,0.231,0.051,1.2965,
044A,0.115,0.043,1.6141,
044B,0.126,0.045,1.7651,
044C,0.130,0.047,1.7844,
BLANK_4WK_PRE_1,-0.003,0.040,-0.0560,
BLANK_4WK_PRE_2,0.003,0.042,-0.0875,
BLANK_4WK_PRE_3,0.009,0.043,-0.0664,
095A,0.210,0.039,0.1956,
095B,0.269,0.043,0.3035,
095C,0.233,0.043,0.2664,
109A,0.096,0.040,1.1232,
109B,0.104,0.043,1.2208,
109C,0.109,0.046,1.3139,
090A,0.104,0.056,1.5410,
090B,0.104,0.058,1.5837,
090C,0.096,0.058,1.6278,
111A,0.101,0.039,-0.0152,
111B,0.126,0.047,0.0483,
111C,0.118,0.041,0.0486,
115A,0.023,0.039,0.4987,
115B,0.023,0.043,0.5763,
115C,0.033,0.049,0.6575,
084A,0.032,0.041,0.2483,
084B,0.038,0.045,0.2572,
084C,0.037,0.049,0.3288,
024A,0.075,0.057,-0.0156,
024B,0.073,0.050,-0.0419,
024C,0.084,0.048,-0.1080,
NO3E,0,0,0.8312,
NO2E,0,0,0.9269,
