sample_no,jar_soil_mass,cn_soil_mass,n_extraction_soil_mass,n_leachate_glassware_pre,n_leachate_soil_mass_pre,n_leachate_soil_glassware_post,n_leachate_soil_mass_post,water_absorbed_soil,water_leachate
6,518.89,,5.03,214.33,14.99,232.58,18.25,3.26,21.74
12,521.13,,2.015,236.58,15.05,255.84,19.26,4.21,20.79
18,518.25,,5.014,179.03,14.99,199.73,20.7,5.71,19.29
31,527.83,,4.984,193.55,15,214.08,20.53,5.53,19.47
41,498.99,,4.989,221.05,15.06,240.59,19.54,4.48,20.52
50,519.73,,5.001,203.92,15.05,224.38,20.46,5.41,19.59
61,526.46,,5.015,210.38,15.05,231.04,20.66,5.61,19.39
96,529.31,,5.02,206.93,15.01,227.86,20.93,5.92,19.08
103,526.68,,5.006,213.57,15.02,233.98,20.41,5.39,19.61
109,511.61,,5.017,210.98,15.05,231.85,20.87,5.82,19.18
