sample_no,jar_soil_mass,cn_soil_mass,n_extraction_soil_mass,n_leachate_glassware_pre,n_leachate_soil_mass_pre,n_leachate_soil_glassware_post,n_leachate_soil_mass_post,water_absorbed_soil,water_leachate
3,519.43,,5.011,208.18,14.98,233.16,24.98,10,15
10,517.15,,5.005,222.93,15,242.67,19.74,4.74,20.26
13,521.91,,5.006,188.87,15.01,208.87,20,4.99,20.01
14,529.18,,5.001,214.23,15.02,240.27,26.04,11.02,13.98
32,435.79,,2.76,194.78,8.2,195.13,0.35,NA,15.91
42,432.96,,2.74,221.21,8.26,221.83,0.62,NA,12.51
44,521.45,,5.008,218.02,15.03,243.44,25.42,10.39,14.61
45,531.94,,4.997,211.84,15.02,231.96,20.12,5.1,19.9
48,529.64,,5.007,241.02,15.03,264.83,23.81,8.78,16.22
49,527.53,,5.006,204.36,14.98,225.73,21.37,6.39,18.61
53,529.58,,4.996,208.5,15.03,227.79,19.29,4.26,20.74
55,520.04,,4.997,206.21,15.01,231.18,24.97,9.96,15.04
57,521.27,,4.996,198.44,15.03,223.77,25.33,10.3,14.7
58,529.47,,5.006,208.38,15.03,234.15,25.77,10.74,14.26
63,517.02,,5.001,221.57,14.99,245.51,23.94,8.95,16.05
68,528.64,,4.998,203.27,14.99,228.38,25.11,10.12,14.88
74,519.61,,4.994,201.39,15.02,221.8,20.41,5.39,19.61
78,433.03,,2.73,197.65,8.26,197.74,0.09,NA,13.76
93,520.24,,4.999,198.88,14.98,219.18,20.3,5.32,19.68
95,514.02,,5,211,15.02,231.2,20.2,5.18,19.82
97,435.6,,2.75,207.06,8.23,207.42,0.36,NA,13.53
108,511.95,,5.007,208.73,14.99,228.93,20.2,5.21,19.79
119,435.96,,2.73,212.55,8.22,212.46,-0.09,NA,14.69
126,518.22,,4.993,216.26,14.98,236.48,20.22,5.24,19.76
128,530.66,,5.002,202.16,15.03,228.2,26.04,11.01,13.99
