sample_no,dried_soil_tube_cap_wt,notes,
2,20.893,,
3,21.057,,
4,20.777,,
5,19.985,,
7,21.015,,
8,20.398,,
10,20.433,,
11,20.034,,
13,20.370,,
14,20.850,,
16,20.300,,
17,20.101,,
19,21.128,,
20,19.981,,
21,21.065,,
22,20.172,,
24,19.988,,
25,19.335,,
26,20.465,,
27,20.146,,
28,20.490,,
30,20.568,,gross from sticky stuff pooled at bottom
32,16.476,no_soil,
34,20.749,orange,
35,21.020,,
37,20.194,,
38,20.318,,
42,16.278,tube_only,
43,20.404,,
44,20.970,,
45,19.987,,
47,20.205,,
48,20.969,,
49,20.261,,
51,20.954,,
53,20.064,,
55,21.021,,
56,20.503,orange,
57,21.020,,
58,21.096,,
59,20.116,,
60,20.128,,
62,20.492,,
63,21.153,,
64,20.435,,
65,20.952,,
67,20.014,,
68,21.018,,
69,19.987,,
70,20.369,,
73,20.143,,
74,20.213,,
75,20.997,,
77,20.233,,
79,20.590,,
80,21.212,,
81,21.216,,
82,21.026,,
84,21.031,,
85,21.025,,
86,21.089,,
87,20.606,,
88,20.458,,
89,20.306,,
90,19.983,,
91,20.548,,
93,20.258,,
94,20.318,,
95,20.171,,
97,16.322,no_soil,
99,20.412,,
100,21.080,,
101,20.948,,
104,20.552,,
106,21.438,,
107,20.327,,
108,20.156,,
111,20.460,,
114,20.665,,
116,20.286,,
117,21.141,,
118,21.127,,
119,16.297,no_soil,
120,20.288,,
121,21.055,,
122,20.337,,
123,20.546,,
124,20.840,,
125,20.874,,
126,20.378,,
128,21.052,,
129,19.835,,
131,21.006,,
132,20.184,,
Blank,16.160,,
Blank,16.141,,
Blank,16.213,,
Blank,16.258,,
