,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,,NaN,NaN
,A02,ROX,,Unkn,,NaN,NaN
,A03,ROX,,Unkn,,NaN,NaN
,A04,ROX,,Unkn,,NaN,NaN
,A05,ROX,,Unkn,,NaN,NaN
,A06,ROX,,Unkn,,NaN,NaN
,A07,ROX,,Unkn,,NaN,NaN
,A08,ROX,,Unkn,,NaN,NaN
,A01,SYBR,,Unkn,,7.88960140490549,NaN
,A02,SYBR,,Unkn,,6.20954002302523,NaN
,A03,SYBR,,Unkn,,25.060585988856,NaN
,A04,SYBR,,Unkn,,12.5695398335116,NaN
,A05,SYBR,,Unkn,,24.6537783242859,NaN
,A06,SYBR,,Unkn,,9.50864415367883,NaN
,A07,SYBR,,Unkn,,8.54094471200522,NaN
,A08,SYBR,,Unkn,,27.8434388583549,NaN
