,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,,NaN,NaN
,A02,ROX,,Unkn,,NaN,NaN
,A03,ROX,,Unkn,,NaN,NaN
,A04,ROX,,Unkn,,NaN,NaN
,A05,ROX,,Unkn,,NaN,NaN
,A06,ROX,,Unkn,,NaN,NaN
,A07,ROX,,Unkn,,NaN,NaN
,A08,ROX,,Unkn,,NaN,NaN
,B01,ROX,,Unkn,,NaN,NaN
,B02,ROX,,Unkn,,NaN,NaN
,B03,ROX,,Unkn,,NaN,NaN
,B04,ROX,,Unkn,,NaN,NaN
,A01,SYBR,,Unkn,,3.20500070750265,NaN
,A02,SYBR,,Unkn,,2.96161951396234,NaN
,A03,SYBR,,Unkn,,2.64362113946895,NaN
,A04,SYBR,,Unkn,,24.7251148529632,NaN
,A05,SYBR,,Unkn,,26.6697766779558,NaN
,A06,SYBR,,Unkn,,10.0690965957652,NaN
,A07,SYBR,,Unkn,,22.8278392342444,NaN
,A08,SYBR,,Unkn,,29.2147856006532,NaN
,B01,SYBR,,Unkn,,1.36092304684798,NaN
,B02,SYBR,,Unkn,,9.62200686409695,NaN
,B03,SYBR,,Unkn,,7.20034170125304,NaN
,B04,SYBR,,Unkn,,30.0833249507144,NaN
