,Well,Sample,Call,Type,RFU1,RFU2
,A01,001-1,Allele 2,Auto,-4.47700527391498,7.4607710281548
,A02,001-2,Heterozygote,Auto,2.38471504055906,3.83172017925062
,A03,001-3,Allele 1,Auto,1527.01630882626,1.81627434663642
,A04,001-4,Allele 1,Auto,1976.24243038785,0.114963452201209
,A05,001-5,Allele 1,Auto,-1.52922502538649,-5.56286249302593
,A06,009-1,Allele 1,Auto,1563.70699675754,0.694222757915668
,A07,009-2,Allele 1,Auto,2033.91369811643,2.64688304449101
,A08,009-3,Allele 2,Auto,-4.39070589799667,1.19957195295774
,A09,009-4,Allele 1,Auto,2226.90386456127,-0.459892619021048
,A10,009-5,Allele 1,Auto,2187.05913924799,-10.4329002227682
,A11,014-1,Allele 1,Auto,1956.88972284655,3.89480234114353
,A12,014-2,Allele 1,Auto,1924.32533437,6.73910561093862
,B01,014-3,Allele 1,Auto,1838.88424360891,-3.33100239173518
,B02,014-4,Allele 1,Auto,1687.9444356839,2.67394827499629
,B03,014-5,Allele 1,Auto,1676.32587155759,-1.00345091870895
,B04,015-1,Allele 1,Auto,1842.15036421631,-3.62810389675406
,B05,015-2,Allele 1,Auto,1913.82550765851,-6.87939492850546
,B06,015-3,Allele 1,Auto,2076.67641793754,-2.68609588789695
,B07,015-4,Allele 1,Auto,2037.63586313695,-5.13831346416873
,B08,015-5,Allele 1,Auto,2193.34504553201,77.4837667023617
,B09,029-1,Allele 1,Auto,1696.80792175754,1.92930594046447
,B10,029-2,Allele 1,Auto,1958.87241393131,-4.53897260630083
,B11,029-3,Allele 1,Auto,2201.98631706439,3.92125062417199
,B12,029-4,Allele 1,Auto,2185.96977011201,-0.881447453662531
,C01,029-5,Allele 1,Auto,1493.15242260278,57.6651635589242
,C02,032-1,Allele 2,Auto,-4.04650849853806,1.45303416866
,C03,032-2,Allele 2,Auto,-3.84356617356661,4.39670818061995
,C04,032-3,Allele 1,Auto,-6.60263034328227,-0.197941900196383
,C05,032-4,Allele 2,Auto,-5.39210557048136,0.714014089523062
,C06,032-5,Allele 1,Auto,-4.65049144790783,-2.43762226759145
,C07,042-1,Allele 1,Auto,27.2151733776082,-0.547525082088669
,C08,042-2,Allele 1,Auto,18.6067355539249,1.94704411253315
,C09,042-3,Allele 1,Auto,47.8257207290226,-7.53583640284614
,C10,042-4,Allele 1,Auto,39.0825930507876,-6.24391738676741
,C11,042-5,Allele 1,Auto,56.9521703919613,-4.90998537419046
,C12,044-1,Allele 1,Auto,1808.78593172873,5.69816514947797
,D01,044-2,Allele 1,Auto,2306.4944523495,-4.21723140122322
,D02,044-3,Allele 1,Auto,2108.58699023536,0.535147825176864
,D03,044-4,Allele 1,Auto,2246.59178658088,5.11617586836928
,D04,044-5,Allele 1,Auto,2253.49503200146,2.64828229677141
,D05,045-1,Allele 2,Auto,-3.39725241210726,2.13320109055758
,D06,045-2,Allele 1,Auto,1611.72746866318,1.73307336568314
,D07,045-3,Allele 1,Auto,2010.50107269898,-3.5938679212768
,D08,045-4,Allele 1,Auto,2069.19884115819,-3.15214858398213
,D09,045-5,Allele 1,Auto,2183.24049124129,81.5432120619303
,D10,048-1,Allele 1,Auto,1934.91347063677,-0.081494356645635
,D11,048-2,Allele 1,Auto,2259.8986016115,0.553622052666924
,D12,048-3,Allele 1,Auto,2169.62857484474,-4.42906209997273
,E01,048-4,Allele 1,Auto,1991.94341539209,-5.3032153263589
,E02,048-5,Allele 1,Auto,2263.85875259436,-1.24619891066641
,E03,049-1,Allele 1,Auto,1910.71091224939,1.58664718015052
,E04,049-2,Allele 1,Auto,2209.56011049564,3.48733378686256
,E05,049-3,Allele 1,Auto,2196.6245329256,1.36253576218587
,E06,049-4,Allele 1,Auto,2229.26951393109,4.72337633998723
,E07,049-5,Allele 1,Auto,2133.63100569243,-0.650241036486022
,E08,052-1,Allele 1,Auto,2187.69324916581,-2.33522475764585
,E09,052-2,Allele 1,Auto,2434.65837683294,95.7008604648595
,E10,052-3,Allele 1,Auto,2136.85990908987,-6.55916787557589
,E11,052-4,Allele 1,Auto,1997.3589122006,2.75981783714678
,E12,052-5,Allele 1,Auto,2194.34592225026,-6.80729625186405
,F01,076-1,Allele 1,Auto,2526.07003744699,-0.296329812266322
,F02,076-2,Allele 1,Auto,2191.60650995737,-1.99885700900313
,F03,076-3,Allele 1,Auto,2503.23672421835,-2.92971848281286
,F04,076-4,Allele 1,Auto,2062.75736744312,5.97519631039086
,F05,076-5,Allele 1,Auto,2536.83605756076,-2.74519426329471
,F06,099-1,Allele 1,Auto,2378.39774309158,1.02399044073081
,F07,099-2,Allele 1,Auto,2108.73107021211,129.184199917729
,F08,099-3,Allele 1,Auto,1986.482256558,-0.209067797683474
,F09,099-4,Allele 1,Auto,2128.35842577163,-1.60880986630082
,F10,099-5,Allele 1,Auto,2344.87686373395,-10.3052260003983
,F11,100-1,Allele 1,Auto,2175.91078360774,-4.85618069015436
,F12,100-2,Allele 1,Auto,2278.74836502236,-0.423478848690138
,G01,100-3,Allele 1,Auto,2397.35608034128,-1.22341224519005
,G02,100-4,Allele 1,Auto,1966.45531820808,1.1567217961192
,G03,100-5,Allele 1,Auto,1981.98531615556,0.513879012989491
,G04,107-1,Allele 1,Auto,1950.66133262404,48.6958596371337
,G05,107-2,Allele 1,Auto,2064.62286748545,-0.0865295103976678
,G06,107-3,Allele 1,Auto,1857.12659767875,-2.69357291008782
,G07,107-4,Allele 1,Auto,2057.27311072691,-3.26430683361514
,G08,107-5,Allele 1,Auto,2270.98323576676,114.817148423675
,G09,114-1,Allele 1,Auto,2186.79418643,6.61989746203517
,G10,114-2,Allele 1,Auto,1745.70649520882,2.25202337329983
,G11,114-3,Allele 1,Auto,1764.62594586887,66.2355306116028
,G12,114-4,Allele 1,Auto,1786.65484044733,3.44083444973649
,H01,114-5,Allele 1,Auto,1750.29241917145,-1.9591590382488
,H02,116-1,Allele 1,Auto,1824.05785515867,-2.32714668144126
,H03,116-2,Allele 1,Auto,1944.30732431648,-0.836986082624207
,H04,116-3,Allele 1,Auto,2002.75843961932,-1.57532921109578
,H05,116-4,Allele 1,Auto,1981.78642993429,2.56736588973445
,H06,116-5,Allele 1,Auto,2110.36809967907,3.80269680995571
,H07,117-1,Allele 1,Auto,1905.84801778267,3.39633488769459
,H08,117-2,Allele 1,Auto,2036.93020583946,-7.58985199979861
,H09,117-3,Allele 1,Auto,1904.58019957527,67.6851718547509
,H10,117-4,Allele 1,Auto,1828.05589885982,4.01800386134755
,H11,117-5,Allele 1,Auto,1646.70870979544,6.60865586010959
,H12,Blank,Allele 1,Auto,132.266460922316,-2.50306058064143
