,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,,Unkn,001-1,2.27766327526915,,Unknown,Unassigned,False
,A02,ROX,,Unkn,001-2,0.382460848852043,,Unknown,Unassigned,False
,A03,ROX,,Unkn,001-3,-0.0701364898607911,,Unknown,Unassigned,False
,A04,ROX,,Unkn,001-4,1.08213579710655,,Unknown,Unassigned,False
,A05,ROX,,Unkn,001-5,-4.1721524357913,,Unknown,Unassigned,False
,A06,ROX,,Unkn,009-1,0.660060819103819,,Unknown,Unassigned,False
,A07,ROX,,Unkn,009-2,-1.26819959462655,,Unknown,Unassigned,False
,A08,ROX,,Unkn,009-3,-0.534914048150767,,Unknown,Unassigned,False
,A09,ROX,,Unkn,009-4,-2.07514386319181,,Unknown,Unassigned,False
,A10,ROX,,Unkn,009-5,1.89374102301881,,Unknown,Unassigned,False
,A11,ROX,,Unkn,014-1,-0.327953392571544,,Unknown,Unassigned,False
,A12,ROX,,Unkn,014-2,1.8928775616313,,Unknown,Unassigned,False
,B01,ROX,,Unkn,014-3,-2.41600631980782,,Unknown,Unassigned,False
,B02,ROX,,Unkn,014-4,0.396462075132695,,Unknown,Unassigned,False
,B03,ROX,,Unkn,014-5,-0.093557856071584,,Unknown,Unassigned,False
,B04,ROX,,Unkn,015-1,-2.51364117289995,,Unknown,Unassigned,False
,B05,ROX,,Unkn,015-2,-4.67959038235576,,Unknown,Unassigned,False
,B06,ROX,,Unkn,015-3,-3.43018233662333,,Unknown,Unassigned,False
,B07,ROX,,Unkn,015-4,-4.20400607852134,,Unknown,Unassigned,False
,B08,ROX,,Unkn,015-5,79.8436950052859,,Unknown,Unassigned,False
,B09,ROX,,Unkn,029-1,-0.305704011702073,,Unknown,Unassigned,False
,B10,ROX,,Unkn,029-2,-2.29006475210708,,Unknown,Unassigned,False
,B11,ROX,,Unkn,029-3,2.2376671744978,,Unknown,Unassigned,False
,B12,ROX,,Unkn,029-4,-0.908800327527842,,Unknown,Unassigned,False
,C01,ROX,,Unkn,029-5,53.9549038976213,,Unknown,Unassigned,False
,C02,ROX,,Unkn,032-1,0.736818645612948,,Unknown,Unassigned,False
,C03,ROX,,Unkn,032-2,3.36005908477055,,Unknown,Unassigned,False
,C04,ROX,,Unkn,032-3,-1.59174206616253,,Unknown,Unassigned,False
,C05,ROX,,Unkn,032-4,-0.256012157824989,,Unknown,Unassigned,False
,C06,ROX,,Unkn,032-5,-1.67206883650333,,Unknown,Unassigned,False
,C07,ROX,,Unkn,042-1,-0.47756297411097,,Unknown,Unassigned,False
,C08,ROX,,Unkn,042-2,0.740595325515005,,Unknown,Unassigned,False
,C09,ROX,,Unkn,042-3,-4.37419281864386,,Unknown,Unassigned,False
,C10,ROX,,Unkn,042-4,-3.54975649150674,,Unknown,Unassigned,False
,C11,ROX,,Unkn,042-5,-2.44162894926221,,Unknown,Unassigned,False
