,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,001-1,-1.40567768489582,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,001-2,-2.29578885055362,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,001-3,1449.82869757343,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,001-4,1859.77080290964,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,001-5,-3.45266107174184,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,009-1,1475.25462845285,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,009-2,1957.17584829209,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,009-3,-2.55069666567942,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,009-4,2153.0886669799,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,009-5,2136.55542005033,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,014-1,1891.39629633657,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,014-2,1862.74052128277,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,014-3,1782.40553515464,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,014-4,1633.61586471307,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,014-5,1617.76008986336,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,015-1,1715.81723928402,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,015-2,1808.18435545413,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,015-3,1956.54081490487,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,015-4,1908.52982723537,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,015-5,2075.81015672309,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,029-1,1621.1389638981,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,029-2,1873.42639500866,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,029-3,2106.36076166043,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,029-4,2093.81435933461,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,029-5,1436.05699671678,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,032-1,-1.90672977537288,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,032-2,-3.66333768453651,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,032-3,-2.74825003060823,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,032-4,-2.5051366379811,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,032-5,-1.15207458498335,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,042-1,10.1689267536594,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,042-2,5.15065743104542,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,042-3,17.5939787259613,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,042-4,17.5149650553914,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,042-5,25.6209547845017,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,044-1,1722.08147942541,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,044-2,2189.82106571403,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,044-3,1995.00286768118,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,044-4,2110.91906709928,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,044-5,2143.74307253456,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,045-1,-1.17451569972282,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,045-2,1553.79449249177,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,045-3,1933.06912035512,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,045-4,1998.4626705736,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,045-5,2097.71408591463,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,048-1,1872.46720447133,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,048-2,2187.64595917339,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,048-3,2111.09429048808,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,048-4,1942.03555959095,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,048-5,2190.72576234813,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,049-1,1844.22266903607,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,049-2,2123.95361741399,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,049-3,2103.87857665436,,Unknown,Unassigned,False
