,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,001-1,001-2,001-3,001-4,001-5,009-1,009-2,009-3,009-4,009-5,014-1,014-2
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,014-3,014-4,014-5,015-1,015-2,015-3,015-4,015-5,029-1,029-2,029-3,029-4
B,Peak 1,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,029-5,032-1,032-2,032-3,032-4,032-5,042-1,042-2,042-3,042-4,042-5,044-1
C,Peak 1,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,044-2,044-3,044-4,044-5,045-1,045-2,045-3,045-4,045-5,048-1,048-2,048-3
D,Peak 1,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,048-4,048-5,049-1,049-2,049-3,049-4,049-5,052-1,052-2,052-3,052-4,052-5
E,Peak 1,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,076-1,076-2,076-3,076-4,076-5,099-1,099-2,099-3,099-4,099-5,100-1,100-2
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,100-3,100-4,100-5,107-1,107-2,107-3,107-4,107-5,114-1,114-2,114-3,114-4
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,114-5,116-1,116-2,116-3,116-4,116-5,117-1,117-2,117-3,117-4,117-5,Blank
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
