,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,001-1,001-2,001-3,001-4,001-5,009-1,009-2,009-3,009-4,009-5,014-1,014-2
A,Cq,NaN,NaN,1.76896485467808,NaN,NaN,NaN,NaN,NaN,NaN,37.4359426183518,NaN,NaN
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,014-3,014-4,014-5,015-1,015-2,015-3,015-4,015-5,029-1,029-2,029-3,029-4
B,Cq,NaN,NaN,NaN,NaN,NaN,NaN,1.76410828775943,NaN,NaN,NaN,NaN,NaN
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,029-5,032-1,032-2,032-3,032-4,032-5,042-1,042-2,042-3,042-4,042-5,044-1
C,Cq,14.7518958669528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.39619097396237
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,044-2,044-3,044-4,044-5,045-1,045-2,045-3,045-4,045-5,048-1,048-2,048-3
D,Cq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.20448237022791,NaN,NaN,NaN
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,048-4,048-5,049-1,049-2,049-3,049-4,049-5,052-1,052-2,052-3,052-4,052-5
E,Cq,NaN,NaN,NaN,NaN,NaN,1.70105505083243,NaN,NaN,NaN,NaN,NaN,2.671092226902
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,076-1,076-2,076-3,076-4,076-5,099-1,099-2,099-3,099-4,099-5,100-1,100-2
F,Cq,NaN,NaN,NaN,NaN,NaN,33.8664649251576,NaN,NaN,NaN,NaN,NaN,NaN
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,100-3,100-4,100-5,107-1,107-2,107-3,107-4,107-5,114-1,114-2,114-3,114-4
G,Cq,NaN,NaN,NaN,17.0188563364249,NaN,NaN,1.76966352757155,NaN,NaN,NaN,4.36875523144529,NaN
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,114-5,116-1,116-2,116-3,116-4,116-5,117-1,117-2,117-3,117-4,117-5,Blank
H,Cq,NaN,NaN,NaN,NaN,NaN,NaN,1.25798401625201,NaN,NaN,NaN,1.68077504371029,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
