,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,001-1,001-2,001-3,001-4,001-5,009-1,009-2,009-3,009-4,009-5,014-1,014-2
A,Cq,NaN,NaN,25.3568973105361,25.2884230764082,NaN,22.9403551482915,20.9938153917211,NaN,20.2997667872097,20.4268826605624,20.2613138826039,20.101483760919
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,014-3,014-4,014-5,015-1,015-2,015-3,015-4,015-5,029-1,029-2,029-3,029-4
B,Cq,20.3903343096377,20.5618847012342,20.5124063467643,26.8055314733746,25.6362643937948,25.5230170066784,26.1987982772791,25.0332102889107,23.0343004604473,23.1848007220961,22.4376416913481,22.6645048752422
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,029-5,032-1,032-2,032-3,032-4,032-5,042-1,042-2,042-3,042-4,042-5,044-1
C,Cq,23.4648341876191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.1608363688375
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,044-2,044-3,044-4,044-5,045-1,045-2,045-3,045-4,045-5,048-1,048-2,048-3
D,Cq,23.9917961541967,24.706149961101,25.0240094448396,24.1720226222224,NaN,20.6283911145498,20.7842987290792,20.1863824837144,20.2678621131099,19.0132874640585,18.3927835027914,17.6937221932018
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,048-4,048-5,049-1,049-2,049-3,049-4,049-5,052-1,052-2,052-3,052-4,052-5
E,Cq,17.946766101989,18.6153006996456,20.9112245319227,20.3753418164341,21.3586342005536,21.3499868586648,21.3413015033233,21.6419585361217,21.7207593631081,21.7206359625282,21.8847246660545,21.4044955232353
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,076-1,076-2,076-3,076-4,076-5,099-1,099-2,099-3,099-4,099-5,100-1,100-2
F,Cq,22.3505706476741,23.3824209521744,22.3229693917151,23.3659730789766,22.1648372134605,25.3940256028474,25.9598845652849,25.9076544673473,24.585015859014,24.7909836654812,22.2842259956188,21.5212467372307
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,100-3,100-4,100-5,107-1,107-2,107-3,107-4,107-5,114-1,114-2,114-3,114-4
G,Cq,21.7815668613515,21.857083501826,22.7180200446494,23.3837326487468,24.7751925821021,24.0633169759198,22.1531239233677,22.1063809176301,22.2763304476958,23.9055022847728,22.9580979345963,22.9550153007961
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,114-5,116-1,116-2,116-3,116-4,116-5,117-1,117-2,117-3,117-4,117-5,Blank
H,Cq,22.7348042785535,24.1149662893038,24.6907154190393,25.5119711446499,25.2265418005261,24.2095431098373,24.8293368693862,24.0285326716739,24.2616209847366,23.64767156647,24.1192099315893,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
