,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,001-1,NaN,NaN
,A02,ROX,,Unkn,001-2,NaN,NaN
,A03,ROX,,Unkn,001-3,1.76896485467808,NaN
,A04,ROX,,Unkn,001-4,NaN,NaN
,A05,ROX,,Unkn,001-5,NaN,NaN
,A06,ROX,,Unkn,009-1,NaN,NaN
,A07,ROX,,Unkn,009-2,NaN,NaN
,A08,ROX,,Unkn,009-3,NaN,NaN
,A09,ROX,,Unkn,009-4,NaN,NaN
,A10,ROX,,Unkn,009-5,37.4359426183518,NaN
,A11,ROX,,Unkn,014-1,NaN,NaN
,A12,ROX,,Unkn,014-2,NaN,NaN
,B01,ROX,,Unkn,014-3,NaN,NaN
,B02,ROX,,Unkn,014-4,NaN,NaN
,B03,ROX,,Unkn,014-5,NaN,NaN
,B04,ROX,,Unkn,015-1,NaN,NaN
,B05,ROX,,Unkn,015-2,NaN,NaN
,B06,ROX,,Unkn,015-3,NaN,NaN
,B07,ROX,,Unkn,015-4,1.76410828775943,NaN
,B08,ROX,,Unkn,015-5,NaN,NaN
,B09,ROX,,Unkn,029-1,NaN,NaN
,B10,ROX,,Unkn,029-2,NaN,NaN
,B11,ROX,,Unkn,029-3,NaN,NaN
,B12,ROX,,Unkn,029-4,NaN,NaN
,C01,ROX,,Unkn,029-5,14.7518958669528,NaN
,C02,ROX,,Unkn,032-1,NaN,NaN
,C03,ROX,,Unkn,032-2,NaN,NaN
,C04,ROX,,Unkn,032-3,NaN,NaN
,C05,ROX,,Unkn,032-4,NaN,NaN
,C06,ROX,,Unkn,032-5,NaN,NaN
,C07,ROX,,Unkn,042-1,NaN,NaN
,C08,ROX,,Unkn,042-2,NaN,NaN
,C09,ROX,,Unkn,042-3,NaN,NaN
,C10,ROX,,Unkn,042-4,NaN,NaN
,C11,ROX,,Unkn,042-5,NaN,NaN
,C12,ROX,,Unkn,044-1,1.39619097396237,NaN
,D01,ROX,,Unkn,044-2,NaN,NaN
,D02,ROX,,Unkn,044-3,NaN,NaN
,D03,ROX,,Unkn,044-4,NaN,NaN
,D04,ROX,,Unkn,044-5,NaN,NaN
,D05,ROX,,Unkn,045-1,NaN,NaN
,D06,ROX,,Unkn,045-2,NaN,NaN
,D07,ROX,,Unkn,045-3,NaN,NaN
,D08,ROX,,Unkn,045-4,NaN,NaN
,D09,ROX,,Unkn,045-5,1.20448237022791,NaN
,D10,ROX,,Unkn,048-1,NaN,NaN
,D11,ROX,,Unkn,048-2,NaN,NaN
,D12,ROX,,Unkn,048-3,NaN,NaN
,E01,ROX,,Unkn,048-4,NaN,NaN
,E02,ROX,,Unkn,048-5,NaN,NaN
,E03,ROX,,Unkn,049-1,NaN,NaN
,E04,ROX,,Unkn,049-2,NaN,NaN
,E05,ROX,,Unkn,049-3,NaN,NaN
,E06,ROX,,Unkn,049-4,1.70105505083243,NaN
,E07,ROX,,Unkn,049-5,NaN,NaN
,E08,ROX,,Unkn,052-1,NaN,NaN
,E09,ROX,,Unkn,052-2,NaN,NaN
,E10,ROX,,Unkn,052-3,NaN,NaN
,E11,ROX,,Unkn,052-4,NaN,NaN
,E12,ROX,,Unkn,052-5,2.671092226902,NaN
,F01,ROX,,Unkn,076-1,NaN,NaN
,F02,ROX,,Unkn,076-2,NaN,NaN
,F03,ROX,,Unkn,076-3,NaN,NaN
,F04,ROX,,Unkn,076-4,NaN,NaN
,F05,ROX,,Unkn,076-5,NaN,NaN
,F06,ROX,,Unkn,099-1,33.8664649251576,NaN
,F07,ROX,,Unkn,099-2,NaN,NaN
,F08,ROX,,Unkn,099-3,NaN,NaN
,F09,ROX,,Unkn,099-4,NaN,NaN
,F10,ROX,,Unkn,099-5,NaN,NaN
,F11,ROX,,Unkn,100-1,NaN,NaN
,F12,ROX,,Unkn,100-2,NaN,NaN
,G01,ROX,,Unkn,100-3,NaN,NaN
,G02,ROX,,Unkn,100-4,NaN,NaN
,G03,ROX,,Unkn,100-5,NaN,NaN
,G04,ROX,,Unkn,107-1,17.0188563364249,NaN
,G05,ROX,,Unkn,107-2,NaN,NaN
,G06,ROX,,Unkn,107-3,NaN,NaN
,G07,ROX,,Unkn,107-4,1.76966352757155,NaN
,G08,ROX,,Unkn,107-5,NaN,NaN
,G09,ROX,,Unkn,114-1,NaN,NaN
,G10,ROX,,Unkn,114-2,NaN,NaN
,G11,ROX,,Unkn,114-3,4.36875523144529,NaN
,G12,ROX,,Unkn,114-4,NaN,NaN
,H01,ROX,,Unkn,114-5,NaN,NaN
,H02,ROX,,Unkn,116-1,NaN,NaN
,H03,ROX,,Unkn,116-2,NaN,NaN
,H04,ROX,,Unkn,116-3,NaN,NaN
,H05,ROX,,Unkn,116-4,NaN,NaN
,H06,ROX,,Unkn,116-5,NaN,NaN
,H07,ROX,,Unkn,117-1,1.25798401625201,NaN
,H08,ROX,,Unkn,117-2,NaN,NaN
,H09,ROX,,Unkn,117-3,NaN,NaN
,H10,ROX,,Unkn,117-4,NaN,NaN
,H11,ROX,,Unkn,117-5,1.68077504371029,NaN
,H12,ROX,,Unkn,Blank,NaN,NaN
,A01,SYBR,,Unkn,001-1,NaN,NaN
,A02,SYBR,,Unkn,001-2,NaN,NaN
,A03,SYBR,,Unkn,001-3,25.3568973105361,NaN
,A04,SYBR,,Unkn,001-4,25.2884230764082,NaN
,A05,SYBR,,Unkn,001-5,NaN,NaN
,A06,SYBR,,Unkn,009-1,22.9403551482915,NaN
,A07,SYBR,,Unkn,009-2,20.9938153917211,NaN
,A08,SYBR,,Unkn,009-3,NaN,NaN
,A09,SYBR,,Unkn,009-4,20.2997667872097,NaN
,A10,SYBR,,Unkn,009-5,20.4268826605624,NaN
,A11,SYBR,,Unkn,014-1,20.2613138826039,NaN
,A12,SYBR,,Unkn,014-2,20.101483760919,NaN
,B01,SYBR,,Unkn,014-3,20.3903343096377,NaN
,B02,SYBR,,Unkn,014-4,20.5618847012342,NaN
,B03,SYBR,,Unkn,014-5,20.5124063467643,NaN
,B04,SYBR,,Unkn,015-1,26.8055314733746,NaN
,B05,SYBR,,Unkn,015-2,25.6362643937948,NaN
,B06,SYBR,,Unkn,015-3,25.5230170066784,NaN
,B07,SYBR,,Unkn,015-4,26.1987982772791,NaN
,B08,SYBR,,Unkn,015-5,25.0332102889107,NaN
,B09,SYBR,,Unkn,029-1,23.0343004604473,NaN
,B10,SYBR,,Unkn,029-2,23.1848007220961,NaN
,B11,SYBR,,Unkn,029-3,22.4376416913481,NaN
,B12,SYBR,,Unkn,029-4,22.6645048752422,NaN
,C01,SYBR,,Unkn,029-5,23.4648341876191,NaN
,C02,SYBR,,Unkn,032-1,NaN,NaN
,C03,SYBR,,Unkn,032-2,NaN,NaN
,C04,SYBR,,Unkn,032-3,NaN,NaN
,C05,SYBR,,Unkn,032-4,NaN,NaN
,C06,SYBR,,Unkn,032-5,NaN,NaN
,C07,SYBR,,Unkn,042-1,NaN,NaN
,C08,SYBR,,Unkn,042-2,NaN,NaN
,C09,SYBR,,Unkn,042-3,NaN,NaN
,C10,SYBR,,Unkn,042-4,NaN,NaN
,C11,SYBR,,Unkn,042-5,NaN,NaN
,C12,SYBR,,Unkn,044-1,25.1608363688375,NaN
,D01,SYBR,,Unkn,044-2,23.9917961541967,NaN
,D02,SYBR,,Unkn,044-3,24.706149961101,NaN
,D03,SYBR,,Unkn,044-4,25.0240094448396,NaN
,D04,SYBR,,Unkn,044-5,24.1720226222224,NaN
,D05,SYBR,,Unkn,045-1,NaN,NaN
,D06,SYBR,,Unkn,045-2,20.6283911145498,NaN
,D07,SYBR,,Unkn,045-3,20.7842987290792,NaN
,D08,SYBR,,Unkn,045-4,20.1863824837144,NaN
