,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,,Unkn,003-1,-2.4911504986525,,Unknown,Unassigned,False
,A02,ROX,,Unkn,003-2,-2.07816786100102,,Unknown,Unassigned,False
,A03,ROX,,Unkn,003-3,70.120182801877,,Unknown,Unassigned,False
,A04,ROX,,Unkn,003-4,-3.6852533899847,,Unknown,Unassigned,False
,A05,ROX,,Unkn,003-5,-3.05576167289328,,Unknown,Unassigned,False
,A06,ROX,,Unkn,010-1,-2.23481350024986,,Unknown,Unassigned,False
,A07,ROX,,Unkn,010-2,-2.94926409410646,,Unknown,Unassigned,False
,A08,ROX,,Unkn,010-3,-1.00654479340574,,Unknown,Unassigned,False
,A09,ROX,,Unkn,010-4,-3.65954757977697,,Unknown,Unassigned,False
,A10,ROX,,Unkn,010-5,-8.14673911949931,,Unknown,Unassigned,False
,A11,ROX,,Unkn,013-1,-1.56750356069715,,Unknown,Unassigned,False
,A12,ROX,,Unkn,013-2,-4.87867528414599,,Unknown,Unassigned,False
,B01,ROX,,Unkn,013-3,-2.11301696950559,,Unknown,Unassigned,False
,B02,ROX,,Unkn,013-4,1.51872691611861,,Unknown,Unassigned,False
,B03,ROX,,Unkn,013-5,42.9378718305774,,Unknown,Unassigned,False
,B04,ROX,,Unkn,016-1,-2.38943116760156,,Unknown,Unassigned,False
,B05,ROX,,Unkn,016-2,-2.28938647001314,,Unknown,Unassigned,False
,B06,ROX,,Unkn,016-3,93.4510139490368,,Unknown,Unassigned,False
,B07,ROX,,Unkn,016-4,80.0027813364399,,Unknown,Unassigned,False
,B08,ROX,,Unkn,016-5,-1.88521364190674,,Unknown,Unassigned,False
,B09,ROX,,Unkn,017-1,83.1232100801929,,Unknown,Unassigned,False
,B10,ROX,,Unkn,017-2,-2.69317866298006,,Unknown,Unassigned,False
,B11,ROX,,Unkn,017-3,82.6404244110433,,Unknown,Unassigned,False
,B12,ROX,,Unkn,017-4,-2.7212535372676,,Unknown,Unassigned,False
,C01,ROX,,Unkn,017-5,-2.79302608713615,,Unknown,Unassigned,False
,C02,ROX,,Unkn,020-1,-0.463873419373431,,Unknown,Unassigned,False
,C03,ROX,,Unkn,020-2,126.099383021274,,Unknown,Unassigned,False
,C04,ROX,,Unkn,020-3,104.203163157409,,Unknown,Unassigned,False
,C05,ROX,,Unkn,020-4,-2.04309005274508,,Unknown,Unassigned,False
,C06,ROX,,Unkn,020-5,-2.37929371727032,,Unknown,Unassigned,False
,C07,ROX,,Unkn,020-6,126.310588216825,,Unknown,Unassigned,False
,C08,ROX,,Unkn,020-7,-3.54958072855361,,Unknown,Unassigned,False
,C09,ROX,,Unkn,020-8,-1.85447052629352,,Unknown,Unassigned,False
,C10,ROX,,Unkn,020-9,-1.62981882405347,,Unknown,Unassigned,False
,C11,ROX,,Unkn,020-10,-1.58030265642801,,Unknown,Unassigned,False
,C12,ROX,,Unkn,022-1,-0.345368901328493,,Unknown,Unassigned,False
,D01,ROX,,Unkn,022-2,-1.44403700860066,,Unknown,Unassigned,False
,D02,ROX,,Unkn,022-3,1.11015758369731,,Unknown,Unassigned,False
,D03,ROX,,Unkn,022-4,0.35907079863955,,Unknown,Unassigned,False
,D04,ROX,,Unkn,022-5,1.46267127246156,,Unknown,Unassigned,False
,D05,ROX,,Unkn,027-1,-3.76128070650075,,Unknown,Unassigned,False
,D06,ROX,,Unkn,027-2,128.766674147078,,Unknown,Unassigned,False
,D07,ROX,,Unkn,027-3,-1.65690891556678,,Unknown,Unassigned,False
,D08,ROX,,Unkn,027-4,106.295470843979,,Unknown,Unassigned,False
,D09,ROX,,Unkn,027-5,-2.57958278473634,,Unknown,Unassigned,False
,D10,ROX,,Unkn,035-1,-1.11113489192621,,Unknown,Unassigned,False
,D11,ROX,,Unkn,035-2,-6.10688959467771,,Unknown,Unassigned,False
,D12,ROX,,Unkn,035-3,-3.02197476889814,,Unknown,Unassigned,False
,E01,ROX,,Unkn,035-4,88.2122432356681,,Unknown,Unassigned,False
,E02,ROX,,Unkn,035-5,-0.971781167209156,,Unknown,Unassigned,False
,E03,ROX,,Unkn,085-1,-2.41989986272811,,Unknown,Unassigned,False
,E04,ROX,,Unkn,085-2,-4.23917605219297,,Unknown,Unassigned,False
,E05,ROX,,Unkn,085-3,-0.926569152976299,,Unknown,Unassigned,False
,E06,ROX,,Unkn,085-4,-2.40176017877238,,Unknown,Unassigned,False
,E07,ROX,,Unkn,085-5,-5.06194205460806,,Unknown,Unassigned,False
,E08,ROX,,Unkn,090-1,-1.29544444152034,,Unknown,Unassigned,False
,E09,ROX,,Unkn,090-2,1.36719807888703,,Unknown,Unassigned,False
,E10,ROX,,Unkn,090-3,-3.23504989630273,,Unknown,Unassigned,False
,E11,ROX,,Unkn,090-4,-2.85572160183992,,Unknown,Unassigned,False
,E12,ROX,,Unkn,090-5,-2.79432715087332,,Unknown,Unassigned,False
,F01,ROX,,Unkn,091-1,-1.4543562523294,,Unknown,Unassigned,False
,F02,ROX,,Unkn,091-2,-1.26883153884037,,Unknown,Unassigned,False
,F03,ROX,,Unkn,091-3,-1.15347696386634,,Unknown,Unassigned,False
,F04,ROX,,Unkn,091-4,72.3637430380149,,Unknown,Unassigned,False
,F05,ROX,,Unkn,091-5,0.15312727797982,,Unknown,Unassigned,False
,F06,ROX,,Unkn,094-1,-2.36906857946506,,Unknown,Unassigned,False
,F07,ROX,,Unkn,094-2,-1.55718430035477,,Unknown,Unassigned,False
,F08,ROX,,Unkn,094-3,-6.18109625449997,,Unknown,Unassigned,False
,F09,ROX,,Unkn,094-4,-2.25914965740294,,Unknown,Unassigned,False
,F10,ROX,,Unkn,094-5,-0.84573230572887,,Unknown,Unassigned,False
,F11,ROX,,Unkn,121-1,-1.23614219564452,,Unknown,Unassigned,False
,F12,ROX,,Unkn,121-2,-4.02189676536063,,Unknown,Unassigned,False
,G01,ROX,,Unkn,121-3,0.153164231171922,,Unknown,Unassigned,False
,G02,ROX,,Unkn,121-4,-1.33859342339092,,Unknown,Unassigned,False
,G03,ROX,,Unkn,121-5,-1.57685547039446,,Unknown,Unassigned,False
,G04,ROX,,Unkn,122-1,-3.03803507170987,,Unknown,Unassigned,False
,G05,ROX,,Unkn,122-2,-0.548101008311369,,Unknown,Unassigned,False
,G06,ROX,,Unkn,122-3,-4.17397412410546,,Unknown,Unassigned,False
,G07,ROX,,Unkn,122-4,-2.48270797660361,,Unknown,Unassigned,False
,G08,ROX,,Unkn,122-5,-2.25043217412422,,Unknown,Unassigned,False
,G09,ROX,,Unkn,131-1,-1.69040454712012,,Unknown,Unassigned,False
,G10,ROX,,Unkn,131-2,-0.976912901661308,,Unknown,Unassigned,False
,G11,ROX,,Unkn,131-3,-1.68065752187667,,Unknown,Unassigned,False
,G12,ROX,,Unkn,131-4,-1.1892532248613,,Unknown,Unassigned,False
,H01,ROX,,Unkn,131-5,-2.64258050243934,,Unknown,Unassigned,False
,H02,ROX,,Unkn,132-1,0.0632083217203217,,Unknown,Unassigned,False
,H03,ROX,,Unkn,132-2,106.371624430629,,Unknown,Unassigned,False
,H04,ROX,,Unkn,132-3,-1.42139188891706,,Unknown,Unassigned,False
,H05,ROX,,Unkn,132-4,-1.72721251823459,,Unknown,Unassigned,False
,H06,ROX,,Unkn,132-5,-0.983183134453611,,Unknown,Unassigned,False
,H07,ROX,,Unkn,048-1,-3.58601998898612,,Unknown,Unassigned,False
,H08,ROX,,Unkn,048-2,-2.65042183998612,,Unknown,Unassigned,False
,H09,ROX,,Unkn,014-1,-3.01276737137814,,Unknown,Unassigned,False
,H10,ROX,,Unkn,014-2,-1.6537164630231,,Unknown,Unassigned,False
,H11,ROX,,Unkn,014-3,-8.27090856886352,,Unknown,Unassigned,False
,H12,ROX,,Unkn,Blank,-2.50967189459734,,Unknown,Unassigned,False
