,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,003-1,1517.46749568462,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,003-2,2059.55251686994,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,003-3,1945.10813037413,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,003-4,2153.38932066838,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,003-5,2225.41201406403,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,010-1,2242.72729277224,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,010-2,2018.34157372054,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,010-3,2108.14997807324,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,010-4,1683.48310819967,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,010-5,1959.9444014377,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,013-1,2148.5085276683,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,013-2,2020.16939608712,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,013-3,2180.07461261404,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,013-4,1948.81580101445,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,013-5,2114.49441972113,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,016-1,1887.66397184674,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,016-2,1840.68984259753,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,016-3,1970.74921365188,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,016-4,1682.79736375732,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,016-5,2000.14951555286,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,017-1,2019.22784492303,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,017-2,2033.75962592841,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,017-3,1757.17691629726,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,017-4,1943.43779108209,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,017-5,1725.99781297656,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,020-1,1662.70346287094,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,020-2,1739.59351924685,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,020-3,1911.47507553388,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,020-4,1802.09067510265,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,020-5,1890.18251238433,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,020-6,1791.83651639077,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,020-7,1806.98584360718,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,020-8,1886.28155791448,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,020-9,1836.62324859655,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,020-10,1697.70064842054,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,022-1,1503.59000868605,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,022-2,1668.5243910055,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,022-3,1800.23082652711,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,022-4,1705.6498268485,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,022-5,1783.98543820125,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,027-1,1867.86596702624,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,027-2,1719.10674201959,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,027-3,1835.54895126503,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,027-4,1812.25247842675,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,027-5,1796.52546471346,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,035-1,1732.12398900835,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,035-2,1935.75790862095,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,035-3,1509.52476348774,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,035-4,1764.76585639503,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,035-5,1946.3618522435,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,085-1,1996.45153662271,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,085-2,2038.61306455681,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,085-3,2147.71198554271,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,085-4,1895.18808261972,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,085-5,2052.24861236459,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,090-1,2063.38526144458,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,090-2,2170.07586807613,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,090-3,2015.43726147908,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,090-4,1959.00156036185,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,090-5,1882.68385730022,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,091-1,2100.5569951917,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,091-2,1940.4917055628,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,091-3,2165.74847004451,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,091-4,2148.2569873996,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,091-5,2039.31990362148,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,094-1,1876.21827541581,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,094-2,1951.38622977007,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,094-3,1928.24798952506,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,094-4,1713.79452827093,,Unknown,Unassigned,False
,F10,SYBR,,Unkn,094-5,2074.36495426171,,Unknown,Unassigned,False
,F11,SYBR,,Unkn,121-1,2175.71742543225,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,121-2,2127.83059663983,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,121-3,2133.37491019242,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,121-4,2106.25740365064,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,121-5,2223.38876494633,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,122-1,2207.05755099702,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,122-2,2040.34212995219,,Unknown,Unassigned,False
