,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,ROX,,Unkn,005-1,,NaN,0,0,NaN,NaN,0,0,72,
,A02,ROX,,Unkn,005-2,,NaN,0,0,NaN,NaN,0,0,72,
,A03,ROX,,Unkn,005-3,,NaN,0,0,NaN,NaN,0,0,72,
,A04,ROX,,Unkn,005-4,,11.9091570457321,11.9091570457321,0,NaN,NaN,NaN,0,72,
,A05,ROX,,Unkn,005-5,,NaN,0,0,NaN,NaN,0,0,72,
,A06,ROX,,Unkn,006-1,,NaN,0,0,NaN,NaN,0,0,72,
,A07,ROX,,Unkn,006-2,,11.9415484846004,11.9415484846004,0,NaN,NaN,NaN,0,72,
,A08,ROX,,Unkn,006-3,,NaN,0,0,NaN,NaN,0,0,72,
,A09,ROX,,Unkn,006-4,,15.7773335448416,15.7773335448416,0,NaN,NaN,NaN,0,72,
,A10,ROX,,Unkn,006-5,,20.9227560220103,20.9227560220103,0,NaN,NaN,NaN,0,72,
,A11,ROX,,Unkn,012-1,,NaN,0,0,NaN,NaN,0,0,72,
,A12,ROX,,Unkn,012-2,,NaN,0,0,NaN,NaN,0,0,72,
,B01,ROX,,Unkn,012-3,,NaN,0,0,NaN,NaN,0,0,72,
,B02,ROX,,Unkn,012-4,,NaN,0,0,NaN,NaN,0,0,72,
,B03,ROX,,Unkn,012-5,,NaN,0,0,NaN,NaN,0,0,72,
,B04,ROX,,Unkn,021-1,,12.4554968410907,12.4554968410907,0,NaN,NaN,NaN,0,72,
,B05,ROX,,Unkn,021-2,,NaN,0,0,NaN,NaN,0,0,72,
,B06,ROX,,Unkn,021-3,,22.4538265821478,22.4538265821478,0,NaN,NaN,NaN,0,72,
,B07,ROX,,Unkn,021-4,,NaN,0,0,NaN,NaN,0,0,72,
,B08,ROX,,Unkn,021-5,,11.8862610300555,11.8862610300555,0,NaN,NaN,NaN,0,72,
,B09,ROX,,Unkn,038-1,,NaN,0,0,NaN,NaN,0,0,72,
,B10,ROX,,Unkn,038-2,,21.9001441600604,21.9001441600604,0,NaN,NaN,NaN,0,72,
,B11,ROX,,Unkn,038-3,,11.8982178628998,11.8982178628998,0,NaN,NaN,NaN,0,72,
,B12,ROX,,Unkn,038-4,,NaN,0,0,NaN,NaN,0,0,72,
,C01,ROX,,Unkn,038-5,,NaN,0,0,NaN,NaN,0,0,72,
,C02,ROX,,Unkn,043-1,,16.3222473356746,16.3222473356746,0,NaN,NaN,NaN,0,72,
,C03,ROX,,Unkn,043-2,,NaN,0,0,NaN,NaN,0,0,72,
,C04,ROX,,Unkn,043-3,,NaN,0,0,NaN,NaN,0,0,72,
,C05,ROX,,Unkn,043-4,,NaN,0,0,NaN,NaN,0,0,72,
,C06,ROX,,Unkn,043-5,,NaN,0,0,NaN,NaN,0,0,72,
