,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,005-1,NaN,NaN
,A02,ROX,,Unkn,005-2,NaN,NaN
,A03,ROX,,Unkn,005-3,NaN,NaN
,A04,ROX,,Unkn,005-4,11.9091570457321,NaN
,A05,ROX,,Unkn,005-5,NaN,NaN
,A06,ROX,,Unkn,006-1,NaN,NaN
,A07,ROX,,Unkn,006-2,11.9415484846004,NaN
,A08,ROX,,Unkn,006-3,NaN,NaN
,A09,ROX,,Unkn,006-4,15.7773335448416,NaN
,A10,ROX,,Unkn,006-5,20.9227560220103,NaN
,A11,ROX,,Unkn,012-1,NaN,NaN
,A12,ROX,,Unkn,012-2,NaN,NaN
,B01,ROX,,Unkn,012-3,NaN,NaN
,B02,ROX,,Unkn,012-4,NaN,NaN
,B03,ROX,,Unkn,012-5,NaN,NaN
,B04,ROX,,Unkn,021-1,12.4554968410907,NaN
,B05,ROX,,Unkn,021-2,NaN,NaN
,B06,ROX,,Unkn,021-3,22.4538265821478,NaN
,B07,ROX,,Unkn,021-4,NaN,NaN
,B08,ROX,,Unkn,021-5,11.8862610300555,NaN
,B09,ROX,,Unkn,038-1,NaN,NaN
,B10,ROX,,Unkn,038-2,21.9001441600604,NaN
,B11,ROX,,Unkn,038-3,11.8982178628998,NaN
,B12,ROX,,Unkn,038-4,NaN,NaN
,C01,ROX,,Unkn,038-5,NaN,NaN
,C02,ROX,,Unkn,043-1,16.3222473356746,NaN
,C03,ROX,,Unkn,043-2,NaN,NaN
,C04,ROX,,Unkn,043-3,NaN,NaN
,C05,ROX,,Unkn,043-4,NaN,NaN
,C06,ROX,,Unkn,043-5,NaN,NaN
,C07,ROX,,Unkn,047-1,17.7348602437548,NaN
,C08,ROX,,Unkn,047-2,NaN,NaN
,C09,ROX,,Unkn,047-3,NaN,NaN
,C10,ROX,,Unkn,047-4,NaN,NaN
,C11,ROX,,Unkn,047-5,NaN,NaN
,C12,ROX,,Unkn,050-1,NaN,NaN
,D01,ROX,,Unkn,050-2,3.55333070385162,NaN
,D02,ROX,,Unkn,050-3,NaN,NaN
,D03,ROX,,Unkn,050-4,NaN,NaN
,D04,ROX,,Unkn,050-5,NaN,NaN
,D05,ROX,,Unkn,061-1,NaN,NaN
,D06,ROX,,Unkn,061-2,NaN,NaN
,D07,ROX,,Unkn,061-3,NaN,NaN
,D08,ROX,,Unkn,061-4,NaN,NaN
,D09,ROX,,Unkn,061-5,NaN,NaN
,D10,ROX,,Unkn,062-1,NaN,NaN
,D11,ROX,,Unkn,062-2,NaN,NaN
,D12,ROX,,Unkn,062-3,15.4203921204182,NaN
,E01,ROX,,Unkn,062-4,NaN,NaN
,E02,ROX,,Unkn,062-5,NaN,NaN
,E03,ROX,,Unkn,064-1,NaN,NaN
,E04,ROX,,Unkn,064-2,NaN,NaN
,E05,ROX,,Unkn,064-3,NaN,NaN
,E06,ROX,,Unkn,064-4,NaN,NaN
,E07,ROX,,Unkn,064-5,NaN,NaN
,E08,ROX,,Unkn,065-1,NaN,NaN
,E09,ROX,,Unkn,065-2,NaN,NaN
,E10,ROX,,Unkn,065-3,19.70785530689,NaN
,E11,ROX,,Unkn,065-4,NaN,NaN
,E12,ROX,,Unkn,065-5,NaN,NaN
,F01,ROX,,Unkn,077-1,NaN,NaN
,F02,ROX,,Unkn,077-2,NaN,NaN
,F03,ROX,,Unkn,077-3,NaN,NaN
,F04,ROX,,Unkn,077-4,NaN,NaN
,F05,ROX,,Unkn,077-5,NaN,NaN
,F06,ROX,,Unkn,084-1,21.9490997243408,NaN
,F07,ROX,,Unkn,084-2,3.1350282195496,NaN
,F08,ROX,,Unkn,084-3,NaN,NaN
,F09,ROX,,Unkn,084-4,NaN,NaN
,F10,ROX,,Unkn,084-5,NaN,NaN
,F11,ROX,,Unkn,089-1,NaN,NaN
,F12,ROX,,Unkn,089-2,22.2731325340756,NaN
,G01,ROX,,Unkn,089-3,NaN,NaN
,G02,ROX,,Unkn,089-4,NaN,NaN
,G03,ROX,,Unkn,089-5,NaN,NaN
,G04,ROX,,Unkn,096-1,NaN,NaN
,G05,ROX,,Unkn,096-2,NaN,NaN
,G06,ROX,,Unkn,096-3,16.8262623237953,NaN
,G07,ROX,,Unkn,096-4,20.9166034271607,NaN
,G08,ROX,,Unkn,096-5,NaN,NaN
,G09,ROX,,Unkn,103-1,NaN,NaN
,G10,ROX,,Unkn,103-2,NaN,NaN
,G11,ROX,,Unkn,103-3,21.705926129676,NaN
,G12,ROX,,Unkn,103-4,4.8022248667742,NaN
,H01,ROX,,Unkn,103-5,NaN,NaN
,H02,ROX,,Unkn,109-1,NaN,NaN
,H03,ROX,,Unkn,109-2,NaN,NaN
,H04,ROX,,Unkn,109-3,14.6599445448007,NaN
,H05,ROX,,Unkn,109-4,NaN,NaN
,H06,ROX,,Unkn,109-5,8.9706835659343,NaN
,H07,ROX,,Unkn,048-1,NaN,NaN
,H08,ROX,,Unkn,048-2,14.8371262221833,NaN
,H09,ROX,,Unkn,014-1,11.61736745921,NaN
,H10,ROX,,Unkn,014-2,NaN,NaN
,H11,ROX,,Unkn,014-3,21.8792683274543,NaN
,H12,ROX,,Unkn,Blank,NaN,NaN
,A01,SYBR,,Unkn,005-1,20.3678650896159,NaN
,A02,SYBR,,Unkn,005-2,19.7030759845357,NaN
,A03,SYBR,,Unkn,005-3,19.7797560940904,NaN
,A04,SYBR,,Unkn,005-4,20.0575430253196,NaN
,A05,SYBR,,Unkn,005-5,20.1847929376028,NaN
,A06,SYBR,,Unkn,006-1,22.9759964890474,NaN
,A07,SYBR,,Unkn,006-2,23.4765658624318,NaN
,A08,SYBR,,Unkn,006-3,23.2554399578101,NaN
,A09,SYBR,,Unkn,006-4,23.3388534403172,NaN
,A10,SYBR,,Unkn,006-5,23.3118623510877,NaN
,A11,SYBR,,Unkn,012-1,23.4052460925372,NaN
,A12,SYBR,,Unkn,012-2,23.4904630121782,NaN
,B01,SYBR,,Unkn,012-3,23.5840850817083,NaN
,B02,SYBR,,Unkn,012-4,24.0148664505143,NaN
,B03,SYBR,,Unkn,012-5,23.9118862624325,NaN
,B04,SYBR,,Unkn,021-1,23.412590600001,NaN
,B05,SYBR,,Unkn,021-2,23.4877930029775,NaN
,B06,SYBR,,Unkn,021-3,23.3287793134048,NaN
,B07,SYBR,,Unkn,021-4,23.3987729535422,NaN
,B08,SYBR,,Unkn,021-5,23.4919932816357,NaN
,B09,SYBR,,Unkn,038-1,23.4186263178051,NaN
,B10,SYBR,,Unkn,038-2,23.1784081607499,NaN
,B11,SYBR,,Unkn,038-3,23.1374249897395,NaN
,B12,SYBR,,Unkn,038-4,23.1776336770739,NaN
,C01,SYBR,,Unkn,038-5,23.5335544284215,NaN
