,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,048-1,048-2,048-3,014-1,014-2,002-1,002-2,002-3,002-4,002-5,004-1,004-2
A,Cq,6.85109858843652,7.61747841871467,7.83476711856065,35.802841798386,8.80712672818391,31.0430333630269,8.05937706869757,30.0837094463369,13.2643854672284,36.3249078071082,9.81707417826176,30.3634598387851
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,004-3,004-4,004-5,018-1,018-2,018-3,018-4,018-5,019-1,019-2,019-3,019-4
B,Cq,10.2408657955778,34.3037306362111,37.8243049300549,21.2015731349565,14.0882127660143,10.2837458360547,38.6182130531631,31.969610533283,8.18614259371889,7.8887261536463,8.32533145886325,11.0875946112738
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,019-5,024-1,024-2,024-3,024-4,024-5,025-1,025-2,025-3,025-4,025-5,031-1
C,Cq,9.22040245168133,37.786094071642,16.6133990192632,7.70838325613735,37.2305120497627,6.65990074652563,8.70952631959786,8.89206546933731,11.8625307473402,29.0616340221437,10.2596014201012,29.2003776789987
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,031-2,031-3,031-4,031-5,037-1,037-2,037-3,037-4,037-5,041-1,041-2,041-3
D,Cq,24.2629183483373,39.1135334389028,9.26324660038421,10.4133079873606,38.5461536374371,34.9602836642947,38.1450239901682,30.7157311455699,13.1782560363623,7.90163797792495,27.3061230113496,30.4287933156294
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,041-4,041-5,060-1,060-2,060-3,060-4,060-5,067-1,067-2,067-3,067-4,067-5
E,Cq,11.5402986997336,32.764417288731,38.4586484683935,30.3034118559812,8.9957524019831,38.9418670714174,11.1037530449987,6.80855353672773,24.7426102594643,33.7483656326177,20.4551429670183,11.0016601458984
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,073-1,073-2,073-3,073-4,073-5,079-1,079-2,079-3,079-4,079-5,083-1,083-2
F,Cq,25.9086593274867,27.2221011372905,19.5987730416587,12.5301184852323,5.31864531528294,8.82811684385756,13.602934498931,13.0535352476434,8.3509071647629,29.6513358923152,35.2744200820637,22.5267596100982
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,083-3,083-4,083-5,124-1,124-2,124-3,124-4,124-5,129-1,129-2,129-3,129-4
G,Cq,25.1822401134479,39.9870140401008,18.1848451200151,32.7655236912792,18.3556681900753,19.0666974702385,9.47354843258489,9.28774810589001,29.8938020762981,25.3205107945968,8.99059120673238,11.6161245171471
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,129-5,130-1,130-2,130-3,130-4,130-5,133-1,133-2,133-3,133-4,133-5,
H,Cq,20.7274933715358,34.4215364962134,32.4268524871011,36.2161361594533,37.575472190389,25.2930500849618,37.9369897282505,33.4975856489702,30.575618504759,21.15589623526,11.5374727027349,6.10439280436862
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
