,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,048-1,048-2,014-1,014-2,014-3,007-1,007-2,007-3,007-4,007-5,008-1,008-2
A,Cq,23.3454702892798,23.3266752024621,25.5264863168937,26.2208513679592,25.4153187590145,30.7243006117258,30.7795085339012,31.3553257556823,30.6637446595491,31.2866365188036,29.9752314980632,29.4880106362848
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,008-3,008-4,008-5,011-1,011-2,011-3,011-4,011-5,026-1,026-2,026-3,026-4
B,Cq,29.9572202571498,30.0944615215016,30.3292962577032,26.0587208879909,26.1485600124376,25.6202443567672,25.6241276210708,26.6982329890131,30.8093494615069,31.0993368607392,30.7422454753814,30.1684995923938
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,026-5,028-1,028-2,028-3,028-4,028-5,030-1,030-2,030-3,030-4,030-5,034-1
C,Cq,30.520039472942,31.3745402665638,30.894125363935,32.0913152148683,32.4768862633222,31.4107023971722,29.1936998105949,29.0086886070952,29.2421767451213,28.6319130237413,28.310438296142,27.569984072029
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,034-2,034-3,034-4,034-5,051-1,051-2,051-3,051-4,051-5,056-1,056-2,056-3
D,Cq,27.9296121635913,28.5472466021846,29.9676741252907,29.697744425799,31.1534548097769,31.58471264036,31.2597364745119,31.6289240858313,32.8897890851089,28.5807766314331,27.4355919240734,27.5099114444809
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,056-4,056-5,059-1,059-2,059-3,059-4,059-5,086-1,086-2,086-3,086-4,086-5
E,Cq,28.3527381181496,29.7140412238205,30.8055694833844,30.3719765356694,29.2717037057866,29.1773528410584,29.55974642837,31.4234063114627,31.8478170380461,31.926919816902,30.9728912342546,30.7071985129509
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,087-1,087-2,087-3,087-4,087-5,101-1,101-2,101-3,101-4,101-5,104-1,104-2
F,Cq,27.3582378800279,28.244249776438,28.1703743974285,27.9975781790099,28.1539689383217,31.4717516295655,31.7402205178765,31.5785849587544,32.0434016397009,31.4246326708619,30.9619033504793,30.7052400253657
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,104-3,104-4,104-5,112-1,112-2,112-3,112-4,112-5,120-1,120-2,120-3,120-4
G,Cq,NaN,31.1877119016686,31.5842932637706,26.1699082546044,25.8524023809352,26.1648614401829,25.8586669489547,25.6946068898094,28.6304541827711,28.9800482634869,29.0554010559577,28.1869456473187
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,120-5,123-1,123-2,123-3,123-4,123-5,125-1,125-2,125-3,125-4,125-5,Blank
H,Cq,28.1042882465522,30.2080934265405,30.2642966771222,30.4853900181403,30.216600320389,30.534668826356,26.47533835042,26.6124722956031,26.7201208383375,27.0651429552296,26.645742183751,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
