,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6
,1,-70.2612116202408,-33.6031973827144,-56.1954611350188,-37.5777671689411,-47.2946166490551,-48.3616367460359,-66.296224386509,-48.0984076649534,-49.9537063149082,-55.598959181109,-90.1205476958544,-94.5827827819221,-13.4554120631828,-27.630727667718,-40.2237731218775,-51.6871889914005,-21.6936807092197,-42.999840410042,-43.2081122097948,-54.4349871354175,-46.4697642036158,-40.1578866524519,-0.219664961439321,-41.2854926853111,-33.5945266672375,-20.1999999430031,-49.8230172063149,-20.0369078167596,-37.8376298678959,-59.7118121716453,-24.0041517752284,-41.7788878711385,-46.4290141122456,-32.5583512710573,-35.3444985983188,-53.4320506844101,-37.693933227049,-34.6286887912092,-35.5840040361618,-31.6708444641645,-37.1721438563045,-25.7872736407367,-26.3640462865051,-37.9034345923237,-27.1779584516398,-21.9325494247082,-30.4256583758051,-44.0310924473629,-25.9985898842288,9.25624233399367,-28.2687155176245,-36.1142219056874,-17.5175432195083,-44.7286548519733,-26.7475852643406,-22.3695027384133,37.2081079072441,0.651009545420948,-35.2266153935029,-27.5974414454254,-44.8369620155754,-3.48213028901455,-23.3335556812453,-42.5800837944844,-32.7267704582191,-33.3451591780918
,2,-29.3957983893383,-17.4278663562363,-36.1255849224754,-25.5500323585061,-22.2391465077571,-39.1656543810145,-46.5914002302729,-32.6314173249598,-26.6645229770293,-21.3704474986348,-28.0520515626699,-39.845151055948,-4.3110459826712,-16.7356113700671,-21.8308979455819,-38.8442989024361,-7.81050208189981,-28.1463543992713,-23.5670356339019,-39.80807256348,-29.5000371211618,-22.2703422574896,7.43554733522842,-20.9562587527498,-20.2532549639595,-14.9872531928031,-32.9911861534292,-14.8688917907966,-25.0915109494786,-17.9413070046094,-11.4154070920299,-24.207841962515,-30.1053094865842,-15.84255620261,-9.33221874427227,-31.7692937004308,-25.7348256052633,-15.2454908713021,-23.9699729629592,-24.1999301985288,-23.9079501945375,-13.8504232470955,-14.3576606081579,-19.3939859231309,-15.8892027026118,-8.40910649982789,-22.5320530475342,-30.0825788765742,-15.504505898024,17.1572136378363,-14.1324620276514,-23.6810436224005,-12.1883270188455,-30.2650035061811,-11.7626235821244,-14.0245814774971,31.0189714494445,-1.18529807582718,-26.1367552522188,-11.287803120842,-35.6161755506309,-6.48252975221112,-12.776489764075,-27.7103265023029,-20.5546568408872,-19.4418439065867
,3,-24.087470623886,-9.58834519917536,-26.1022598797308,-19.1576578319277,-14.2592842152708,-28.133828831194,-32.7486148890475,-21.9447121261346,-19.4763130346023,-18.3155140479566,-18.2449147369275,-16.3401567561791,-1.00640296485835,-15.200857660031,-15.857448425219,-22.0095197585247,0.72942960854698,-18.5239427221836,-10.3366385366435,-29.7070470643635,-21.5426878409708,-19.0618979139831,12.8140561632595,-15.8965626233398,-14.9949516018851,-11.6219553550686,-25.3835392505816,-10.9248095482112,-16.3063966564969,-22.9990075912979,-9.27932095819142,-12.6597317128171,-19.3051735936187,-9.98669615140034,-6.35549260954076,-25.1246983927063,-21.1151178708228,-6.63715922033862,-16.5259109027988,-18.5085483214216,-11.0241118722233,-10.8345453669731,-11.2167833020735,-12.1232502699145,-7.48772957042775,-9.80379899013951,-19.2575042042254,-16.7391631932737,-12.110208187959,16.6177967302961,-8.38031664128039,-11.8665941422223,-10.6476470581597,-22.9959495727444,-7.95293001533719,-7.39977265263542,44.9137581798723,0.696136790556011,-19.0154491620856,-7.59266501766479,-28.5997724652857,-6.31405181418586,-7.23365471787929,-19.531807638697,-14.8311600879733,-12.4233815766111
,4,-17.0080835257208,-8.24885718625637,-16.5534851390776,-14.3259216955789,-7.9747223155864,-20.2477711950014,-23.5114304306649,-13.3521804975258,-14.4826136456768,-12.40233080804,-10.8028106108704,-9.81882731289897,1.13933157992687,-7.54003948849913,-12.4007560075434,-13.584201772182,-2.38773617149718,-9.35298737353241,-6.29955320289309,-21.6804078874029,-12.909395316653,-11.1215036445456,17.0854082176825,-12.4154476968756,-12.3820931843684,-6.26791646972379,-17.2173160600578,-9.28823273634089,-11.483924080504,-14.0097354062887,-7.72675189923166,-8.59175654845194,-18.3240856789103,-6.12313580369118,-2.70378942193975,-17.0266786738789,-15.5183055133557,3.29925419433903,-10.3861185325354,-12.3606393181408,-4.35487636566995,-8.61591891744092,-6.43426737709842,-10.2534274542654,-8.0691725567126,-0.170253214151217,-13.4006496199195,-10.3225000685234,-7.99233866262875,12.4115404089199,-6.91566903891453,-8.20666560813515,-6.18156157998146,-15.5033956448397,-5.11260661833057,-4.75401673229226,59.8850109064942,-2.46393654597887,-11.6028762528636,-4.23875344821363,-20.0036787581807,-8.88137268881655,-5.40388687553786,-10.0638422438101,-9.0532414468189,-9.27860093154595
,5,-11.4763771947269,-5.47735960188265,-9.41887100100439,-11.2254729693777,-6.31768220394179,-17.356799145085,-14.1018106283555,-10.2620840214718,-12.1254836068615,-9.81021469939515,-4.83789248395533,-11.5152410119877,-1.14816835246256,-6.29091263343662,-9.49687038160573,-8.79900519908142,-0.854132318030224,-8.72215265400655,-7.02635834671946,-14.5199266343611,-9.60139171266428,-10.3381424533754,27.5418757824204,-16.7792723596463,-5.82753951955829,-1.66241788580646,-11.6040623731988,-7.47482373121011,-5.90134841280315,-11.5389507443365,-8.43179913260565,-4.82900253602656,-10.7130005833319,-2.36201967665102,-7.63402087433042,-10.0884729530762,-12.3083662375793,-4.84042024644987,-5.58581910311023,-10.2542199593336,-0.981609920071605,-7.15978585793346,-3.5092680530729,-8.64275568377343,-6.26857678440092,-0.392104761880546,-11.645478396018,-11.1188402116386,-4.3285721693137,6.59956080386504,-1.85884367010021,-9.19376115157775,-4.4969788287699,-10.9593729678336,-6.56969628107663,-3.52319665603181,74.7476438596718,0.906961101543857,-14.3097377031768,-7.67569230763866,-16.1678491807447,-4.19618710350096,-2.03886400484362,-9.47306286457751,-6.71994275333782,-6.21720912041928
,6,-3.83843679310803,-4.85840225869288,-6.51522828967609,-7.17093735912977,-6.25735551841262,-9.97023964673099,-13.3433171435754,-7.37522446076628,-7.06978992981203,-3.01329479816422,-3.69346746464726,-10.5024366558218,4.30630673382393,0.111678104694874,-0.485045237122449,-5.31627877123356,2.32680420666293,-5.77960001557994,-5.02904380151949,-9.13019394052526,-6.57816937877442,-7.86309417621351,32.0996424117308,-8.12828904558319,-4.46225478911401,-0.262338069253474,-6.28305063546986,-2.69026270699169,-4.29157465356548,-10.4535903044152,-2.34363472870427,-1.89171353597294,-7.0593451499376,2.16782913989846,-3.57033169270244,-6.08301178536021,-9.57367655618873,-5.78598988255999,-2.04174575915613,-6.63658165147717,-1.30624268742304,-6.66639174837337,2.84457291452918,-2.8473653627666,-1.46369262711505,-1.39617116632735,-7.87568169312271,-5.71694946776643,-7.15026836626703,1.34546960817579,2.63556221492081,-2.65264431454716,0.259780406434857,-8.95682419408013,-5.28428480972161,-1.00494437366615,85.1323718375506,-1.76047012916752,8.10158639814154,-5.13912400816798,-11.8822557955673,-2.86969484060455,-2.95775513874605,-2.30351209282526,-6.09327141615722,-3.18880944687635
,7,-1.27713553261947,-2.66206807366416,-2.99914312553801,-4.25218926774232,-4.66465113000777,-3.38266325170071,-6.66591963328074,-3.79204987556886,-2.36804938268915,-1.51716984524728,-5.83223548920796,-0.88848139088168,3.36733433863674,-1.90305679026733,-1.01280064757657,-5.75894102724624,1.90613178935519,0.322203786056434,-1.86635016002901,-6.7944247715327,-1.83337809332579,-0.693547668178326,36.0030347069326,-3.8130197298442,-2.58693123971625,0.275922207540589,-5.5133138854967,-1.27093050406029,0.656972918938664,-5.0129280328656,-1.95659955295332,-1.974389670253,-2.57532558765206,4.25164635490091,-1.58764220045168,-0.741080438795052,-6.81624890405237,-2.47998863067687,-1.68342880700766,-6.92872978901278,-5.71489738670016,-1.53407993448536,-3.60139990389143,-2.88897738610422,-4.29893935288737,-3.94138638340246,-6.63372606637631,-1.7563656739344,0.087099949086678,-3.00778813829872,-0.296278477935175,-0.258989636060505,-1.80980964096671,-5.62979420569354,-1.27953883477539,5.81804313900602,87.6074732258526,4.92542245357481,0.339520472311506,-1.68186748723019,-10.4788827618404,-2.72954490970778,0.770592559159013,2.57426196134566,-2.08467202334441,-1.05228130421756
,8,3.39138470121179,1.3631026793164,-0.593442118270104,-3.80608475517784,-0.71450817601044,-3.8708684850958,-7.18959152266279,-0.846322896209131,-1.5390726152641,-2.6298857306806,-3.76233125075123,-6.02076238179097,1.2841097517753,-3.27657867505422,2.21854606419492,-0.926696373562208,-1.23220492582595,-0.47292316464609,1.41163778931423,-8.47512932229938,-1.78354147098116,-2.38591263594299,39.6196815018607,-1.90627875904465,1.08817382505549,0.659950158259107,-2.37748373439899,0.0252157911741051,-1.16106448138362,-0.991917930488853,-3.54067806745297,-3.96912882904508,-1.22624162169859,-1.08284784547959,-5.2000134053892,0.260215842932212,-5.87519494576554,-4.33982320550058,-0.641926110229178,-6.6647651893586,0.306837810724574,-3.2729583329492,-2.58670706572457,-1.23493137590549,-2.52299873109769,-3.10020352364245,-4.29377425937764,-4.81162848651593,-2.41031542766041,-3.93249363170526,2.12714903030337,-4.26695031832105,-2.90805376515527,-7.33971546557223,1.5421428871191,-2.81678301527472,95.151422592844,1.30732828872078,-5.71600714631495,-1.26309948365133,-11.2826410258385,-1.8973492447476,-1.79770759926987,-2.45060274329899,-4.15050778672139,-1.47238926618138
,9,4.80384628736419,-0.665344961547362,-4.90767359740266,-1.03155076399344,1.98534001914868,0.989748089275054,-4.35129823181342,-1.30097112400654,-2.19447176431504,2.69605912021052,-2.01076643547731,-0.0041928492637453,3.25003915901834,1.40774368701841,2.37539458255515,-2.43028591006487,2.62995683773897,-0.967363774533169,2.32104748575739,-2.27722589099176,2.45780865796223,2.81534659596582,40.933414895714,0.208853694763093,-0.508293148016946,4.50281938314174,-4.24867464686031,7.76550927722974,-0.884329941924989,-4.74817472053292,-1.54244629867935,3.03533101843641,0.154519954586249,-0.252343850902889,4.67717637554506,-0.075083555353558,-0.0773457126838366,1.68524756781198,1.61918321328039,1.22422087762607,-1.00900191221353,-0.220810693670956,3.51204504542147,1.06488560466869,0.904779842003791,0.535114736638661,-2.55076694665104,-1.57134471072322,0.776696408653152,-5.94873611509502,4.18619240921407,-2.13155845028587,0.411582439836366,-4.47462688487894,8.2871100462271,0.831199093386203,97.5170232253136,0.204114662589291,1.49694652842663,2.5493020730346,-6.93043779201571,4.53582141552579,2.19688866646038,2.61330915956341,-1.63467715230308,1.03671462237253
,10,6.39016056680066,0.546448590730961,-0.485156082329922,0.280999738206447,0.973791006187639,8.33309037688377,1.239806625234,-2.11455228443401,1.20058273581026,4.37975514389791,1.43667404293365,-2.21100588109312,0.752523575040414,4.54265276083561,1.38396813728286,0.66077348576755,0.579328576354328,-2.09941955666227,0.244881261097817,-3.46261001002676,1.95681126633144,1.84707844686818,42.9282545228718,2.43204128740763,1.97056573351847,0.897834227507246,-1.62432407416418,2.20937498581407,-2.0141921832992,1.222534127789,0.656283754984543,4.37570386493053,2.24216423761072,2.03742648754951,-0.804540070399071,1.51834686103939,-2.06288940083869,-0.00384158018505332,0.83933598019803,-2.60841884242745,0.433233185007339,-0.342301595345361,2.31355831706924,6.50920680512172,1.49647380161696,0.408697092229886,0.0447309043352107,1.62753660892304,0.125645624000754,-4.0817386467426,1.95646157155534,-2.92354596521818,3.51884980398836,-1.97496240617647,3.76415063416061,3.49550125032374,101.270710188528,0.160586191134371,-2.00604700480062,-0.138084009999147,-1.85905051914233,3.11463215002141,0.791007555231772,-0.377219049379164,5.56885417579315,2.74056884155198
