,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6
,1,-59.6383958041711,10.0971409275039,-12.1084587592668,2.96115155016923,-16.6671723253903,-3.94927909160742,-20.9140333617452,-17.1588494107318,-4.30736463700805,-14.1485267073945,-90.7246424186574,-99.1640777128277,-2.31731491184382,3.13661901283194,-0.344928189189886,-15.1735120793519,-1.61669449661167,-5.72831809563968,-24.3717631757604,-13.6141018439898,-12.917785105742,-9.69025589758076,-7.55538272256354,-0.123484186261066,-5.49279678210132,-18.16804359651,-19.2085635672297,-6.6109843764807,-7.65452218389009,-22.8276895594613,28.6072807861819,-9.83455460638015,-20.8686119099789,-5.84866386870226,-6.23030075308225,-12.2318910351974,-1.55386308927746,-11.3397442095734,-9.39550750482431,2.97370692881532,-28.201247431266,-21.9061484380654,-1.20686688682417,-11.9864287817063,-9.72574251699098,0.79083058751894,9.76140731782516,-4.19951077225733,-4.84593542316316,7.45883624037015,-7.3564039900125,15.388893444645,7.92935814958855,-19.9103291129309,5.17332691729371,-0.969462978127012,-10.2629815491619,5.1178446711956,-18.3061445413487,-28.191341706909,1.27548573864533,36.0911170169629,15.8264497709119,8.35041018429092,2.74349995800139,-22.6403953027002
,2,-8.61645564029732,7.19370496887996,-4.2944957386776,16.2272339764104,21.6391401871829,-0.0471599029410754,-6.26310407695155,-13.8730771990504,6.75302355203348,13.7695753274902,1.11676085928775,-26.7251838823531,3.67973524151193,12.3090451080425,7.38969212416896,-3.3492855328368,8.89450770762869,5.3514637590074,-5.54138017758396,-9.33924561861295,-9.13715723896121,0.415679347494006,2.10454695532508,12.6233723515743,0.9851319662489,-7.08551433346338,-15.8330443322475,-5.84353910476329,-0.509547058139106,19.3491089156764,19.8012401975275,3.26634712123132,-6.56144171877668,8.55727470199599,18.6042487972327,2.57992385217176,4.83679099136589,0.469264463177296,-0.0558857284768237,5.8428975275001,-13.5325458950074,6.14181893608475,11.3428245875639,-1.83673847270211,2.99049559003606,-2.19878537244949,7.13102931589992,2.8732974114796,-1.45559583951444,15.4793998936821,0.258286679706089,8.88178387550806,9.96159655791098,-4.44256943060782,7.37949029696165,10.6717648966364,-15.1747215213163,8.16189434468834,-9.98979083131098,4.83936177321402,10.6901728630319,13.6886541091021,15.0310392202264,18.7663931754369,11.3688390952498,-12.7428073502952
,3,0.996994593534964,14.6792872968399,4.64674736044708,16.0252655422955,15.1430247831327,3.15238031286663,-5.2075026074549,2.60300421924103,5.04456831120069,10.688868414059,9.89387666181119,2.75010602958082,6.85125019681573,7.83675852004899,5.91081717081306,2.50683875033246,13.0500675549829,8.641301458199,14.904488264227,-2.41480347602737,8.35497909851301,3.40792285942098,-1.01578723072089,10.221674886071,0.160308228318172,-1.92892714532536,-3.54956065195574,1.35374794638756,4.09909212854791,5.7506189192668,17.3326904353667,4.77943749665246,4.299951638734,6.44544134015678,14.5297704071058,2.09318381187586,3.67050714758989,3.70050022285977,2.98119999302935,4.47810739510032,-4.68404201717885,4.52942020279215,11.970884932733,6.49052539783361,2.82806179204999,0.121647301309167,6.90129135107145,7.25665173232892,1.01387243835688,12.4307373773472,0.372325732756963,7.95560858707586,6.03274328735642,1.54158894495322,13.1781276537986,6.44696296324082,-8.17785157127446,5.86306629635237,-12.4980596520163,4.19457395454856,9.4212806633027,16.0210211593808,15.6254207816223,14.6546248147652,6.8205052752237,-11.0213622291512
,4,2.1091511626164,11.6246253896893,4.68110980363872,5.60191938426624,5.23767928693451,1.79994441865074,0.842094744064525,5.08931520740771,6.94677574210391,11.63886915481,7.15896914044151,14.1240259737542,7.53395356097735,5.92528835546955,14.8686246451894,7.33193031506971,8.97659643729094,2.78680860307077,10.3617312231763,1.66053962177966,7.96050259137837,5.93852555802096,5.68012647712703,2.50260668198825,-3.60396398743478,-1.85774693368967,0.183399312951224,4.98545217241463,5.25506205928104,6.7708697588173,13.4207050528425,8.44140645672496,8.54727896059649,3.64883140482289,10.3571772343917,9.19370881939494,8.1761303002404,3.5399226699933,6.82195830195815,9.56623168586066,0.339217146526607,3.94950896583305,13.5217775923952,5.38177423798379,5.75722206231967,18.0978708015273,10.5817495467286,9.7905410770577,-0.150137893371266,9.6857731316386,6.36825960011811,8.15955949134968,11.7352318023204,1.63972393416225,11.9064733343921,6.73142686829033,1.06904102939916,5.47309180316779,-2.29228251783979,5.50050248601428,10.40808555782,-0.633833235820475,12.1860204521386,11.4431863679356,11.9696701619409,-6.98266736669211
,5,-1.09288100829235,-1.15183965710094,9.42856384637889,0.391460618445763,2.27357014222707,12.1143722686561,6.65435937515713,3.23556055486415,4.86877849953316,5.09855432778659,5.14370253380639,8.82638373747886,2.22624806880867,-0.212651489512155,11.5741294161899,5.19140008883323,5.88817133573684,7.68181500050741,5.9547571595981,4.85096873442899,5.33971877903241,7.42898835161395,5.37379728727592,4.0524247428325,2.27786326599062,-3.23915606875153,0.675655516797633,0.650992849877184,5.68112644282792,6.63257864259776,7.60804722951116,4.74847802261775,1.40016601866182,7.7165845788013,6.2475480764424,4.15624232809751,9.15195863543431,11.3381159827113,7.07604990701429,5.9350529468079,16.2243525485155,2.45649091141786,5.27095815629491,5.90707008516119,2.35717219174012,8.75680842400971,4.82033909636812,6.19302017917289,2.10928259305001,11.7710730649428,17.2626381511841,13.0084773639546,10.0203150191101,1.85850768276077,9.43986019639669,5.40232859808975,4.78493351066481,-2.77351462965544,-3.53016260928507,5.05563450524187,5.30715273269243,1.38270939436779,5.49118083314215,8.33995866290161,0.843649286879099,-5.11196539637604
,6,8.30838123695958,6.54107213906582,5.99934518918917,7.08678411914889,2.16941236021512,6.19054910432305,10.4438043601972,6.75879815667713,4.73554497087935,4.12829635049729,1.24773529235745,1.21655849323542,6.02753997441596,3.53322719552762,6.66043180730867,5.37269813196735,-1.72600275132436,5.15684507957349,2.93919172136384,6.45716004555015,3.70396454273396,1.4050218126722,5.10178594431318,5.98020742528297,3.55265359786972,5.95005031064738,4.06004576904434,1.09187909732827,4.69596419422669,5.9978510755891,3.11351234592576,1.85206683360548,7.9567584799147,7.38150542114226,1.43658884264278,6.20504908197609,6.01912138148327,4.50354587475294,4.72544423267118,8.09621184732487,7.31507884192342,6.24020304614805,10.1850314146436,0.990724608351229,4.88405009257849,9.61892686954889,8.3978547022698,4.77905100115959,2.84157404288317,11.9126754632139,11.2735954194227,6.54997182385705,10.0005975589884,4.66662535998967,7.85279084226386,9.86706640328339,6.67198385457641,-0.378144537707158,18.8544381746988,4.3316604101451,-2.84509673791626,-2.8978316732605,7.88311479777349,3.78171689178862,-1.77845384169768,-1.33867547129785
,7,7.53919676304895,1.58911112847773,2.59176063142149,-7.2547203123404,-8.27770405167439,-0.2128087400406,5.37260208178395,-0.490963902730527,3.886986842233,0.180922137069501,1.38691489514622,-0.884844782170603,-0.978755646096488,2.52320049306991,7.52728898502664,4.03547313032323,-2.26801220710968,1.3015269987186,-8.21289642282136,4.16867293432551,4.49816095522101,1.74860058159993,0.121283508036413,5.63005021019626,5.4216150390057,3.01230195477319,5.32612569590538,2.24998711463923,5.5380206380496,2.63367835263898,-1.54180517544137,1.41097083940031,-2.87330851883462,0.927192530800312,-2.68174246346962,3.79232272328773,4.25532518966202,7.09753091172297,2.32714886801296,6.99716644312002,3.78499472189242,-0.107889291297852,6.69610085089698,1.32347701188382,2.31609148628922,2.05021130922887,6.81851155197182,6.93620299236045,6.84990611132253,4.17157908915169,9.07012023670222,9.4172519586441,6.90949553759901,4.20708810372616,2.50023567450808,6.84536243693992,6.8696122936085,14.4652373279314,10.3185102337216,3.72324145370203,-2.51053809009181,-4.96172677041295,-4.8015802849236,-3.8146823655029,-3.40499303071238,-0.0879338838199146
,8,-1.91265004676825,-9.63994658985257,-8.73348826587744,-10.9253929673964,-10.4798678100515,1.63725305550724,2.18250424718008,-2.33454412195852,3.08996742769932,-3.25663104026489,0.852273209349278,-1.94416870018085,-7.4078357652279,-1.6362919267408,-5.11333256671242,-6.00005187320448,-9.8728010880136,-6.70488949501805,-6.52687327822059,-3.8212334240493,-0.890217182552078,-1.18341320915397,-1.32965464967674,-4.07746609053129,2.19503307965851,4.02916259122139,5.91231043616972,2.05438034121835,3.61412178583396,5.09974759611305,-9.25865563584739,-7.99302034713628,-2.33203238090937,-8.64322444457684,-13.1034935977627,3.43726976162179,0.503738999208963,0.50912290775841,0.186610758039478,-5.10372239118078,-0.19784884450155,2.65862180482554,-2.15572150378603,-1.02528207621936,-3.41601678696588,0.165672856356196,3.13961797733646,4.00013726354291,0.928239587194184,-4.56460393260613,3.56422710432616,5.66494564960749,-3.24533567361095,5.87593467984379,-0.0628096169471064,4.59372632105487,10.7089596558308,8.03959655868766,4.57802394590044,-2.35369009756596,-9.38168598508901,-6.08676379794997,-13.8911474781348,-11.9059853838094,-9.22070162305818,2.73319593140013
,9,-6.79400699811094,-11.4720948017052,-11.0121838870873,-5.04537615689105,-12.6782857456706,-2.97776785480664,2.43047306626477,-7.05220777760042,-2.32543386410498,-4.76491221183096,-9.04566337687356,-3.69639451331432,-4.0047123581071,-6.13606640420039,-8.67533884144132,-4.17047652923111,-11.4261262597984,-6.75119313537789,-6.61305615228821,-7.44890282913093,-4.44860537788418,-2.76022186787304,-2.45079662608987,-3.08455600941079,-3.60302104712764,2.19644557796801,0.557515268655607,-2.00382129664831,6.85213105982803,-0.447043409107664,-13.1943891784881,-8.09473120683879,-5.0773527812562,-5.86704065137155,-9.7601609622975,1.49062383964747,3.07014085733363,-1.46337661795087,-2.4354034728799,-3.49636591720991,1.35782982981254,-1.72388412647979,-1.0668637834965,-5.22868163836984,2.61735092667232,2.61321487582836,-0.692775011848425,0.0708353771110524,1.87744848075636,-1.1998462968304,1.0502643406785,1.65717306309125,-1.22342197550824,0.992162472373366,1.9348527036932,-1.15553385308795,7.44995122289129,3.70660602859698,3.51659083019877,-3.77716174796842,-14.7650631554425,-10.1321394697743,-16.600522719461,-15.4386218545574,-17.6123100899958,0.137403871311108
,10,-9.76035491527045,-18.1172506100561,-17.1068456634835,-22.0339667022113,-16.5959399985368,-12.8622218182818,-4.73787255341585,-7.37585109562997,-10.5673821861642,-10.0051581438042,-10.6530334030385,-11.9577377400133,-8.51142847832989,-12.4210744925485,-10.8821271439151,-12.5477946499354,-16.4886007464861,-15.0233822274727,-12.803114664006,-9.74146635311536,-14.4784161792022,-8.61593448699568,-4.87524483809284,-13.1886308789126,-4.59239741447846,-0.28226523151352,0.931770037272599,-0.40748878561908,-1.07354981857134,-0.209296050994453,-19.5371182190956,-11.5985237690716,-10.5397740783296,-13.3218818426571,-16.0361148461952,-1.05065854959093,-2.83562704303495,-8.9604213092457,-7.9409675358238,-7.30284674573431,-1.24730958085865,-2.88928362349861,-4.71770978346922,-5.71234995756959,-2.09206544346489,-5.26061615140588,-1.68365967714362,-5.25201252218812,-2.11424387304351,-8.64183935243364,-1.13424466761717,-1.26588209515739,-5.7377857721458,-3.88757671894109,-4.35910968520056,-5.25602349496012,3.7096881216462,-0.365785465193312,2.36357023277742,-4.10690740681184,-15.8670629647463,-14.212427716549,-23.6616721458781,-25.6470073330397,-16.9452941912286,3.61997494790421
