,Well,Sample,Call,Type,RFU1,RFU2
,A01,002-1,Allele 1,Auto,447.577084504985,4.48059287310116
,A02,002-2,Allele 1,Auto,633.147480806859,2.06985162804722
,A03,002-3,Allele 1,Auto,636.266535025174,5.68564412683099
,A04,002-4,Allele 1,Auto,651.083108433466,-1.16071522127322
,A05,002-5,Allele 1,Auto,648.86886505282,2.45564694188261
,A06,004-1,Allele 1,Auto,627.531484377517,-6.04317927020975
,A07,004-2,Allele 1,Auto,540.929863172479,2.78185851113903
,A08,004-3,Allele 1,Auto,560.289747653809,2.63769297454473
,A09,004-4,Allele 1,Auto,162.218370721329,-1.95846487811787
,A10,004-5,Allele 1,Auto,239.195730994304,0.393963685053677
,A11,005-1,Allele 1,Auto,59.9886542515542,10.3727405990739
,A12,005-2,Allele 1,Auto,41.7871149496273,-101.710531156647
,B01,005-3,Allele 1,Auto,318.558815935522,4.36929517635144
,B02,005-4,Allele 1,Auto,407.505084819414,4.71810131738039
,B03,005-5,Allele 1,Auto,378.771187049233,4.45087583595932
,B04,006-1,Allele 1,Auto,497.405366222161,8.5319737208365
,B05,006-2,Allele 1,Auto,595.213105551345,5.39604867150456
,B06,006-3,Allele 1,Auto,541.878114469735,7.59855093786246
,B07,006-4,Allele 1,Auto,557.431539603607,5.95165647974181
,B08,006-5,Allele 1,Auto,431.479369246544,2.42202031784973
,B09,012-1,Allele 1,Auto,373.941190589794,2.3714264415712
,B10,012-2,Allele 1,Auto,350.221100875394,5.2579469672437
,B11,012-3,Allele 1,Auto,429.317469259909,24.4943900421222
,B12,012-4,Allele 1,Auto,-2.80152278855121,-15.5252257323259
,C01,012-5,Allele 1,Auto,518.681975943619,1.16511779997154
,C02,018-1,Allele 1,Auto,859.046491013358,5.14795929859747
,C03,018-2,Allele 1,Auto,857.915570859727,5.36248723772133
,C04,018-3,Allele 1,Auto,795.857538674398,-0.0175551352790535
,C05,018-4,Allele 1,Auto,891.53690026959,2.47986994982466
,C06,018-5,Allele 1,Auto,824.315670277712,3.65127924689796
,C07,019-1,Allele 1,Auto,776.019584399898,-0.996382170801098
,C08,019-2,Allele 1,Auto,477.939231195458,-0.609663553746941
,C09,019-3,Allele 1,Auto,395.733738155091,-0.254667117227655
,C10,019-4,Allele 1,Auto,413.92218873638,4.86024892911064
,C11,019-5,Allele 2,Auto,-7.50742527931197,10.6599194025262
,C12,024-1,Allele 1,Auto,46.9888236397869,1.72682186336897
,D01,024-2,Allele 1,Auto,415.952982567359,2.42941648147098
,D02,024-3,Allele 1,Auto,494.720386748459,4.13813253446733
