,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,,Unkn,002-1,0.209059697723933,,Unknown,Unassigned,False
,A02,ROX,,Unkn,002-2,2.92710592085068,,Unknown,Unassigned,False
,A03,ROX,,Unkn,002-3,0.960673057679378,,Unknown,Unassigned,False
,A04,ROX,,Unkn,002-4,-2.54303293140119,,Unknown,Unassigned,False
,A05,ROX,,Unkn,002-5,3.322888369668,,Unknown,Unassigned,False
,A06,ROX,,Unkn,004-1,-0.407556390273021,,Unknown,Unassigned,False
,A07,ROX,,Unkn,004-2,2.99216176818309,,Unknown,Unassigned,False
,A08,ROX,,Unkn,004-3,-0.702279022576567,,Unknown,Unassigned,False
,A09,ROX,,Unkn,004-4,-2.95644563977021,,Unknown,Unassigned,False
,A10,ROX,,Unkn,004-5,4.64168452955664,,Unknown,Unassigned,False
,A11,ROX,,Unkn,005-1,5.69695101863763,,Unknown,Unassigned,False
,A12,ROX,,Unkn,005-2,69.6330620064683,,Unknown,Unassigned,False
,B01,ROX,,Unkn,005-3,0.226967327687362,,Unknown,Unassigned,False
,B02,ROX,,Unkn,005-4,2.38555331830385,,Unknown,Unassigned,False
,B03,ROX,,Unkn,005-5,3.288673385539,,Unknown,Unassigned,False
,B04,ROX,,Unkn,006-1,5.57975004629398,,Unknown,Unassigned,False
,B05,ROX,,Unkn,006-2,3.99117104647721,,Unknown,Unassigned,False
,B06,ROX,,Unkn,006-3,5.42586557860086,,Unknown,Unassigned,False
,B07,ROX,,Unkn,006-4,2.60604098512404,,Unknown,Unassigned,False
,B08,ROX,,Unkn,006-5,0.985688594254407,,Unknown,Unassigned,False
,B09,ROX,,Unkn,012-1,-0.629951505305235,,Unknown,Unassigned,False
,B10,ROX,,Unkn,012-2,1.69445400520517,,Unknown,Unassigned,False
,B11,ROX,,Unkn,012-3,9.78557077490204,,Unknown,Unassigned,False
,B12,ROX,,Unkn,012-4,-37.8769440784445,,Unknown,Unassigned,False
,C01,ROX,,Unkn,012-5,0.509635508455813,,Unknown,Unassigned,False
,C02,ROX,,Unkn,018-1,1.10036959473,,Unknown,Unassigned,False
,C03,ROX,,Unkn,018-2,1.68273785746715,,Unknown,Unassigned,False
,C04,ROX,,Unkn,018-3,1.50602158183701,,Unknown,Unassigned,False
,C05,ROX,,Unkn,018-4,3.14786635063501,,Unknown,Unassigned,False
,C06,ROX,,Unkn,018-5,0.452401995793025,,Unknown,Unassigned,False
,C07,ROX,,Unkn,019-1,-1.70739633904777,,Unknown,Unassigned,False
,C08,ROX,,Unkn,019-2,0.150221200253236,,Unknown,Unassigned,False
,C09,ROX,,Unkn,019-3,-1.4652245215043,,Unknown,Unassigned,False
,C10,ROX,,Unkn,019-4,2.49298504351418,,Unknown,Unassigned,False
,C11,ROX,,Unkn,019-5,7.57874352010049,,Unknown,Unassigned,False
,C12,ROX,,Unkn,024-1,-0.781415284400555,,Unknown,Unassigned,False
,D01,ROX,,Unkn,024-2,2.26011138696822,,Unknown,Unassigned,False
,D02,ROX,,Unkn,024-3,2.41900909922779,,Unknown,Unassigned,False
,D03,ROX,,Unkn,024-4,4.78827563485565,,Unknown,Unassigned,False
,D04,ROX,,Unkn,024-5,3.25467947381121,,Unknown,Unassigned,False
,D05,ROX,,Unkn,025-1,4.79377128972146,,Unknown,Unassigned,False
,D06,ROX,,Unkn,025-2,5.64825640454383,,Unknown,Unassigned,False
,D07,ROX,,Unkn,025-3,4.21337077682583,,Unknown,Unassigned,False
,D08,ROX,,Unkn,025-4,4.50246436055622,,Unknown,Unassigned,False
,D09,ROX,,Unkn,025-5,4.02615228701852,,Unknown,Unassigned,False
,D10,ROX,,Unkn,031-1,-2.87163237137975,,Unknown,Unassigned,False
,D11,ROX,,Unkn,031-2,6.14738704526953,,Unknown,Unassigned,False
,D12,ROX,,Unkn,031-3,18.8470702308183,,Unknown,Unassigned,False
,E01,ROX,,Unkn,031-4,0.0680919515893947,,Unknown,Unassigned,False
,E02,ROX,,Unkn,031-5,-0.156076975966698,,Unknown,Unassigned,False
,E03,ROX,,Unkn,037-1,2.07459400127918,,Unknown,Unassigned,False
,E04,ROX,,Unkn,037-2,1.2904847587125,,Unknown,Unassigned,False
,E05,ROX,,Unkn,037-3,2.0040484185417,,Unknown,Unassigned,False
,E06,ROX,,Unkn,037-4,2.30039195343488,,Unknown,Unassigned,False
,E07,ROX,,Unkn,037-5,2.28541726535968,,Unknown,Unassigned,False
,E08,ROX,,Unkn,041-1,0.485374441135082,,Unknown,Unassigned,False
,E09,ROX,,Unkn,041-2,3.99502186116961,,Unknown,Unassigned,False
,E10,ROX,,Unkn,041-3,0.0372301778495057,,Unknown,Unassigned,False
,E11,ROX,,Unkn,041-4,-0.860890407737861,,Unknown,Unassigned,False
,E12,ROX,,Unkn,041-5,-5.4435492945895,,Unknown,Unassigned,False
,F01,ROX,,Unkn,060-1,-0.089513687215458,,Unknown,Unassigned,False
,F02,ROX,,Unkn,060-2,-0.17750124104432,,Unknown,Unassigned,False
,F03,ROX,,Unkn,060-3,4.58793020167068,,Unknown,Unassigned,False
,F04,ROX,,Unkn,060-4,1.15858906045623,,Unknown,Unassigned,False
,F05,ROX,,Unkn,060-5,3.60025245090519,,Unknown,Unassigned,False
,F06,ROX,,Unkn,067-1,3.6449525246946,,Unknown,Unassigned,False
,F07,ROX,,Unkn,067-2,2.07606807992552,,Unknown,Unassigned,False
,F08,ROX,,Unkn,067-3,5.62303839558172,,Unknown,Unassigned,False
,F09,ROX,,Unkn,067-4,3.6473810885399,,Unknown,Unassigned,False
,F10,ROX,,Unkn,067-5,2.06672158513329,,Unknown,Unassigned,False
,F11,ROX,,Unkn,073-1,-1.48531060600772,,Unknown,Unassigned,False
,F12,ROX,,Unkn,073-2,-7.39972002281029,,Unknown,Unassigned,False
,G01,ROX,,Unkn,073-3,-1.08048317414559,,Unknown,Unassigned,False
,G02,ROX,,Unkn,073-4,1.11694022600541,,Unknown,Unassigned,False
,G03,ROX,,Unkn,073-5,1.24437061430544,,Unknown,Unassigned,False
,G04,ROX,,Unkn,124-1,0.300862910936576,,Unknown,Unassigned,False
,G05,ROX,,Unkn,124-2,-0.144728963594753,,Unknown,Unassigned,False
,G06,ROX,,Unkn,124-3,0.689633428784145,,Unknown,Unassigned,False
,G07,ROX,,Unkn,124-4,1.73457125636569,,Unknown,Unassigned,False
,G08,ROX,,Unkn,124-5,0.814184447272237,,Unknown,Unassigned,False
,G09,ROX,,Unkn,129-1,6.05114162708578,,Unknown,Unassigned,False
,G10,ROX,,Unkn,129-2,2.44538050238534,,Unknown,Unassigned,False
,G11,ROX,,Unkn,129-3,0.84771369305945,,Unknown,Unassigned,False
,G12,ROX,,Unkn,129-4,12.4803001378731,,Unknown,Unassigned,False
,H01,ROX,,Unkn,129-5,1.40711497954926,,Unknown,Unassigned,False
,H02,ROX,,Unkn,130-1,3.13216910507981,,Unknown,Unassigned,False
,H03,ROX,,Unkn,130-2,3.60154897111433,,Unknown,Unassigned,False
,H04,ROX,,Unkn,130-3,3.37915393877629,,Unknown,Unassigned,False
,H05,ROX,,Unkn,130-4,2.11466738202062,,Unknown,Unassigned,False
,H06,ROX,,Unkn,130-5,5.86603882723985,,Unknown,Unassigned,False
,H07,ROX,,Unkn,133-1,5.97461519869612,,Unknown,Unassigned,False
,H08,ROX,,Unkn,133-2,1.83999666501741,,Unknown,Unassigned,False
,H09,ROX,,Unkn,133-3,3.81296274150318,,Unknown,Unassigned,False
,H10,ROX,,Unkn,133-4,3.26702212569226,,Unknown,Unassigned,False
,H11,ROX,,Unkn,133-5,-0.869878284437254,,Unknown,Unassigned,False
,H12,ROX,,Unkn,BLANK,2.86563239549032,,Unknown,Unassigned,False
