,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,002-1,446.905774966207,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,002-2,617.209157532616,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,002-3,632.160470769432,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,002-4,642.518505811383,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,002-5,638.656806067077,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,004-1,631.871873960547,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,004-2,537.754455662704,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,004-3,556.659266733336,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,004-4,171.844539151914,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,004-5,245.529935395335,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,005-1,-23.025002635481,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,005-2,43.7536988850663,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,005-3,320.997496732898,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,005-4,407.228664915202,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,005-5,380.961922576707,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,006-1,493.982635804279,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,006-2,596.592973809774,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,006-3,544.414987507108,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,006-4,559.904762165702,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,006-5,436.862899356388,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,012-1,377.054480782914,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,012-2,349.447815615024,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,012-3,326.11577243821,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,012-4,-1.03571061327766,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,012-5,507.809720342347,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,018-1,843.140360378947,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,018-2,837.891511087587,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,018-3,783.839677623043,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,018-4,867.592276692351,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,018-5,807.535976419442,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,019-1,764.623810132616,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,019-2,475.144268740827,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,019-3,411.734705903805,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,019-4,414.203576861267,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,019-5,-31.3904661710112,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,024-1,26.2849392635237,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,024-2,415.770100383874,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,024-3,495.450382491571,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,024-4,449.226800024683,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,024-5,481.228092771478,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,025-1,585.425862940464,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,025-2,592.846120733103,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,025-3,544.280417925141,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,025-4,551.764295873557,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,025-5,711.854712228256,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,031-1,319.293884755966,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,031-2,457.199647082127,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,031-3,86.6541168775561,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,031-4,404.877773335761,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,031-5,669.116646177907,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,037-1,767.771579655929,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,037-2,695.515403408059,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,037-3,808.468392897765,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,037-4,823.041985109102,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,037-5,800.241312489086,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,041-1,675.620585700503,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,041-2,481.190885046659,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,041-3,91.0961446648777,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,041-4,565.488293316157,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,041-5,185.875572385644,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,060-1,372.46185571272,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,060-2,454.645197536129,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,060-3,416.950759576952,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,060-4,469.786068521017,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,060-5,555.129524816539,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,067-1,483.437372296489,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,067-2,477.118064852279,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,067-3,444.737121726391,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,067-4,443.215740780026,,Unknown,Unassigned,False
,F10,SYBR,,Unkn,067-5,373.957723163291,,Unknown,Unassigned,False
,F11,SYBR,,Unkn,073-1,366.261394996739,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,073-2,426.34762186588,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,073-3,325.877043808939,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,073-4,413.685784389962,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,073-5,640.53375251582,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,124-1,596.693296402133,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,124-2,684.164009681483,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,124-3,665.554647326782,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,124-4,702.908356868458,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,124-5,589.583387286749,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,129-1,510.026789725441,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,129-2,306.032927787627,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,129-3,535.782746938285,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,129-4,-15.9670376029124,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,129-5,366.651803290905,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,130-1,424.500222699185,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,130-2,409.505043997689,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,130-3,456.340386870867,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,130-4,443.317640445752,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,130-5,492.048825163656,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,133-1,421.621771648762,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,133-2,327.375665064623,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,133-3,205.501320321446,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,133-4,190.288366746713,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,133-5,445.846718968569,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,BLANK,-1.44851727959222,,Unknown,Unassigned,False
