,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,002-1,002-2,002-3,002-4,002-5,004-1,004-2,004-3,004-4,004-5,005-1,005-2
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,005-3,005-4,005-5,006-1,006-2,006-3,006-4,006-5,012-1,012-2,012-3,012-4
B,Peak 1,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,012-5,018-1,018-2,018-3,018-4,018-5,019-1,019-2,019-3,019-4,019-5,024-1
C,Peak 1,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,024-2,024-3,024-4,024-5,025-1,025-2,025-3,025-4,025-5,031-1,031-2,031-3
D,Peak 1,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,031-4,031-5,037-1,037-2,037-3,037-4,037-5,041-1,041-2,041-3,041-4,041-5
E,Peak 1,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,060-1,060-2,060-3,060-4,060-5,067-1,067-2,067-3,067-4,067-5,073-1,073-2
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,073-3,073-4,073-5,124-1,124-2,124-3,124-4,124-5,129-1,129-2,129-3,129-4
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,129-5,130-1,130-2,130-3,130-4,130-5,133-1,133-2,133-3,133-4,133-5,BLANK
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
