,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,11.1818271673847,-28.2609274799433,13.1655207106824,16.5959162694157,11.6618731688882,-2.20495684688831,-6.49298592802415,-21.1679742280294,-28.9932268025968,27.6094941317097,167.90319713321,256.054096470371,-7.05729551034074,17.8966470617929,13.9294523034646,7.85949646573681,13.7966705350427,8.87122965182425,6.69070999797304,-6.36245998085769,-130.018537043183,21.6258309407317,-27.9943495006464,104.833626383921,-11.4951634431472,-13.120643861896,-13.4146168325269,-51.497180810637,-10.0352892881529,-21.8294254171178,-8.80053179227434,-8.25343310742983,-35.5905070663698,25.0387991874372,268.717963432347,174.749861290655,-22.4938791346076,-10.1094457315976,-1.36920373758994,-0.691998540116401,0.097511108773233,-2.34197819065321,4.59809435752641,-2.43980511917289,-128.968990964975,-14.0545355487957,56.8550965966119,231.353465142127,-28.8737717380577,-53.3967901957162,-31.2414282655473,-20.2873136726016,-24.0530152998845,-35.8401679070776,-51.1664118662316,-83.4655861855363,-52.8144940588722,-13.8759987353169,13.9722186446338,109.096376676693,-7.80776802689752,4.06385669678821,-1.35959831304399,-2.51864574449564,-10.3771558343515,1.76723310645411,-3.38383301892873,-11.9672374500033,-27.2546079074991,2.83322888638304,-26.7475784663129,64.8897816918943,-51.8158119704826,-53.9145323955581,-92.3894390028872,-135.568821625223,-21.478654596775,-87.5923834145224,-32.6970495735054,-58.1889279308348,-26.4124487554,-1.36612956621047,-84.7289447831486,145.44493656659,-18.1433710551723,-3.72003731552741,2.62977244741751,-3.11478333951254,-0.00687397919182331,0.49386176093094,-20.0802817793829,-6.56199525566035,-62.2389939818327,-13.081142981684,-32.7931378333128,-13.5393296113712
,2,7.7425518852433,-13.363164913123,15.7826319815526,9.46862676717728,13.1504469418337,9.13739071063355,-4.68931444848113,-15.1093029216822,-7.0553380590768,19.9541829706072,156.283492545981,207.178761801913,6.71520137018661,6.0515939614902,9.37463015152116,6.46208623489247,5.58075341001495,7.24002551531612,6.31447805200878,-0.633738200320749,-70.0132506665032,15.2482312824409,13.1074108882726,77.4048689503857,-13.1854745181208,-2.13238665319295,6.42240474926848,-25.498614851786,12.2887573093963,-5.92781727760803,-1.68951058558741,3.40629868296264,-17.5877441991443,27.2961314792688,217.390390720688,135.346077645757,5.40014139414825,2.89366317536087,-0.389010301345934,9.91834983046192,2.39963399416411,2.72130951560712,8.22975957018707,2.64164986207379,-50.0432925369864,5.56226869600096,42.0040369039093,201.55869620267,-17.8223774930666,-23.7796069374526,-1.22546274026763,12.0388077178623,6.98855179962266,2.5050967486427,-6.01258637454248,-12.4184513509754,-11.8969915530433,-9.62861696715754,17.175679376639,85.2705093988957,0.999093367022397,1.74154978826573,1.67796804789805,3.04597932497472,7.86238132564904,5.47850414760978,-1.53363560332355,-4.92051376994277,-6.13437951481001,9.32110355476016,-10.6601884867559,46.1462912277152,-16.438410525478,-22.6751018364289,-63.5226365571907,-58.7026870758523,1.33218813270196,-4.79887919037401,-9.32118084303147,-15.7363849259909,-8.48665771481001,6.43717557155014,-44.430262694691,116.98658204023,-8.56542111304452,1.92398923200972,0.605830306540611,-2.44137325646125,0.627330108405658,0.271533031838317,-11.6475921022002,-2.32865953040937,-1.26461339068555,1.02558238705751,-8.00324080262953,6.69153747495102
,3,2.38400789764046,1.90951090859153,1.59917515843244,6.86776884510391,1.92499954523419,-1.2272791010937,-3.47291787924405,-6.27260367033114,-7.05184349055116,9.22272154562643,96.193222209135,150.814802461296,1.96478676036168,0.686565231013446,2.34933376679146,2.92699981144278,6.90062187011426,3.8822907262238,4.24833310965823,1.13324472298655,-38.7851824138306,6.60201379739738,4.10360207856274,58.4837870844167,-4.72080023886292,-3.56430508475114,-0.0681650314991202,0.827424293011973,0.288371127632217,-1.07777979586399,-8.76641166948775,2.76423552262168,-9.27444913037925,6.98902665465312,176.026175845237,96.7051753513106,2.49015933672126,1.79918940676635,1.72542856933114,4.17415573191738,2.82731606108837,2.15170208052223,0.363209590527276,2.0147496133427,-8.03334723922671,4.90301131854085,30.0601213814416,161.388459231647,-5.78370170544486,-1.43696469678389,2.07473672803917,4.21964849674396,1.58395103397288,0.325871865242789,-2.75603608479514,-8.48756666532654,-10.4660659136248,-4.78264872284217,0.451479946419113,63.4739347715899,0.694647727234042,1.96374461574624,1.71907809215236,1.00872994356087,4.23426393423324,3.37875860436407,-0.131781937666346,0.0750800309901933,-3.00399476912844,5.22377915308289,-8.6968349954268,29.0238704642056,0.0754073232478731,-9.94148467350806,-3.61175873324009,-18.2447793037504,1.90582264434124,-3.9708562108508,-4.79236359927972,-3.3848880423534,1.60365514469459,1.93409915695111,-7.87520947840676,103.419547491638,0.0899473544159264,1.52192422694407,0.630728666704272,1.46986339754858,1.61243550132804,-1.04445689561271,-2.21271058270486,-2.60118780906305,-0.373845983211595,3.90379189327496,-2.08052498733423,9.79441863132024
,4,-3.14250815911601,-4.39293096852725,-6.95530850473051,-0.65477733604348,-8.26059877374882,-2.13120301464551,-7.67486309122114,-2.29307561532869,-0.0333100749080586,6.59391592961128,46.0397576577516,104.840908239274,-2.24681313703331,1.59324224610236,2.62123848120973,3.46048913384493,0.957418374201097,3.10163588225259,2.27871878530141,5.02975595373482,-24.5120938495752,-1.98468852469841,-10.0247106581055,28.4901768745453,-3.45959979485178,-2.19147219353545,-7.22824692107724,-4.55295592356742,-1.55084628426812,-6.26299434699786,-0.735122651089114,-4.84521489835151,-4.78800454305201,2.37679323140264,133.622534563153,68.7814755689947,0.0615367986993078,-0.950125754125111,3.39318907854977,3.70702936233693,2.73440270294259,0.792727859751722,-0.0958964039064085,1.71008141455377,0.104027418131864,-2.36194929976136,13.4464860637586,135.215675441731,-3.30949863173191,-3.40286568345255,-4.60997181272796,-2.31132832390813,-0.9271110006448,-5.32078407202152,-8.82906494559666,-3.2421515872843,-4.84923950738357,1.47208362865922,0.535515720320745,48.0600481121337,0.969493047915421,3.12899114970242,0.465567410635686,2.83278433175383,0.479806091954742,-0.685160910306877,1.89538867493047,1.39445608469441,-4.80384076998962,-0.181948718809053,1.78497274099573,18.4076784393665,-2.67499568969333,12.7004160280817,-7.99450013903788,-5.38974586871427,-4.30482842896026,0.517671971684649,-1.92173429690092,-0.964557484900524,-3.96148832830022,-1.64328297934935,3.92428668141747,79.2126583859399,1.58935798389757,-0.217122436732097,2.43860480982403,-0.635115329052041,1.30157565604804,5.73307249414347,5.77381724597626,2.8417498288386,-0.663872382040154,-0.369903050125686,-0.671878167021532,8.6773780413173
,5,-7.80594799104392,-8.77785008452656,-2.02149604658644,-9.35760171071024,-9.11024330754253,-7.84658858527519,-2.73635249064364,-1.18875065010388,8.59400331433835,0.810017631387836,145.013599324655,51.1090189521938,1.80412808914889,1.00025584629611,-2.04915927086358,-1.18821839494103,-0.0720580589468227,0.579445591697095,2.86532208900235,-1.50819234777873,-5.28407534069993,4.02784473254496,-15.9025123280912,-6.87833294279335,-2.4234674714221,-7.15846419807667,-5.62114344168367,-5.4260453826364,-8.32144603860888,-5.68145704232074,-2.14448610015916,-4.19065619738512,10.8808447407964,-3.97043448506201,96.7798145923634,42.6132786873595,0.397389680490051,-1.39644339954066,1.04279402933662,-2.78115079547979,-0.633000897554666,0.23654880157801,2.42512883776135,-3.64298165584751,4.10862569526807,-1.77508800025043,-10.0837092093761,103.02403126991,-1.27453470139153,-10.5433126459693,-13.2057695855556,-6.62679073670552,-10.4390088614728,-7.20077789785228,-8.57222632131152,-1.07710687838789,-3.52942563655824,4.78156935662037,-2.82556942599285,26.3079630739021,0.666249024444369,-1.2076351906021,1.85309623547573,-2.47325558563125,-0.581562830352595,-2.73226397350163,-2.18893209783482,2.10061841604465,2.07259664718822,-4.18515767434019,6.50883200373301,3.94020667003224,-0.410718268900382,6.16849933423555,-4.40863103176707,-2.89497364625413,-5.25915443730855,-5.82870353010094,-5.5931440379145,-2.93873931624375,-1.61250604048837,0.0343039798058271,-1.5348671947404,52.3739771969504,-3.20425679646996,-2.91611661814477,1.86920223226389,-2.68963726011862,-0.495790294806739,1.09023847313028,2.1291921230486,4.13241210855813,-1.19525707741195,-3.08447215071556,-3.14171553348342,7.90281975063908
,6,-7.65268381868418,-12.2887879305167,-11.0417173393748,-5.0545179245928,-4.2397928496689,-0.373434704977626,-2.7158605503796,-1.99040455843351,9.09208529934222,-8.83794467598409,103.992982003928,9.99255598847412,0.980934746075945,-3.57091153719421,-0.455674798905875,-1.27608841931351,-3.47632608257754,-0.676759826109446,-3.08446423866235,-3.785452891354,18.1384395459786,0.309133878618468,-40.3774273163403,-23.4110493956764,-2.34333023102636,-12.8455835799832,-7.6451494441485,-12.8367719451071,-15.6547977545579,-10.9648127490382,-4.66256420464379,-6.29042855578291,10.1663286062444,-2.86764618933421,62.2154991117004,15.4038674757694,-2.21081208223768,0.354610842328384,-2.28512889445847,-4.35092543613291,-0.628542516406469,-0.858004443130085,1.85393774062686,-0.549662651828385,-16.2591771753446,-2.57268660861291,-18.3750317517438,66.2866884269415,-0.422598676740108,-6.56504305065346,-9.96627183995952,-10.4844510494063,-12.1343367205432,-13.5457443469359,-4.78380406896258,-2.07242358783878,2.34202410688522,2.57476276920715,-4.07352409160467,9.52557155334716,-1.08348858513091,-1.96711883615399,-3.21396527704337,-2.0071423146187,-0.0216483950139263,-0.504637110480871,0.395510772611942,-1.65834060791394,-5.4967924794023,-1.65359902219689,2.5490339718117,-5.97489983676542,3.83619175280637,4.41913174541332,1.43403030220225,-1.28597234012932,-10.8646839991493,-4.21097098484142,-7.70846372181404,-2.14512456257853,-3.9496512291289,-0.00412764134580357,0.49938411734729,30.7582942886752,3.54889169624948,2.67787219372485,-2.33409760143059,-0.938871618358462,-1.59501138680025,-1.49429666128526,-6.07642189447688,-0.770923438359659,3.87237326052582,0.184719370059156,-8.13776586480708,-3.66057096670374
,7,-4.73236023747404,-1.61333886608054,-1.66617835599027,-13.2566264064376,-7.54933946523715,-8.805473027066,-3.85620176137218,-1.67135518968871,3.21797295999704,-3.46394848696036,54.8378329039656,-27.4474645814685,1.77919735140858,-3.48212039587588,-2.83885905785019,-2.329073201965,-2.81987547425615,-3.4573322091469,-4.19730902496804,-0.928698704913131,27.0946482158397,-5.36022600188835,26.0750338105631,-46.6338146993126,-8.50479646116992,-11.3571543428839,-13.3090382312289,-11.9792277612423,-11.1893586022347,-8.72344496470123,-7.7618296895962,-1.3592562334934,14.7330594639275,-0.148692156074048,27.0031360689195,-11.8520239285017,-0.870764283444714,-1.04892597941989,-2.32685196101329,-4.27984341524234,-4.24079719414431,-1.71597168903281,-1.91697506031232,0.349354788584151,-14.3960189203567,-2.25183095615057,-22.6828068815366,42.3288711321497,1.42225895563706,-6.27423539465508,-13.0591249473118,-13.13623132779,-11.2976444591286,-13.0913393161036,-8.84333322685598,0.0170365683429736,-0.705414853728598,-1.92517241881433,-11.3558728998601,-2.15718433796746,-1.92827190398975,-2.21266794513213,0.247662477288941,-1.19081663443649,-3.39947460241046,1.51459335074333,1.32394940122958,-2.79671552840364,-4.16650322230043,-2.01134865111044,3.42673070958881,-17.0169773870562,-0.399774599700777,-0.569346578108707,-3.51666889762919,-3.94068186765753,-10.730021046013,-7.77629731397928,-7.13213981135186,-6.96889903083866,-8.79048839107782,0.7447410715572,-2.2816292819316,6.65605546426332,-0.44051558923411,0.493962252077836,-0.509108806535551,2.61886605650125,2.0514843972669,0.924138923578084,0.535663078951529,-1.55550650878058,0.449163985342693,-3.02061806549909,-6.50672036923743,-0.692588287856324
,8,-0.427389512959053,-5.61816648494687,-0.912320687489682,-11.6126447691581,-7.28111349540995,-12.0949847279171,-6.06342317073722,-9.53954409946118,3.85487024029271,-5.57868112497135,21.7579605596043,-76.8694369428936,-3.59726600201702,-2.1099178641548,-3.11763092477759,-4.00557308163434,-4.05250109604776,-3.38034661786787,-4.3528002334333,-1.65292851726872,5.89066704213474,-6.05773169377062,2.15574222957503,36.4995285257733,-3.91284485508777,-4.69265227496544,-13.3631428886833,-6.13186526412301,-11.6196052693203,-3.7122063890879,-7.10693703718835,-3.06449186965574,1.85648141029696,-5.21540007586145,12.8306938145674,-38.5691689885734,-2.977900353736,-1.87639348991388,-7.38528831654412,-1.97514822479843,-5.11873386217985,-3.98152937467057,-1.45501517062939,-1.78178061563904,-6.93305188048635,-3.15398080816749,-33.5673209236356,18.5830391360264,-7.65487506786712,-7.04420337574084,-7.55673306866402,-5.95428414426169,-6.75554700956673,-2.70228928210236,-7.11539990913434,-6.19453983900803,-2.26069743627477,5.36009488895843,-4.5654529221697,-23.9947887164376,-0.176967658112972,-0.258253132080881,-2.7376085609144,1.62811587691931,-2.54055147395957,-3.81111755038773,-3.1594340107772,-3.69504894428701,-2.32784153457715,-3.98254624494393,-1.73301363695509,-25.9408663360937,-5.48142776937129,-9.04714833569733,-10.3111402030813,-9.60555424116637,-6.50652417479068,-11.1538089147921,-6.49685611107316,1.16016616719526,-1.28740329506491,-2.57284520685334,-10.3191222760765,-10.8128428032892,-2.96492647579998,1.64248920212185,-2.51415392112449,1.50443960954863,-4.53807865570025,-4.89117936650746,-3.74707723404936,-1.69466299952273,-2.71641296050439,-0.638882635755635,-0.759873680925466,-5.21663489264165
,9,-2.78191071391348,-6.01995661122692,-4.11655648896976,-8.7733016521006,-6.96738401961784,-12.5890907186154,-5.34267780521168,-5.49111474870688,-6.60784191647554,-6.47789731343164,-19.5560906879086,5.49755327421144,-3.35794609370168,-1.08196645103226,-5.87861694089634,-3.27833072023714,-7.56678100051613,-6.64265562535684,-2.47991366811812,-0.056937478472264,-0.0428825281260288,-8.31072065090075,9.12544939241161,22.2784581559549,-3.66944706463119,-13.1867259726037,-13.1477309059228,-7.1810594037488,-10.0652261722826,-3.86901924554195,-10.118088827945,-5.06266369089735,6.64898915855974,-6.4832289010933,-30.6710666144404,-71.0481718124825,-2.45236244250145,0.100603050607333,-3.46866086709269,0.50658225754978,-3.47624704862483,-2.72521844967287,-1.60884634618014,-2.27283494352741,-3.83970742214751,0.894835112505461,-46.4701674895068,-11.0016068370519,-3.78571530036197,-0.432431985692347,-5.51849819891959,-9.56452522655036,-11.2680870401059,-8.71073389354433,-9.88600175734291,-4.73601975182328,-8.74708809894673,0.435676423546283,-4.58280050823259,-36.7140708563006,-2.35356379175164,-0.911872424841931,-2.49787786319848,0.916098352230165,-5.11921001890596,-0.783170129602695,-2.52739050076843,-0.194749520426285,-2.57496096957584,-3.24063183795715,-5.64357233304554,-39.4592056136094,0.900329541680549,-11.1719236652807,-2.36465273524755,-5.06458063983519,-4.64543866296845,-7.27602390635457,-4.71214379057801,-3.45798390555183,1.56716829006064,-0.0800520770967523,-3.34185879981987,-35.2179991878802,2.20488992512492,-2.8760426069407,-5.30358769031182,-1.29180692732143,-1.82707058417645,-6.28229164718687,-1.3904201619639,2.31906028228968,1.06669606166906,2.37623456636493,-0.900193032812695,-15.2022485707234
,10,-1.48719801369998,0.192457815778198,-2.24322843291611,-6.76405522884897,0.690154317875113,9.26795879461588,-3.54997119049403,-0.454957006588756,-0.518063306862587,-7.11483767587742,-56.7765129872796,7.23354299065068,1.00621870975965,3.91767572754134,-0.489784126338236,-3.94627485860656,-3.4054096191926,-4.37269342684112,-5.75102944429455,-2.14265962893478,-4.54313384105626,-2.95998225328231,6.2287249655019,-1.29596203189885,-3.05239527743151,-7.15725745955797,-1.85953328464802,-2.91805176486105,-5.81927493636749,-3.95192197462347,0.505223927706538,2.7123232687477,-6.04440932666739,-2.51200746617633,11.6233045153272,59.2256184676498,-3.13290857331276,1.45486698807599,0.783719981770901,0.342157022229458,2.90522228708141,0.858632591650348,1.89738969692371,1.54902071879087,2.29420773146285,3.12185427710256,-7.68335905203776,-37.4060219879561,-4.57432070440109,3.60823823551164,0.744504654856428,-5.25460793702769,-5.60085972568368,0.754425898028785,-2.04550265905345,-5.52582672984454,-8.55050623262923,0.540165545050968,-4.93887679097907,-46.8988745610518,2.00113988708335,-2.36096030318868,2.33860410517673,0.503442776388511,-0.440938283210471,3.62266951378524,3.31064134644885,3.85670932057837,3.77924046250473,-0.885153829515275,-11.1846696272783,-49.2473228668036,-4.20733636198202,-16.203344768508,-0.849701479034138,-1.17014723930242,2.66446513424125,-6.89296599895943,-2.49424077393178,-1.79326589968468,-1.79316687903611,2.53293663214527,-0.28100535710746,-58.8633992065311,1.98507428161611,1.77945184578402,-1.29531405956823,-0.97262924564393,-0.676684287390799,-2.5362046982641,4.47841943694993,1.3724178348275,-1.27245544886819,-2.03645293579984,5.49526098570323,-10.790922336058
