,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,002-1,002-2,002-3,002-4,002-5,004-1,004-2,004-3,004-4,004-5,005-1,005-2
A,Cq,14.425037420347,13.777863264149,14.0644619006749,14.0082725626562,13.9209148253697,13.5495391531147,14.2971866330894,14.1088817868975,15.4978833780261,16.1844623739496,21.8223753619943,37.0401399260669
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,005-3,005-4,005-5,006-1,006-2,006-3,006-4,006-5,012-1,012-2,012-3,012-4
B,Cq,13.8109423955475,13.2763770257009,13.3469423626918,14.4233651140542,14.4531621845357,14.4895410694348,14.5325072795383,14.9668669718385,15.373286000105,16.4062151856632,19.9035674495027,NaN
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,012-5,018-1,018-2,018-3,018-4,018-5,019-1,019-2,019-3,019-4,019-5,024-1
C,Cq,14.3907666353451,13.9239844588674,14.0156524330768,14.3298765870273,13.9936097583082,13.985100559129,14.0741791290638,14.8385876800007,14.9314621089262,15.6323430481408,26.5933818049341,NaN
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,024-2,024-3,024-4,024-5,025-1,025-2,025-3,025-4,025-5,031-1,031-2,031-3
D,Cq,13.8563076737239,13.479306248536,13.5548171580934,13.8663379580451,14.259323405866,14.2581815822634,14.3962364359689,14.7925930219674,14.1705981945858,13.0546479287529,14.2034244376334,36.9023144862614
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,031-4,031-5,037-1,037-2,037-3,037-4,037-5,041-1,041-2,041-3,041-4,041-5
E,Cq,12.9957115197542,12.2821979986178,13.4226792639975,13.8892801669669,13.6328416515471,13.3460175247023,13.4306518272907,14.0436507865936,14.8063958273233,37.7487036503441,14.2113687474924,29.8812380106019
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,060-1,060-2,060-3,060-4,060-5,067-1,067-2,067-3,067-4,067-5,073-1,073-2
F,Cq,14.170907274596,14.2179437885635,14.2586666559846,14.0118666517996,13.9694510911396,13.3533469138599,13.3563950438324,13.8441783881976,13.3985330673362,13.9157376073082,14.1675048097902,19.7348483595643
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,073-3,073-4,073-5,124-1,124-2,124-3,124-4,124-5,129-1,129-2,129-3,129-4
G,Cq,14.3769918473475,14.1766653829952,13.3586374538231,13.8619169370488,13.5022754426364,13.9196873007969,13.988210220639,14.1836787775886,14.9984366797368,15.2567216854921,14.5322525996157,34.9816948655083
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,129-5,130-1,130-2,130-3,130-4,130-5,133-1,133-2,133-3,133-4,133-5,BLANK
H,Cq,14.8689967734585,14.5730588997009,14.8142383204993,14.5555450295188,14.6845657342483,14.547661786061,13.147711108242,13.5910417820223,14.5568855651669,14.5717645617759,13.1862285973091,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
