,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,002-1,NaN,NaN
,A02,ROX,,Unkn,002-2,NaN,NaN
,A03,ROX,,Unkn,002-3,NaN,NaN
,A04,ROX,,Unkn,002-4,NaN,NaN
,A05,ROX,,Unkn,002-5,NaN,NaN
,A06,ROX,,Unkn,004-1,NaN,NaN
,A07,ROX,,Unkn,004-2,NaN,NaN
,A08,ROX,,Unkn,004-3,NaN,NaN
,A09,ROX,,Unkn,004-4,NaN,NaN
,A10,ROX,,Unkn,004-5,NaN,NaN
,A11,ROX,,Unkn,005-1,NaN,NaN
,A12,ROX,,Unkn,005-2,NaN,NaN
,B01,ROX,,Unkn,005-3,NaN,NaN
,B02,ROX,,Unkn,005-4,NaN,NaN
,B03,ROX,,Unkn,005-5,NaN,NaN
,B04,ROX,,Unkn,006-1,NaN,NaN
,B05,ROX,,Unkn,006-2,NaN,NaN
,B06,ROX,,Unkn,006-3,NaN,NaN
,B07,ROX,,Unkn,006-4,NaN,NaN
,B08,ROX,,Unkn,006-5,NaN,NaN
,B09,ROX,,Unkn,012-1,NaN,NaN
,B10,ROX,,Unkn,012-2,NaN,NaN
,B11,ROX,,Unkn,012-3,NaN,NaN
,B12,ROX,,Unkn,012-4,NaN,NaN
,C01,ROX,,Unkn,012-5,NaN,NaN
,C02,ROX,,Unkn,018-1,NaN,NaN
,C03,ROX,,Unkn,018-2,NaN,NaN
,C04,ROX,,Unkn,018-3,NaN,NaN
,C05,ROX,,Unkn,018-4,NaN,NaN
,C06,ROX,,Unkn,018-5,NaN,NaN
,C07,ROX,,Unkn,019-1,NaN,NaN
,C08,ROX,,Unkn,019-2,NaN,NaN
,C09,ROX,,Unkn,019-3,NaN,NaN
,C10,ROX,,Unkn,019-4,NaN,NaN
,C11,ROX,,Unkn,019-5,NaN,NaN
,C12,ROX,,Unkn,024-1,NaN,NaN
,D01,ROX,,Unkn,024-2,NaN,NaN
,D02,ROX,,Unkn,024-3,NaN,NaN
,D03,ROX,,Unkn,024-4,NaN,NaN
,D04,ROX,,Unkn,024-5,NaN,NaN
,D05,ROX,,Unkn,025-1,NaN,NaN
,D06,ROX,,Unkn,025-2,NaN,NaN
,D07,ROX,,Unkn,025-3,NaN,NaN
,D08,ROX,,Unkn,025-4,NaN,NaN
,D09,ROX,,Unkn,025-5,NaN,NaN
,D10,ROX,,Unkn,031-1,NaN,NaN
,D11,ROX,,Unkn,031-2,NaN,NaN
,D12,ROX,,Unkn,031-3,NaN,NaN
,E01,ROX,,Unkn,031-4,NaN,NaN
,E02,ROX,,Unkn,031-5,NaN,NaN
,E03,ROX,,Unkn,037-1,NaN,NaN
,E04,ROX,,Unkn,037-2,NaN,NaN
,E05,ROX,,Unkn,037-3,NaN,NaN
,E06,ROX,,Unkn,037-4,NaN,NaN
,E07,ROX,,Unkn,037-5,NaN,NaN
,E08,ROX,,Unkn,041-1,NaN,NaN
,E09,ROX,,Unkn,041-2,NaN,NaN
,E10,ROX,,Unkn,041-3,NaN,NaN
,E11,ROX,,Unkn,041-4,NaN,NaN
,E12,ROX,,Unkn,041-5,NaN,NaN
,F01,ROX,,Unkn,060-1,NaN,NaN
,F02,ROX,,Unkn,060-2,NaN,NaN
,F03,ROX,,Unkn,060-3,NaN,NaN
,F04,ROX,,Unkn,060-4,NaN,NaN
,F05,ROX,,Unkn,060-5,NaN,NaN
,F06,ROX,,Unkn,067-1,NaN,NaN
,F07,ROX,,Unkn,067-2,NaN,NaN
,F08,ROX,,Unkn,067-3,NaN,NaN
,F09,ROX,,Unkn,067-4,NaN,NaN
,F10,ROX,,Unkn,067-5,NaN,NaN
,F11,ROX,,Unkn,073-1,NaN,NaN
,F12,ROX,,Unkn,073-2,NaN,NaN
,G01,ROX,,Unkn,073-3,NaN,NaN
,G02,ROX,,Unkn,073-4,NaN,NaN
,G03,ROX,,Unkn,073-5,NaN,NaN
,G04,ROX,,Unkn,124-1,NaN,NaN
,G05,ROX,,Unkn,124-2,NaN,NaN
,G06,ROX,,Unkn,124-3,NaN,NaN
,G07,ROX,,Unkn,124-4,NaN,NaN
,G08,ROX,,Unkn,124-5,NaN,NaN
,G09,ROX,,Unkn,129-1,NaN,NaN
,G10,ROX,,Unkn,129-2,NaN,NaN
,G11,ROX,,Unkn,129-3,NaN,NaN
,G12,ROX,,Unkn,129-4,NaN,NaN
,H01,ROX,,Unkn,129-5,NaN,NaN
,H02,ROX,,Unkn,130-1,NaN,NaN
,H03,ROX,,Unkn,130-2,NaN,NaN
