,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A12,B1,B2,B3,B4,B5,B6,B7,B8,B12,C1,C2,C3,C4,C5,C6,C7,C8,C12,D1,D2,D3,D4,D5,D6,D7,D8,D12,E1,E2,E3,E4,E5,E6,E7,E8,E12,F1,F2,F3,F4,F5,F6,F7,F8,F12,G1,G2,G3,G4,G5,G6,G7,G8,G12,H1,H2,H3,H4,H5,H6,H7,H8,H12
,1,-45.9727861863626,-83.0173313600021,38.7879953493116,133.144805118517,134.248351979661,39.5879539065127,19.5788200890306,138.464260041956,45.3212997337596,-8.77881719987136,-3.49801198903924,6.94633763035608,-21.1127723509085,-7.62550093823984,3.05680766646674,13.047252492308,-19.6047932681199,212.065950214314,-1.46368370928258,-91.7757883602021,-165.639104069526,-102.177550079653,-14.2800706279495,0.844223320641049,-48.1418228346006,-14.9522820602956,205.52643191173,-7.0868585886974,-10.639137875306,-1.62887791663343,7.32623463392247,-16.1093371663092,-0.585478349324603,0.162553259013293,-1.32267315113086,242.503973006062,-51.3523324437142,-83.646442281974,-16.0040198204201,-2.84211146498228,-10.5047462529365,-83.7187875142481,10.6982657478238,-2.83772502125794,226.464186005382,79.4266509036906,13.9531498607071,5.93150533620565,15.4740627008096,6.83254989686566,9.20172145114384,-3.61298256385953,19.9296576883239,248.871962220871,62.046740195728,-24.0957805065468,-4.41226842543801,-43.3197671591083,-4.86482437287395,-18.779448326261,1.22178277707189,-6.2536918378114,43.8151065216798,101.637845134863,-34.2256845124225,11.7143752902698,0.926697454081022,14.1758889738007,20.8420886351946,40.1785703041924,196.846223700457,-11.683896023942
,2,-41.4483241055746,-88.8659246599441,-4.35574794913191,84.1068516761961,115.49555353367,19.6310390267599,3.60052591058138,124.107971924973,15.9203740180014,-3.14957593400914,-6.90802721291675,6.83351931820243,-8.73574378030071,-5.32504491845839,-2.97244223271173,9.92381027671809,5.01677262541898,139.117424904428,3.23403431669567,-39.7292805798061,-81.7701404698018,-13.7483691183825,-8.58794381618782,7.30484910766427,-44.1679450653842,-12.042758252604,144.434730012432,-5.13287830218269,7.92740295154226,4.97244370347198,9.96782073381337,-4.03876699838156,1.80002716871832,7.1916701668174,5.38792596497524,205.12805779442,-48.3402181493448,-29.3773039211878,-4.9011874376879,10.6013105896027,-1.98298928596796,-7.46811632428307,22.3919964694855,7.77507774877495,193.699098913128,73.6179921656699,10.6410553904898,5.15478623495483,10.2057501680579,13.9361558721562,8.01089045833487,2.20964882890712,9.65787803259127,210.985489960081,91.0019280723091,-14.9802505038247,6.36996659940678,-34.6895537844598,2.34291614666563,-10.5602474979569,1.03016836661209,8.12447427589041,93.133250175631,91.1951178728418,-5.31078494381745,6.73357270395627,3.92782650607023,10.2948697217489,17.9889312377854,28.6369759648733,165.025143333209,7.40065150385772
,3,-31.2853932580206,-23.7335857905032,-18.6177070577323,22.2326122687159,64.5939197447669,19.6003978217873,17.4294382191592,78.6738752276669,4.38754005889632,1.29448001089986,3.3518255925751,0.472209488143562,2.39452242152083,4.36297504144113,1.77831852251893,7.968987317754,2.67239211976585,82.535531663757,-1.02204112122899,-8.81921928228667,-54.1502679761679,-5.54598924511811,-10.0328088989268,-4.54436398789039,-0.7283866355192,-0.690680811879247,125.405701124787,-1.00455351360642,5.28102965480912,1.9046906205499,1.50779089077059,0.726952642512515,-0.846701561406007,2.73683226318872,3.37932052283713,162.047527506903,-13.2480652076465,-17.4366120143723,0.403460621690556,5.17582365286853,-2.19554373948858,-3.92480740688279,7.06805323930894,1.52390013634249,137.484834628503,67.0587664589302,1.92134662228,2.41032156466827,5.56223928053805,3.62878126129999,7.90247898493999,4.78247709443031,5.68990698065409,181.786809970439,108.849936745045,-20.4843040014925,7.26218803992606,1.89426987709885,-1.6029052445715,-23.5673540153502,2.13379075170951,2.16807069911465,98.3144213490041,79.2355368470221,2.24738605129278,3.87632200557573,2.01965355783341,7.78638729802697,12.2268522195809,18.9012996504966,140.203108205338,14.3542382410437
,4,-13.4340082138378,-13.3112115671097,-0.0560459075572908,-2.43346522843831,3.37285288859584,17.933896857744,20.0951179310123,48.9929923001623,-1.32317016341995,-1.35528482830432,-0.492158527984429,3.29821810198428,1.34227509556194,3.47892987611795,-0.554937268722824,2.4266568564135,-0.990159669283003,62.8494936178395,-0.557931556358653,-1.81096756048646,-18.2290669819899,-1.02447007432556,-3.59964487277102,-6.28117957365839,-3.82299700632529,1.71057724651109,73.8140923580281,2.17622291715998,1.03028201130428,1.65705090805659,2.44655531538592,1.09150062813069,3.64732091220321,-0.5479905118641,0.817574453341877,162.87737788337,-1.81621878015267,5.32348537167536,-8.16640071801476,-10.2077507078025,-9.12840822961289,-7.25329400809596,-5.81215622219952,-4.12106785934429,101.424119548679,69.6737820709172,3.4465019846516,-0.0734125938047328,0.437661482644671,1.1798619037163,-1.43094076221496,-0.991061837194593,0.51968429200133,158.104109914468,85.4347856663771,12.4413960666748,2.16179029661953,-1.29372131921127,-4.42227745583523,-20.726297434298,-1.35762045761976,-2.92131442879827,77.0624982604277,60.3179577779365,0.721545889438403,-1.23774179182874,-0.798291928461822,-0.365062379194114,2.37749004182842,8.21356372075525,112.759263058641,2.29374155450887
,5,-8.02868454241661,-3.68620299588747,10.1509259949416,-12.3363152794627,-27.3892143555308,-18.4207630381661,-1.98176999671477,48.5127289252341,-13.46357405154,2.47157268484079,0.239352667778803,-2.04827098015903,-3.12549610032374,-1.26117526131384,-1.2393623873736,-2.8751397865226,-3.61233700888079,22.6136670893407,-1.63338609789707,-1.18434232397794,-10.9285867617846,1.16156783633869,1.78002348266364,-1.95028637981477,-3.07301101914072,-11.3462732933049,34.163838474045,-1.22552223530147,-1.68862366031453,0.834145876385264,0.17391840824439,0.571435446167925,0.782957252526103,-2.54531107565799,-2.50760099024092,112.788447474516,-1.32951454102613,0.770062842948846,-12.655620449641,-12.4367056816905,-9.58231070696638,-10.5378898865097,-8.94555698904605,-14.3070655063948,73.1243961147193,57.7806035275789,0.726351206798881,-0.235595402109993,0.877625563418405,-2.63697116121512,2.67291371902684,-1.45209294698998,1.77488965505972,141.946454720641,64.7838647815074,10.8448793755042,-3.84494534774149,0.966083926341071,-6.85843028985846,29.0836611199397,-8.24772115020323,-8.96103391314455,44.1511501723953,48.1717343686942,2.06100128425351,-3.02336895862891,5.17022219377532,-5.55297683167737,-1.42385411454916,-0.989979987939023,87.3656679178212,-4.06091176924156
,6,1.74263766551576,4.51688551217421,17.2023841489327,-2.13399492776534,-34.5594060465683,-47.030848577635,-26.3600756183855,13.7093593743457,-23.5695668274229,-1.91720795548235,-1.82828794224361,-0.318298760390007,-0.239002611734577,-0.46558319313408,5.11633407916906,-4.51463951457345,-5.23606563049634,-9.49345242090067,-7.06730552637191,-6.67056868555665,-0.758849071974055,-4.33926523852733,-2.06607273260306,-2.0770610990221,-5.80533916748118,-10.4316478402588,-6.60168202768637,2.26119286938047,-2.29223527293061,1.79229775463682,-1.65902087395898,0.346296580839407,0.793581637578427,2.48917436287593,-0.337672898305755,76.4943148954021,4.23757840232383,-0.0803210808844597,-3.92007668435826,-10.9068076385984,-11.0076931537646,-11.158459165048,-19.5653795899175,-13.2104912648633,38.6358426084171,36.6058662361434,-2.71399785958511,0.332658455801266,-2.35442645153034,-4.72709424158256,-2.95370403317474,-4.03235174951942,-3.97672883501718,115.968678947005,30.6246095248025,6.04170244154557,1.96704424193422,2.12452246756857,-5.40184839161384,18.1109333701565,-5.18002893226321,-7.09957521773003,21.2304303123901,31.6023016166396,-0.446320500368984,1.20355361679549,-0.636793360216416,-0.563488084663732,-5.92343024603679,1.07946064980251,56.5631253883453,-0.506246466340144
,7,5.83736187803925,1.89422729477474,18.0399705891655,4.613709552003,-30.06406104707,-47.8780393184102,2.9497235499316,4.93138394623384,17.9184285222495,-1.95004271702146,-2.57300806496869,-0.845386647932628,-0.626970225093828,-2.75823213879585,-1.27751032109973,-5.43636177887265,-9.9377768430877,-45.8703107907245,-5.04180852825539,-3.96301061012537,4.72870579341816,-11.2829188583482,-4.55483457975288,-2.3967081984656,-2.29596737758811,-10.2039837649309,-29.6008061752818,2.43739280162254,-0.353096823736905,-4.17380345612673,0.190827878368509,-1.79498548897391,-0.0985538008017102,0.355395333054275,-1.15918530148292,35.3298201042576,8.97132954191011,-3.79528124018043,-7.9089584068538,-13.0805102753297,-12.3085955979163,-15.7741550078686,-15.4471863450794,-10.9562837831681,8.62674365003068,21.554194277694,-1.31383480267459,-3.79353303298421,-2.51640622188734,0.821634184907907,-10.0998925261147,-4.79148683836365,-4.78273283974931,88.7531204330453,1.68550059198242,2.00146331243604,-7.79893338840384,0.288680849732373,-8.81601517225909,10.6394513647178,-7.66393878065992,-9.32902349023243,-0.545500686642754,19.334679873713,1.45193015919858,-1.1054226863198,-4.46119947567104,-6.38304596066473,-10.7175461773113,-8.5595364318533,32.5332274433035,-4.75708497402184
,8,4.31853926366102,-1.65248173234886,8.80234041217864,17.2831294261905,-28.381110968623,-40.6452371953819,-0.612713669910136,-29.714530755914,5.53481472192334,0.564612668190875,-3.52249410173363,0.0691368255347697,-1.99979381767844,-1.59715162182738,-0.61056512381856,-5.49925725331059,-13.4673592686463,-79.8299941779887,-4.00570445694621,-9.52080514480258,-4.85644173572837,-7.48308700147618,-9.19144312238677,-2.53659427413004,-4.86585360055506,-5.27482827997073,-34.1589898224829,-4.63734456508337,-6.0426483083429,-0.686194015081583,-7.2351790409457,-4.71435867695436,-5.25241703712618,0.250850993118547,2.14147772386787,-1.63084353929025,7.08317012893122,-10.0105508221768,-8.00119796991248,-4.2802446629812,-11.460245546943,-5.14746635912297,-14.7487576192748,-12.7838518404765,-22.2153460904683,4.7465319706962,-4.53670963781678,-0.341218564371502,-4.32975689444493,-0.470563353028865,-4.57962188883857,-0.971312177878644,-9.02839496801698,57.6736125988764,-13.852563322791,-0.530706038842709,-8.47043930236896,-4.95397674919423,-7.5844568920179,6.65503890468517,-6.29260556682902,-8.25345872346907,-24.4329700719782,2.84851081488659,-5.7278500734601,-3.88467549778716,-3.88283454916882,-5.32881297348695,-8.3240957567682,-7.7479951302862,2.44732660245154,-12.5625080722684
,9,10.8053855931057,4.06507980687002,8.4443880408071,7.67301327357063,-15.6848529544195,-22.168696694614,-5.4236465336171,-54.8564367846006,-9.40697339263306,-5.58559032473431,-1.13511173757206,-0.781690104636255,0.94766103789425,-2.47615604336715,1.8281197371648,-4.32373845941447,-3.94447789646074,-132.362029175178,-3.13938127867641,-8.14258454270521,-7.31719383604059,-4.97135103317896,-7.40240581646003,-7.56063869506488,-3.263748864435,-4.60224963441124,-27.1516930125013,-0.365247698068742,-3.37579982341549,-5.8495662075029,1.68583837277856,-4.46931288640599,-3.55000954245452,-5.13252735867673,-3.73821698685924,-31.9096826872742,3.98380515635972,-7.06656771021926,-1.28889522464942,1.43875448752851,0.26777610238787,-3.58327079907485,-3.32276988802914,-8.42502024520172,-46.5972686440837,-18.8438130863547,-4.23857023069013,-3.90588838786744,-4.9251136248713,3.57619631708621,-3.81871698519126,1.85373078153589,-3.59295023550931,33.4816453425142,-39.2766354810619,-6.22155418319653,-11.1709472145412,-8.06021496918993,-6.82721538456417,1.25528563928856,-9.22439910432968,-6.55059067284856,-59.2746106384297,-13.0699682521913,-4.85597111035349,-3.5187883198937,-3.12849107093916,-2.12457001895973,-3.41070053468502,-9.8195908076782,-14.394446592235,-1.94803744900628
,10,5.87764598678814,1.97066929116227,-2.83208802540912,1.35569353917299,11.2798525916864,-0.986698186880403,-30.9527235539745,-33.307075267026,-36.3860360553431,1.47644964404208,-1.17621470252425,-0.180055915381672,2.24936971491661,2.64367190945813,1.92388217290954,2.06651885159681,0.0495261293608564,79.782066883924,-0.590995070965619,-2.77445468950737,-7.62287598895728,-9.09958159142343,-5.98307728806776,-3.33352593225572,-0.860827314802464,1.18390994373385,-56.3021489221915,-1.7600936040194,-3.47901704976357,-3.3894878899323,0.631324874768325,0.514041673605334,-2.51645260334772,0.772419044239086,-0.756011017107994,-30.2683415665374,-1.28919976712859,-3.43560250520204,2.19491059596885,4.15608193886192,11.4542086598244,8.10729711951444,7.18869280716217,3.62331634346629,-53.5011161175448,-35.2733709578019,-0.550624414370304,0.0393268348384481,-1.04294426781189,8.34448515764643,-1.1729522609744,2.65288133555396,1.04875919824781,-3.29454249907894,-66.3860531248915,-10.2532550591172,-4.52911384562549,-4.89100293472939,0.913799931249741,-3.52374853224865,-3.55395364627839,-4.63411588425561,-82.1621742177376,-16.1527335526562,-3.87035405322422,-2.12099987143347,-0.397392729083549,-2.97774786287664,-2.97024863306979,-12.2232133975194,-3.25923722157677,-5.27473937795685
