,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
A,Sample,Blank,018-1,018-2,130-1,003-1,003-2,003-3,003-4,,,,Blank
A,Cq,35.9666559045373,16.2827507333019,16.3074931308997,16.7024149569338,15.7053798585397,12.495680021825,16.9659983927658,26.0810095372341,,,,NaN
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
B,Sample,003-5,010-1,010-2,010-3,010-4,010-5,013-1,013-2,,,,003-6
B,Cq,14.9461349148396,14.5622880363013,15.02599180556,14.4614279886484,14.5951221605837,14.995439385869,14.7157298207397,15.5528243153326,,,,34.9340621553194
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
C,Sample,013-3,013-4,013-5,021-1,021-2,021-3,021-4,021-5,,,,038-6
C,Cq,15.5128423855424,14.5703420733133,14.466239928493,14.5897396468468,14.6718969189383,14.3956170826583,14.6570799821537,14.5278899461129,,,,NaN
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
D,Sample,038-1,038-2,038-3,038-4,038-5,043-1,043-2,043-3,,,,061-6
D,Cq,15.0864243772733,14.698106342896,14.8723960907493,14.671868879727,14.6246812382186,14.5991394372976,14.6904580440136,15.2471161548011,,,,33.8113729105241
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
E,Sample,043-4,043-5,047-1,047-2,047-3,047-4,047-5,050-1,,,,065-6
E,Cq,16.108667874673,14.6702664945493,12.8390471786519,12.5976781028964,12.4131659946688,12.3367091228951,12.7350553735792,13.9520812093841,,,,31.8811709044351
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
F,Sample,050-2,050-3,050-4,050-5,061-1,061-2,061-3,061-4,,,,130-2
F,Cq,19.5622954628571,14.9941857779177,14.6540225170877,14.5590894001321,13.1568725695991,13.2463213721475,13.4136881555752,13.5196735031743,,,,34.5931476430903
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
G,Sample,061-5,062-1,062-2,062-3,062-4,062-5,064-1,064-2,,,,018-3
G,Cq,19.6524967973865,15.1735226402985,14.8824132838579,15.3107252822703,14.1934733028327,15.1306138570649,14.7165778171863,14.6025700778413,,,,20.3486958193152
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,Unkn
H,Sample,064-3,064-4,064-5,065-1,065-2,065-3,065-4,065-5,,,,Blank
H,Cq,31.6182782518611,15.6204031041229,15.114212340831,13.6832769679633,13.6533634569444,14.1508045181968,15.3113717947023,26.2916206283682,,,,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN
