,Well,Sample,Call,Type,RFU1,RFU2
,A01,Blank,Allele 1,Auto,-5.23408556330469,-10.0353752479937
,A02,048-1,Allele 1,Auto,2280.44156836985,-3.64570851143753
,A03,048-2,Allele 1,Auto,2376.03074460483,86.1443055021605
,A04,014-1,Allele 1,Auto,2601.8355431459,-0.652394242425544
,A05,014-2,Allele 1,Auto,2658.71047641996,-2.79584407230868
,A06,055-1,Allele 1,Auto,2881.41358688414,-7.43687721733068
,A07,055-2,Allele 1,Auto,2793.72332770463,-3.88858009131673
,A08,055-3,Allele 1,Auto,2857.51132724681,-5.83048586080713
,A09,055-4,Allele 1,Auto,2928.12773799773,-6.61905972032855
,A10,055-5,Allele 1,Auto,3083.1859505813,0.069334832187451
,A11,057-1,Allele 1,Auto,2851.29576899314,-2.74007962303904
,A12,057-2,Allele 1,Auto,2568.45570676449,-0.816450936385991
,B01,057-3,Allele 1,Auto,2672.38621124637,-1.96659263801939
,B02,057-4,Allele 1,Auto,2706.41320954731,-2.90675279609695
,B03,057-5,Allele 1,Auto,2701.3488650036,2.36990447713606
,B04,058-1,Allele 1,Auto,2749.62970530336,-8.81633848092679
,B05,058-2,Allele 1,Auto,2784.66498674005,-7.82864154777144
,B06,058-3,Allele 1,Auto,2453.68102361224,-6.25909085567127
,B07,058-4,Allele 1,Auto,2851.0471501018,-0.83705590487034
,B08,058-5,Allele 1,Auto,2906.69565352164,-4.3653745526517
,B09,063-1,Allele 1,Auto,3203.38243861677,-12.8925537699138
,B10,063-2,Allele 1,Auto,2755.09314350594,-4.04223178580605
,B11,063-3,Allele 1,Auto,2995.73760838553,-0.564179479665654
,B12,063-4,Allele 1,Auto,2825.86950123156,-0.0905223766412746
,C01,063-5,Allele 1,Auto,2095.33446944306,86.0558233495294
,C02,068-1,Allele 1,Auto,2533.20075814446,98.1713386307811
,C03,068-2,Allele 1,Auto,2690.23448976782,-3.93138466765913
,C04,068-3,Allele 1,Auto,2602.30278064872,80.8259803572628
,C05,068-4,Allele 1,Auto,2955.92289274927,0.997055715525221
,C06,068-5,Allele 1,Auto,2726.61008231107,-3.99679280714463
,C07,074-1,Allele 1,Auto,3086.05323998759,134.456316013201
,C08,074-2,Allele 1,Auto,3088.73190040164,-5.12739490908007
,C09,074-3,Allele 1,Auto,3230.25337359038,-3.29273408164408
,C10,074-4,Allele 1,Auto,3157.80978506571,-2.58091189618926
,C11,074-5,Allele 1,Auto,3169.91487483058,-1.82201008559514
,C12,078-1,Allele 1,Auto,-0.848395044910376,-1.60889548660634
,D01,078-2,Allele 1,Auto,0.197822816011467,-7.42084541611212
,D02,078-3,Allele 1,Auto,-2.61462390573433,-1.13205204813994
,D03,078-4,Allele 1,Auto,-5.59305872194409,-7.94154797045803
,D04,078-5,Allele 1,Auto,-4.45576511866466,-7.99811942097995
,D05,093-1,Allele 1,Auto,3135.08024993534,-4.38976852680526
,D06,093-2,Allele 1,Auto,3300.08408745684,-8.24953746596475
,D07,093-3,Allele 1,Auto,3158.20685337834,-4.34619600978112
,D08,093-4,Allele 1,Auto,3126.78414493245,0.321829651346889
,D09,093-5,Allele 1,Auto,3260.30062971167,-7.78326876486017
,D10,095-1,Allele 1,Auto,2557.59936339556,-7.78555557003028
,D11,095-2,Allele 1,Auto,2822.27038475123,-1.51412239535784
,D12,095-3,Allele 1,Auto,2499.76181393243,-6.38411972577069
,E01,095-4,Allele 1,Auto,2541.09553703611,-1.10385548847125
,E02,095-5,Allele 1,Auto,2700.39835833346,-5.21368994625345
,E03,097-1,Allele 1,Auto,8.23190605114769,-1.56139151550542
,E04,097-2,Allele 1,Auto,8.73729892047186,-3.16923696899494
,E05,097-3,Allele 1,Auto,-2.18385001563638,-2.1746623963445
,E06,097-4,Allele 2,Auto,-4.91161644382146,0.314307325438676
,E07,097-5,Allele 1,Auto,-4.65176585394784,-2.30508887016276
,E08,108-1,Allele 1,Auto,2881.30677497562,-4.21522724497345
,E09,108-2,Allele 1,Auto,3033.32367340541,-3.84474345198305
,E10,108-3,Allele 1,Auto,3001.22323590484,-1.95232972939493
,E11,108-4,Allele 1,Auto,2759.01371633481,-3.38775616884959
,E12,108-5,Allele 1,Auto,2272.07071721473,-5.43259927260806
,F01,119-1,Allele 1,Auto,19.2476034573883,-8.12854149463055
,F02,119-2,Allele 1,Auto,-6.78261237806919,-5.83369185744141
,F03,119-3,Allele 1,Auto,-2.31094482429035,-3.37183093142403
,F04,119-4,Allele 1,Auto,15.3662716107501,-4.09381418730845
,F05,119-5,Allele 1,Auto,33.6701030068166,-6.41452636179656
,F06,126-1,Allele 1,Auto,2825.53929924848,-11.0447250129077
,F07,126-2,Allele 1,Auto,2920.30813931912,-5.67705841567795
,F08,126-3,Allele 1,Auto,3021.74165671348,-6.83324595536214
,F09,126-4,Allele 1,Auto,2947.11244451833,-3.3022725036335
,F10,126-5,Allele 1,Auto,3193.52393373996,-5.55698834917439
,F11,128-1,Allele 1,Auto,2614.59376019055,-1.19850508427317
,F12,128-2,Allele 1,Auto,2486.82480449294,-5.35664436034813
,G01,128-3,Allele 1,Auto,2681.65365322928,-0.997619982133074
,G02,128-4,Allele 1,Auto,2867.82353722213,2.65416878490396
,G03,128-5,Allele 1,Auto,2830.03442621779,-2.23882225906527
