,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3
,1,-83.2868384361127,-26.9455155259361,7.29202638480228,-44.7936644149072,-34.6685594380801,-52.5570029896821,-58.3810289444364,-49.7198659392702,-42.7840400856589,-44.7750806563554,-104.313766727968,-101.770639626128,-23.9973472551187,-27.1374552366433,-44.5106693453085,-40.3184418772425,-36.5585591848453,-20.8069655855315,-65.7000494884433,-60.1081446711737,-41.1872291819218,-48.8903580586957,-42.401487624521,-51.8301487094927,15.6675698589288,27.5687507357734,-36.7258249247097,16.5559852846163,-35.9657191828783,-27.7487534772763,32.254183569506,-38.5758431862905,-34.4715228262767,-43.2396031309349,-44.607878036893,-49.6705383598814,-53.9118925139292,-42.2433653421276,-39.3704796193688,-42.626006505543,-27.7948502558452,-28.6961040678184,-36.8779052923824,-45.91152004385,-40.6567114338923,-43.3966373363587,-46.9486046528918,-39.4098328094874,-23.7857988216992,-21.4754163209982,-23.1002930433642,-43.6272362972891,-10.4532904404014,-34.6511314797085,-31.1661532978792,-33.9573786229421,25.9159731002342,-24.055649665841,-56.8760989167022,-45.2471369422237,-50.8690770826092,-32.8273283938406,-39.8722471799924,-33.9986535936682,-32.6206810926255,-28.8403776944019,-30.1851129256743,-11.8280812568387,4.63807800146515,-19.364078250298,-42.0136495501488,-54.6508486980529,-31.0285417689579,-10.0874731791255,-13.472815098638
,2,-33.1176536379699,-11.4679541682631,13.9493640161941,-27.7244105944496,-25.2695787590451,-36.9960222780128,-45.6732559290331,-34.9928296341163,-27.1063518789933,-22.3607544805122,-32.2702409889316,-44.851439302749,-17.6022333529386,-24.0893008734297,-33.3687675386082,-23.8412263911978,-27.4369367989225,-15.5079021152692,-52.8608544640501,-46.1235468368791,-20.5945058808034,-37.2503002268072,-27.3775932590406,-22.4167889433807,14.6394417145352,29.4779290644869,-24.339687946489,16.7935243810898,-18.6463669906234,-20.7661167991823,41.5109044746473,-19.9374836568313,-25.5912671706274,-24.4198354604696,-30.2818442385487,-5.10170013263451,-34.8007841239328,-33.4214663610846,-32.5059296934014,-26.2972216150683,-20.688971376956,-12.7260557843397,-25.8668064526128,-24.7387643505099,-22.4842390847712,-27.8770580995629,-24.8001895919506,-15.4270610206436,-13.7105536270419,-9.70642624166476,-8.87303577356761,-28.1156710645164,-0.1327805100359,-20.6959679663069,-22.3049492202963,-15.5252049063847,6.64509339766801,-11.0633637121277,-37.9894073325509,-26.3343826722635,-36.1653620632578,-19.8455524050164,-23.9765946763109,-26.5152077151242,-22.8865238354783,-23.801708282585,-18.1974886995445,-10.9430675544781,-0.213553534470066,-12.8257202601067,-33.5345108459665,-28.2555278374393,-21.1964145546062,-8.85255823567195,-8.65070711271983
,3,-24.7876966210411,-8.17645317065399,22.7848581501949,-18.8912756993459,-21.1746213168472,-24.9862450310702,-27.4014571995049,-25.354208135122,-22.3667363537511,-9.65688414489796,-15.1015245609583,-17.5461298412183,-11.9271413668343,-16.6436390304657,-24.0843034648465,-15.7318988142943,-18.2534523509767,-13.2018740090407,-38.9494230415985,-29.7207240636371,-18.4826064661611,-28.3200172068068,-14.7278316556249,-12.3446668676784,25.9343842593789,41.8131277733346,-16.0563317866627,25.9354646962775,-11.6543020270447,-10.28066763586,49.886046889555,-17.6487820590014,-15.0323570550458,-17.0790841270368,-20.4040343385618,-7.17225783065396,-22.8862366131107,-11.2702207811571,-22.9418031979321,-18.9713535585356,-16.3322536970004,-2.65456896552314,-13.2997052218766,-18.5437860236038,-15.4252854059055,-20.7834071269058,-17.3648118270876,-8.3014702435421,-6.65136195967443,-8.15461996729664,-6.76232958638366,-17.8830003517933,-1.28132181428919,-13.4051189853722,-8.17460623001716,-10.2522947962761,4.2980516935977,-11.1072000772065,-24.1205405477581,-22.7249058218481,-24.0894685230232,-10.7548802749402,-11.9542391926948,-16.4842405699269,-16.0250053662021,-19.4124849270597,-13.2983155295824,-10.838051230523,-0.490034763793119,-11.2560633874255,-25.2756354149315,-22.5241647787493,-14.3816759824567,-0.671817699071198,-1.35710786411073
,4,-15.6297839851536,-4.48881270225229,30.3798108669307,-15.6467194553643,-15.1745027164643,-16.8330949996353,-21.899373313036,-19.7752584600435,-16.3540667116417,-5.02509421746845,-7.70399199673329,-11.9495979837516,-7.94286333282207,-15.3535793863898,-16.2095364819179,-14.1075632234097,-15.618350434182,-9.9484102967067,-27.3978972749892,-19.052162617435,-10.3658820066939,-17.4406862593014,-8.47960394670463,-14.5674272426672,34.579179012509,55.7508370311111,-13.5704668223625,34.5806195950468,-6.58115127538531,-8.45225497695219,66.5147291860808,-12.9777609840216,-9.78417623308997,-3.87576762244726,-17.7328920722962,-0.58944019208684,-19.3517695927821,-9.88132876618738,-18.930001894812,-11.9796829475595,-14.4208243277053,-2.15984948383039,-11.7866198491015,-12.4789138441743,-11.2216079517129,-14.7317388296633,-11.1653720097056,-4.22161033280281,-3.54307614571781,-6.71493120516743,-4.33144919404913,-17.5112680848888,-2.28203682276171,-6.01360719973991,-10.3735040961446,-2.69229895212675,1.95022270399659,-2.83378104041822,-13.7527267672963,-17.023465709934,-18.019541120274,-11.3358504674688,-6.06963901495601,-18.4182325993906,-12.6411116152863,-15.9514923124575,-11.9784928618074,-12.051440476564,1.168569408238,-10.6111855439099,-12.7926559463517,-15.2687422064041,-11.9375644784864,0.207367922367666,0.43087821582958
,5,-16.0799435024428,-4.88184231373134,38.9641260684096,-12.5748096891953,-9.81218129936951,-13.1556061439915,-14.9412521886538,-14.0738439571123,-14.017287072701,-4.09390153330378,-10.1302772789259,-10.8212469137216,-6.70461774947671,-8.69454842583446,-12.2927514064049,-7.48429923143385,-15.1590662944541,-6.05592173613695,-19.5731094603902,-15.8118700549785,-5.76184209988514,-14.4931256906939,-7.94615966928404,-9.68061202401395,38.2474497470072,59.0019416688124,-9.62252676081835,38.8970921721789,-1.09711292582415,-4.28365847184205,69.7447008735771,-11.1491772604109,-2.47989805600992,-5.00253380275308,-10.0436384864697,-1.21459455434751,-13.5728537166588,-9.40568001892279,-9.87975081345985,-11.025276265249,-10.2548516664269,-0.879157715204656,-6.97750892916292,-9.47201621846671,-4.25554163164225,-9.54797478112505,-7.83905668475381,1.43264138619043,-2.06252364874854,-4.81060073592471,-2.0650022314021,-14.7316543439306,-3.03646351172256,-7.40253480488309,-5.3216000533871,-4.70913479888668,2.84699043058163,-4.73333427779926,-12.1357242667127,-15.8661310548569,-14.1746810485529,-7.24561352260389,-4.47290163273465,-10.2569859037949,-6.18530444123053,-12.043444914576,-7.40057946288334,-5.53503701744967,-0.914688732694685,-4.33840423756874,-9.23285956971267,-13.8149200752659,-5.11007481522665,-1.88356626619225,3.16152118079162
,6,-11.2243921882769,-3.32329533483517,46.664516658665,-9.99200455841856,-6.62697831602964,-5.95583537685525,-9.87200106291584,-11.8189245362332,-13.2669066833282,-2.51621210350413,-6.56872218562739,-10.2855101432351,-0.779826539623627,-5.91643548350748,-6.49088821469286,-4.92937056307528,-7.18620105888658,-4.66858748446975,-13.9453664162029,-10.4376769017613,-8.2269955739398,-8.89079900939169,-4.73238838929001,-4.18461194401834,42.85550795642,63.1983360977774,-3.15339274415419,41.9097232282784,-1.19669719030298,-0.128023451034096,75.6793231956353,-8.40833051108484,-1.95916831802742,-1.58937142947752,-10.6157562226076,4.43239802901644,-6.3291167551929,-5.26309848881829,-5.24625879957648,-2.34392939983854,-7.01804257028743,-2.68988285382466,-5.5157946016684,-7.32597722554419,-6.13026505749849,-8.72651628139829,-3.93420360127766,1.88722905050872,-0.751119554542129,-4.08307087014191,2.25901975143279,-0.939541799898052,-5.56977376834811,0.697892502058494,-0.998340916739835,0.751512150628059,5.13235324472953,-2.44115421186461,-7.02406236937077,-4.42175035304854,-4.79541618418762,-0.4403508083833,0.64789064728302,-12.5447239008909,-4.35991043058493,-7.44587649666892,-3.35892645536205,2.78140399002723,4.49574697147409,-6.62923054691009,-9.63030278464612,-8.8536228958028,-2.3028782507663,-1.50357919024373,-0.302283169110069
,7,-8.96187123207119,-2.56405854695913,51.9216879847436,-4.20730356496642,-1.07258433797369,-2.11408514377626,-0.331455975308927,-7.75482757495274,-6.15283527186421,2.07340632235628,-3.24098034448662,-5.04047667328859,4.40540790976047,-1.88187567497062,-4.55041695317504,-3.09366626684096,-5.1220736818259,1.27408620945516,-8.65592330882419,-3.64412711574141,-7.22696325711695,-6.99127298815347,2.5623026160988,-0.54987977862811,48.0948818885155,66.9473917372634,0.363955251355037,44.2558452357616,1.83852091569179,-3.76310962828074,79.8612650994414,-4.6292533242663,-1.24824766734082,-3.07132098390957,-4.78687846509411,8.11109798320467,-1.58232614836243,0.578890267360748,0.397233891540509,-2.99037233252375,-4.86666691487426,0.784028761206173,-2.07848753796907,-4.92100413036724,-2.92283144168505,-8.85294490455772,-4.2531545827419,-4.75334907203069,-1.93979560685193,0.246435651870343,2.28543406072549,3.1502417585325,-4.34416000936562,-1.14658704291651,-0.00701401643664212,-3.03747639769199,-0.920992863880201,0.612954064337828,-4.71930780650018,-3.6697802926642,-2.33446857740046,-0.95209569222061,1.50002807676674,1.50508325526152,2.68096529290551,-6.93750046126479,-4.70909202212169,0.266676701812685,-0.120581523804049,-2.93478715416495,-6.47428792992969,-3.38560530084169,-0.643471690852039,-0.17725529954896,3.52596648570807
,8,-5.644923754503,-0.404941681447781,55.7279553857814,-2.60846185618993,0.036681592561763,-1.90603756181599,4.13461235616069,-4.11918811275336,-5.6592970445231,-1.01345871584772,1.48571562000598,-0.506819469386755,3.46203074449431,-1.93276206217706,3.02598419313335,3.24889075339934,0.108234472045297,2.90951232023008,-4.32319986487892,-0.911707085062062,-2.20663915754085,-1.26228587541755,2.24255971083539,-4.6174657724805,50.4102386103297,65.7102007976969,3.12179731315882,46.6685279925803,-0.409718580955996,-1.27553450404457,83.7515520120237,-3.52738381522977,-1.68707240715548,-2.65782700996988,-2.65258076254759,5.67202515488543,-1.3555043894039,0.841554663845727,-2.61217285344537,6.76809563305005,7.74208155198039,1.35491262068808,1.37338519997957,-3.00342827780651,1.71798263097753,-1.06451277670567,2.84432253524983,-1.5285176934658,1.39899484022862,3.01032042358702,1.58716713650892,0.845822217651858,-0.320923800905348,-1.70587279593065,0.242256230034855,-2.33359159103884,1.77386281137842,0.164384604226143,-1.11376565206228,-2.09632993815512,-1.40088756277009,0.469131041896162,2.25482022534425,3.86980798590184,-1.2370999921518,-5.78158286455709,-0.88129444037304,-0.588110217157464,-1.26585185742852,-1.29993638042242,-4.7069030284465,-2.00352271360225,-0.0730484043929209,1.28424215984842,-4.01814759393437
,9,-0.732188698154005,-2.46293552074076,57.714300129912,-0.98765876580137,-0.0888672293331183,-0.441547468271438,3.39909061568278,-2.7646514082212,-1.63906466334674,0.445281040703321,-3.0223827741147,-3.49555282851725,0.425882118466689,1.11563097205044,0.277079315967967,1.66551039567321,3.32728392392801,0.176271876365718,-2.83825312753015,-0.597011961355747,2.72651327378117,-1.50506515449297,0.154323380234473,-0.728515634739324,52.2032987442537,73.9156843609139,-1.39039512648606,47.8271149232269,1.11321729798237,-1.78848037316402,91.126640741662,1.92059059415669,-1.63741413100752,-1.08795463567276,0.89782283661998,3.42776444018591,-1.33804408069682,1.63870865430681,0.502213459713403,5.5047967684709,1.17229574202702,-1.648130334906,2.40496729174538,-0.065685356783888,-0.53336631280672,-1.20915015150194,-0.662748407222352,-2.46044528368066,1.17277553800341,-2.42641473812819,2.12707322444294,4.77480975716981,-0.506867128157865,1.09489752689842,3.72619501213467,-4.1526115405286,-0.821945805077576,-0.950329798784878,-1.13054560160117,3.5743014345644,-0.337189208593827,5.05098577671606,2.29377028983026,0.569881190551769,5.11085293406904,-2.83484070874738,-0.00119748147017162,-0.754544286682176,0.94240476185405,-3.44338729935816,-1.91967394206586,-0.584106664125557,-1.65680249251636,-0.564532280678122,-1.98930029270514
,10,0.270133337931838,-2.61240228959741,61.3166023512278,0.00385676985615646,0.542224207947129,2.1087333721257,2.55141947352513,-3.23219606332987,-1.25357228671328,-5.4927454605081,-2.77492002024246,4.9453385542929,2.09616154230844,4.42361463816405,1.16367843514217,1.82476640305686,0.0489727164085707,2.98683248520365,-3.95091600471778,1.87427961345838,5.31481008899982,-2.76852142378402,2.84529070556255,0.83564286717592,53.3090392432296,77.1501142421503,0.253405853171444,48.3621992847785,2.96214214742486,1.60735669945234,88.2889549151441,3.37529313106597,0.36484981347985,-5.15604380501054,0.542175865040463,1.41662750913747,3.24507769695174,-1.52930733588846,-0.47831579169133,0.87337151367683,4.2781247866078,-1.31874983301896,4.83084168721098,2.24664192278669,0.994525458700537,-1.1317962734106,0.391390541552937,-0.259019101496961,4.84866345626824,0.413763371344885,0.216089834842478,3.13309852557086,-0.962325891071487,-0.530892006405338,2.40012579278846,0.620951010414956,-2.86237812392437,-2.08253743569776,6.54305146246179,6.46510775376964,2.06472545753331,-1.77774263943184,3.47608275633957,2.30592190073958,0.990612271190457,-0.420894656793735,2.12955472901376,1.42545718402243,-0.630372661794809,2.74343390814147,-0.968765886717392,-0.89390999419129,2.84106274007172,-3.25759711419232,1.2082755030101
,11,4.76816583715254,-0.573624590544568,63.5857085948948,2.25429499814481,7.30439911969461,3.40786698024567,4.93172926486159,-4.15319297827728,-1.58650905012428,-0.735174397001174,1.18383950280759,0.357815233347537,2.82781392248899,1.53541522655269,-2.15501320393059,4.16269227728799,2.49519328559882,2.63903298088053,3.3729711282308,1.85870788649117,5.26613599294024,-2.52551846094502,0.980870441820571,2.30986995368085,55.959368444993,80.1812229810143,5.28572615613484,49.2026437398586,5.10287091887903,3.86290177375395,96.1573348830639,4.02553982106883,-1.7730202238231,0.236327408509624,-0.710937968577582,-3.20221684878697,4.15493428552691,4.44368559263785,0.318407197700253,0.871773257370478,5.5358180447447,-0.669126038255399,1.20246463225249,0.966381505563277,0.781153220852048,-1.57916314531303,-3.67919063008094,-2.79373978232616,2.27318913819727,3.879505162432,1.19061394329674,1.90462524890881,1.49695735758314,-1.93737456502095,-0.461988535313139,-1.52536084271014,2.36678803002724,1.633306402588,-2.9950231964599,-0.706898818755235,3.4266853500344,3.00503371021114,-0.863516719452491,-2.84201460383838,2.28128796036117,4.99541087284342,1.65098422085839,-1.5366587970866,-1.05201471032706,0.395405558740094,1.95093548202112,0.805930627982889,0.115160936110897,2.14419945855252,-0.983359397257573
,12,1.59133207669993,0.677339569185278,65.5005153056213,4.16623551668818,6.73335944489554,1.12540136700954,2.18151661150432,-1.01507888406923,2.74150153523442,1.47890369684546,0.533684602560243,-1.0870884243659,2.26158262726403,2.41645218492022,-1.01871052244542,2.61482393840333,3.76004406499806,-1.44498055698568,-5.06952485491092,1.83982459086019,5.93856292075816,-0.384684521048257,3.89556141797721,2.91050364234206,59.0265420677047,84.4090982775706,2.62037376714625,51.9324392488091,4.99492333090848,3.14778036934604,99.044006081213,6.61044690201061,2.61899974847211,-0.696424410100008,0.607563301025948,-6.09554726997385,6.06271960712184,-0.475548127321872,1.56849560757018,0.743945440456628,5.98941514299486,-3.40806555592781,-1.58475117197713,0.422108779746395,1.76536195301105,-1.43272067196176,1.52174138678356,-0.529116667034941,-0.81753462356528,1.71940709529827,0.652087371252492,7.37322773992173,2.26822381668762,2.59205394517494,-0.941063962952285,-3.8487738218173,0.677061946216782,4.36171152618408,4.13954530571709,6.11878714078466,2.80876033610093,4.37660203259702,2.81388990543155,-1.08309107910054,5.85496682413122,0.0357919592220242,5.94591218693222,3.97630443146863,3.27218573740947,5.58420705176513,4.34406725148938,0.523059239565555,1.45435365255389,2.19230853884392,-4.86723182564765
