,Well,Sample,Call,Type,RFU1,RFU2
,A01,014-1,Allele 1,Auto,2658.45852124994,3.38013456519639
,A02,014-2,Allele 1,Auto,2693.92287964946,-4.28671649879243
,A03,048-1,Allele 1,Auto,2636.85247088036,-1.57776751496294
,A04,048-2,Allele 1,Auto,2740.16067922659,-0.727001251739239
,A05,Blank,Allele 1,Auto,-7.21649728471448,-6.53430337358486
,A06,001-1,Allele 1,Auto,3274.83683695711,-8.43013545647455
,A07,001-2,Allele 1,Auto,3195.82533744405,-6.86298180418999
,A08,001-3,Allele 1,Auto,3057.6798244446,-7.42159557477498
,A09,001-4,Allele 1,Auto,3388.96866498931,0.635855386888124
,A10,001-5,Allele 1,Auto,3358.54071118137,-5.67197189215813
,B01,009-1,Allele 1,Auto,3254.30207163088,-5.10478943081216
,B02,009-2,Allele 1,Auto,3250.62075191201,3.69243303065741
,B03,009-3,Allele 1,Auto,3270.00975504666,0.341126107348373
,B04,009-4,Allele 1,Auto,3375.64475037994,-0.14612012031057
,B05,009-5,Allele 1,Auto,3625.06708511184,3.84237944151755
,B06,015-1,Allele 1,Auto,3578.84823362323,0.819861099558238
,B07,015-2,Allele 1,Auto,3601.51345628825,-3.06979199993702
,B08,015-3,Allele 1,Auto,3582.50635346657,4.14974976244321
,B09,015-4,Allele 1,Auto,3666.69908912066,-0.781616473285794
,B10,015-5,Allele 1,Auto,3458.16526541398,3.29815916557982
,C01,052-1,Allele 1,Auto,2743.43341325186,-3.1942110374398
,C02,052-2,Allele 1,Auto,3297.81998423934,4.09579618235057
,C03,052-3,Allele 1,Auto,3190.9321278005,-1.8225130164019
,C04,052-4,Allele 1,Auto,3480.63430029461,4.54528150851502
,C05,052-5,Allele 1,Auto,3406.58043777415,5.5867119719187
,C06,065-1,Allele 1,Auto,2960.45018945462,2.03827365031248
,C07,065-2,Allele 1,Auto,2945.02452381331,3.32614392508412
,C08,065-3,Allele 1,Auto,2782.62702262187,3.18530400816599
,C09,065-4,Allele 1,Auto,3207.12277920528,1.70368766744468
,C10,065-5,Allele 1,Auto,2948.54598839612,-4.7450202169689
,D01,076-1,Allele 1,Auto,3256.30502017904,-4.84097080407992
,D02,076-2,Allele 1,Auto,3142.10789702369,-2.36492699345808
,D03,076-3,Allele 1,Auto,3309.2124437629,-4.80439322299799
,D04,076-4,Allele 1,Auto,3402.54038595059,-1.03415437486592
,D05,076-5,Allele 1,Auto,3484.18914957487,-3.67987523691954
,D06,077-1,Allele 1,Auto,1974.37706957707,-1.03989552120584
,D07,077-2,Allele 1,Auto,2294.29255774369,4.1552712295038
,D08,077-3,Allele 1,Auto,1954.70762876519,3.83485991604221
,D09,077-4,Allele 1,Auto,1637.91007424637,3.9884794490963
,D10,077-5,Allele 1,Auto,2199.40741099895,-0.607113560924518
,E01,096-1,Allele 1,Auto,2396.80250706261,1.85152644136269
,E02,096-2,Allele 1,Auto,2750.50062009791,-0.231508626114191
,E03,096-3,Allele 1,Auto,2674.10662966017,-2.41195624541615
,E04,096-4,Allele 1,Auto,2781.74429545783,3.31057544267787
,E05,096-5,Allele 1,Auto,2776.75930625069,6.40491656903305
,E06,103-1,Allele 1,Auto,2937.17824537824,4.78635475402962
,E07,103-2,Allele 1,Auto,2939.87830539405,0.409861471847762
,E08,103-3,Allele 1,Auto,2725.09385333473,1.27508808676885
,E09,103-4,Allele 1,Auto,2869.54323548351,3.81645036777581
,E10,103-5,Allele 1,Auto,2884.19038575247,-0.154212706524959
,E11,107-4,Allele 1,Auto,2523.35271144014,0.351474787010829
,E12,107-5,Allele 1,Auto,2296.4283374868,-1.35948309899459
,F01,107-1,Allele 1,Auto,2342.48621009053,91.9241412057963
,F02,107-2,Allele 1,Auto,2354.24639499778,1.35258847885871
,F03,107-3,Allele 1,Auto,2585.82189040715,-2.38739600264762
