,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,,Unkn,014-1,0.655764349796573,,Unknown,Unassigned,False
,A02,ROX,,Unkn,014-2,-4.23810923967925,,Unknown,Unassigned,False
,A03,ROX,,Unkn,048-1,-1.65705742776139,,Unknown,Unassigned,False
,A04,ROX,,Unkn,048-2,-1.42247550305662,,Unknown,Unassigned,False
,A05,ROX,,Unkn,Blank,-6.76458602784593,,Unknown,Unassigned,False
,A06,ROX,,Unkn,001-1,-5.63163426137141,,Unknown,Unassigned,False
,A07,ROX,,Unkn,001-2,-5.27540403783945,,Unknown,Unassigned,False
,A08,ROX,,Unkn,001-3,-4.67713236978673,,Unknown,Unassigned,False
,A09,ROX,,Unkn,001-4,-0.828222604656579,,Unknown,Unassigned,False
,A10,ROX,,Unkn,001-5,-6.84529984113199,,Unknown,Unassigned,False
,B01,ROX,,Unkn,009-1,-3.74619126677162,,Unknown,Unassigned,False
,B02,ROX,,Unkn,009-2,0.561077639913644,,Unknown,Unassigned,False
,B03,ROX,,Unkn,009-3,-0.642805053657897,,Unknown,Unassigned,False
,B04,ROX,,Unkn,009-4,-1.1742647116241,,Unknown,Unassigned,False
,B05,ROX,,Unkn,009-5,1.51009925088316,,Unknown,Unassigned,False
,B06,ROX,,Unkn,015-1,-1.10835955403181,,Unknown,Unassigned,False
,B07,ROX,,Unkn,015-2,-5.17053245638784,,Unknown,Unassigned,False
,B08,ROX,,Unkn,015-3,1.44779551137681,,Unknown,Unassigned,False
,B09,ROX,,Unkn,015-4,-1.78905764209688,,Unknown,Unassigned,False
,B10,ROX,,Unkn,015-5,0.995347244976256,,Unknown,Unassigned,False
,C01,ROX,,Unkn,052-1,-2.46972714901494,,Unknown,Unassigned,False
,C02,ROX,,Unkn,052-2,0.489396902807857,,Unknown,Unassigned,False
,C03,ROX,,Unkn,052-3,-2.19640000302234,,Unknown,Unassigned,False
,C04,ROX,,Unkn,052-4,0.599442249752307,,Unknown,Unassigned,False
,C05,ROX,,Unkn,052-5,0.396016290033367,,Unknown,Unassigned,False
,C06,ROX,,Unkn,065-1,-0.00984152868795709,,Unknown,Unassigned,False
,C07,ROX,,Unkn,065-2,0.768810963526478,,Unknown,Unassigned,False
,C08,ROX,,Unkn,065-3,1.35131414625218,,Unknown,Unassigned,False
,C09,ROX,,Unkn,065-4,-1.09261923070447,,Unknown,Unassigned,False
,C10,ROX,,Unkn,065-5,-4.20386144272722,,Unknown,Unassigned,False
,D01,ROX,,Unkn,076-1,-6.34330537219181,,Unknown,Unassigned,False
,D02,ROX,,Unkn,076-2,-2.25538954680969,,Unknown,Unassigned,False
,D03,ROX,,Unkn,076-3,-0.914389493443953,,Unknown,Unassigned,False
,D04,ROX,,Unkn,076-4,-1.08317031158443,,Unknown,Unassigned,False
,D05,ROX,,Unkn,076-5,-3.87654209350815,,Unknown,Unassigned,False
,D06,ROX,,Unkn,077-1,-2.09551575968765,,Unknown,Unassigned,False
,D07,ROX,,Unkn,077-2,1.59345430282989,,Unknown,Unassigned,False
,D08,ROX,,Unkn,077-3,0.641115629633441,,Unknown,Unassigned,False
,D09,ROX,,Unkn,077-4,1.48235904643467,,Unknown,Unassigned,False
,D10,ROX,,Unkn,077-5,-2.359739480402,,Unknown,Unassigned,False
,E01,ROX,,Unkn,096-1,-1.6834838740025,,Unknown,Unassigned,False
,E02,ROX,,Unkn,096-2,-0.989765570633093,,Unknown,Unassigned,False
,E03,ROX,,Unkn,096-3,-1.63491270099485,,Unknown,Unassigned,False
,E04,ROX,,Unkn,096-4,3.08278785173143,,Unknown,Unassigned,False
,E05,ROX,,Unkn,096-5,2.92943221681289,,Unknown,Unassigned,False
,E06,ROX,,Unkn,103-1,0.502883097779917,,Unknown,Unassigned,False
,E07,ROX,,Unkn,103-2,0.731021605451952,,Unknown,Unassigned,False
,E08,ROX,,Unkn,103-3,0.123662125044029,,Unknown,Unassigned,False
,E09,ROX,,Unkn,103-4,4.94357791648351,,Unknown,Unassigned,False
,E10,ROX,,Unkn,103-5,-2.6470199114128,,Unknown,Unassigned,False
,E11,ROX,,Unkn,107-4,-1.43556404571697,,Unknown,Unassigned,False
,E12,ROX,,Unkn,107-5,-0.726281072345258,,Unknown,Unassigned,False
,F01,ROX,,Unkn,107-1,87.0320875157603,,Unknown,Unassigned,False
,F02,ROX,,Unkn,107-2,0.0186198750286167,,Unknown,Unassigned,False
,F03,ROX,,Unkn,107-3,-1.12194502493451,,Unknown,Unassigned,False
