,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3
,1,-64.9335270082615,-39.1373571043823,-44.8551355208087,-38.915095703504,-32.045595155404,-41.6764704376924,-61.9237026431924,-55.0490930053807,-33.3559949721443,-41.6527679781361,-53.9252402094066,-23.5089988804748,-27.9111585983551,-67.9051065057588,-29.4228709261852,-18.6319826778417,-10.663378098589,-41.2208347792657,-37.3571530409286,-5.66814148795902,-37.3610889829033,-5.57852001795345,-32.42861740934,-37.0260944937399,-13.7777229082476,-26.3501111542123,-38.9695662497033,-47.3780479262919,-36.3445654385455,-32.0303816306941,-39.5659616462008,-38.2666569654498,-28.5701636063604,-64.8738578257635,-31.4781782942109,-34.4733015886627,-13.3685858530653,-20.8337458654732,-33.6943605030929,-49.7916085120487,-41.3453443203775,-13.6430581309623,-37.7968193241304,-13.9560972619743,-14.9804677561738,-37.1597177696531,-3.52798786636686,-7.17919430492884,1.85678104066801,-19.5581396541752,-29.6500553471092,-8.88330038225604,5.54716891876888,-36.273721165956,-58.5638756092408
,2,-19.3411059306745,-23.291119295412,-23.3648814192484,-22.5990766996556,-24.7497834583855,-28.2114130831783,-47.5946987006064,-40.5952680788114,-18.7126196857166,-21.5388502772066,-38.9081869098586,-16.8156591788052,-21.890984309885,-41.9663657342403,-22.2221580605155,-12.5765014856224,-5.25029091829538,-25.9911164253776,-27.4069895457533,-3.67196888247372,-26.4860590481135,-8.06597138280813,-22.6420128246973,-24.1558245714355,-8.4441476400707,-20.6424039850408,-22.0489707494853,-30.997010546012,-22.1348651750641,-22.1583476489782,-30.5581673150582,-23.9896147026684,-21.0856209502163,-43.151867898298,-24.0529953831679,-20.0443619306484,-7.09094217006214,-6.17851494514616,-22.225713844241,-27.3999101726017,-26.8233142490649,-11.3868297326499,-28.3467178856013,-12.634724072233,-8.70116343082145,-26.221054042609,-6.62649866135371,-4.85301194600879,19.907480263792,-11.2092028633638,-17.2534261567748,-7.48914311570115,14.552243957557,-22.9441674038135,-34.2221703814257
,3,-11.7759220869457,-16.9554289841294,-17.3812293274559,-17.4509316349795,-24.9498224181239,-18.629315382982,-30.6748241004075,-25.2518500170727,-10.377489903296,-13.3459001244805,-30.3588781282378,-13.6154143249605,-12.4174951435884,-30.4733330501335,-16.6572589346511,-8.75853995158559,-7.05598403631848,1.84535942601951,-13.9477972214322,-4.17290313515059,-22.4758047860932,-4.69838186613379,-13.9947106824961,-17.7559760969466,-7.23018512668477,-12.5899744520475,-17.6412407705698,-17.5455107970092,-17.2124436749323,-14.2873457961005,-20.9874799463182,-16.7252156578597,-15.1795734030829,-25.7269451196612,-18.3489337810638,-15.4535487306034,-5.01019384001847,-3.9885389666033,-2.90729974294618,-23.0191226736451,-21.56443013643,-7.82824805730706,-20.6662087949812,-4.43909181899562,-0.61759290649843,-16.5570057145019,-1.97194236213454,-2.82393165451504,9.48675437607153,-5.54530241088742,-15.204821545603,-8.81227923065035,17.3335892233526,-13.579219077847,-18.4269629276441
,4,-8.26661914107444,-14.1686451781957,-12.1202678803106,-12.9804165130745,-18.1665131032178,-13.6233957678596,-25.0245296013513,-21.0418542776852,-10.1363537117008,-14.0565114939773,-21.4984857064569,-9.49195253483776,-8.78273233849222,-23.1004438576078,-12.275003600917,-5.574987900824,-4.38890222273403,2.71417834635849,-10.651446620207,0.178805997859399,-15.3569653759187,-4.41374276053602,-14.1708508760448,-11.0339107177374,-4.83256540466391,-12.4800717775038,-10.1825192362089,-10.1140653130651,-16.4032017646005,-12.2421679711506,-16.7517716593993,-15.9536610174641,-11.315849666008,-16.051351502023,-14.4837933397639,-8.17599279703836,-4.60381162516978,-3.1063789677446,-4.89154148212356,-15.8455442984555,-11.7651776925359,-9.07472025607012,-14.1174405439501,1.75358079452189,2.86965122477386,-12.8675639429302,1.02945375623312,-0.613005682970197,2.57316942127545,-3.90466689307232,-11.6990793870809,-5.81059354767831,23.1114522978014,-11.4260970971895,-15.2378207995844
,5,-0.698858013186964,-8.39401471954079,-9.33756369729463,-9.35660581117963,-18.8330262062855,-12.3819784924763,-12.5901009679651,-15.6828069814428,-5.21470144283921,-7.65630756165137,-16.7299859647342,-5.26067567049358,-0.514044245835521,-17.4729089349262,-9.50578489227655,-0.670614076446327,-2.5774848725805,3.4407285723637,-10.8603970013064,-3.24661827088858,-13.5285121194679,-2.70394336924892,-2.21682659367571,-2.11342827170574,-0.216979433233519,-3.26391692083098,-9.10913864412805,-9.44643766136869,-8.51337501294529,-5.31546016358152,-12.1951596529507,-10.3105368161432,-6.53236800926288,-10.415594940001,-7.86017145005553,-6.60176690685967,-3.58109477734206,-1.3107428876865,-4.75493504385395,-13.8169766988672,-11.0228347710636,-6.24374261493813,-9.13307873256599,2.59274394185377,0.731071152745244,-7.69653694104409,-2.39983794484669,-1.2274139875376,6.76348104395402,-3.07325457673824,-2.77487431120608,-5.75126293322137,31.2633801347115,-5.29077651706984,-7.24091852678794
,6,0.0560801421615906,-3.16725458337442,-5.96918002569464,-2.30627821738381,-9.5561641568188,-6.27248106219849,-8.58915794860422,-4.86547865439206,1.25684683917689,-6.10310840411557,-11.7156243469808,-4.66376952047767,2.00015754450897,-13.8054623466151,-2.31044687784788,-2.53849018719029,-4.47249008996641,4.22906656488476,-4.4350640186517,-1.31884469801298,-9.67322795856944,2.55179372920975,2.08467407503395,2.63210718512846,-1.38128840066111,-5.93880667462327,-4.7220281104369,-9.95686039247448,-5.66135812178345,-2.89703482357345,-5.69019476087942,-4.48159859196903,0.0358083421774609,-5.71532938070504,-1.05789050643989,-2.37404086897823,1.57209830228703,3.49002647724319,-2.50981195346412,-8.90811020739329,-6.58791616414419,-1.18416619321761,-5.36494169335674,-0.476777782208046,2.07643306632144,-5.76141000322605,1.82007211055225,2.25852553969162,1.80435263646132,0.777098582102553,-3.70362497312453,-4.2489237291702,34.318958808281,-1.74926929409412,-6.29532945530491
,7,1.25137135148543,-1.88921055201308,-2.77162073750878,-3.83541284044259,-6.21319565044905,-3.39861167710887,-8.70736872227235,-3.53424375695022,0.0413036553241,-3.22105232690319,-9.41421251076827,-1.01868585561306,0.268918049584954,-9.59847083331397,-2.17427312188511,-1.01682395862463,-4.64229625641974,0.48645404866329,-2.99080802844355,1.46846510686373,-5.48423438139116,1.09343150920904,-0.909243898577643,3.15306283526979,-1.25950922382572,-0.166156279051847,-4.74892601013198,-2.37913751199721,-0.944839341502302,-1.30237830359283,-13.7879314462116,-3.64461396736897,-0.287871395161801,0.901244838327329,-3.78677197384968,-1.04687213541729,-1.8466213710285,0.149495421367646,-2.03651623505721,-3.31177431750302,-6.55316698542947,6.48860196036594,-7.77108435556693,-1.62681786788244,-0.459273099972506,-5.02200431045003,1.63107111759109,0.165824561817317,4.1177721541344,-4.29409027684687,2.08438616718604,-0.715985340079897,37.7610024065184,-1.28254010989212,-6.51162611062773
,8,2.61402480729021,0.561792252623036,-4.3443064672706,-3.27502008136435,-2.48735665835466,-3.02050918978694,-1.2610123593704,-3.85782501075073,0.3536764270807,-2.43949062404727,-2.77035921678635,1.79489821079278,2.80731886698823,-7.88140409494099,0.347636077341576,-0.524756550036727,-0.986107007182454,-2.19275058303901,0.149121588538947,0.0588219531482537,-5.62354769953345,1.52129257239949,0.115561839272686,4.3702487909768,4.44904983167726,2.43566103435478,-4.65946218150111,2.37996545801843,1.1519412340449,-1.01674234339544,-4.82157357216875,-1.96167654380224,1.31315941035245,0.111115414334108,1.01557040431453,-0.571027817155482,1.96971985645132,3.67157462380464,-2.09771243082378,-0.355695532358368,-0.654002659866819,7.97701946428742,-3.34979896677305,2.52920906629015,-0.179533482286388,-4.42656915191401,-2.06312598437307,0.681621331707902,3.29173789324523,0.143034616007299,-1.20264058502971,1.25049596735016,41.4992447783402,-0.0631741804063495,-3.79256042353063
,9,3.17646927955366,-1.43936077354874,2.37612535324388,-1.70266202190078,-2.37464185341787,1.29197652355469,0.515658192089177,0.581056649093625,2.08767996740698,1.10115533918997,-5.20198911791385,4.18804045364368,4.50748476219906,-8.68077810216391,2.90071721985078,2.06538353368342,0.0702112181916164,-1.42512572495662,-2.14900516691614,2.65989085678211,-4.63627140762674,0.154309696778,2.62252323398479,2.87121795935127,7.8440410200019,3.7253979571542,-1.39046834064311,6.19638997814718,5.26839331639985,1.2227909552721,-1.61699064515142,0.348312257821362,0.688841005837276,0.280027103270641,3.16443662220127,-1.6068319101405,-0.521466669122219,-0.78883741233858,1.5322519996198,4.8188231867598,-4.83594866026488,4.89465267683363,3.00350246851576,4.0831585294045,2.69347468123669,-3.72088897493177,4.21704037705149,2.33253645228388,2.72026082162984,-0.953943371403511,-1.12386030238076,2.85025454197921,40.7126750675402,3.70150291149957,1.57967134322598
,10,2.26281249502154,2.72679798389845,0.0249682724361264,1.85723445307849,-0.798843363703782,-0.730542223664543,-0.346066737909496,5.78826660205459,2.96335357189128,-0.202377973792863,-1.59717791075491,2.68794752048734,3.80139537336072,-7.8494872849692,7.40018993401782,3.21739526436431,0.0160957289695034,0.287183179945259,-2.33630200013431,3.9147089748808,-1.46715899100764,3.98407815774408,4.79708086460914,1.35554666614098,2.8457611239769,1.51037347043484,0.844910903263099,5.0430652039272,7.73780152721974,2.97376485835957,-0.672194529683111,-0.520429299123862,4.562023432964,0.00683228583102391,1.83233852305011,3.29243375741225,0.738337061427501,2.0554473514303,6.00036416173725,1.00135034772575,-4.10688703894311,2.94653853461962,0.429375433263431,0.24437201074079,4.46916492058563,0.0983773540542643,-1.07870331913318,-0.822579917003168,-1.05406437313741,2.80781515277386,2.44466887454973,5.75269167596207,45.5973848038316,4.83861183788758,1.00372319942198
