,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,ROX,,Unkn,014-1,,10.7651478157434,10.7651478157434,0,NaN,NaN,NaN,0,72,
,A02,ROX,,Unkn,014-2,,20.4361007892613,20.4361007892613,0,NaN,NaN,NaN,0,72,
,A03,ROX,,Unkn,048-1,,26.4135697514463,26.4135697514463,0,NaN,NaN,NaN,0,72,
,A04,ROX,,Unkn,048-2,,16.5744955851661,16.5744955851661,0,NaN,NaN,NaN,0,72,
,A05,ROX,,Unkn,Blank,,12.8681902924091,12.8681902924091,0,NaN,NaN,NaN,0,72,
,A06,ROX,,Unkn,001-1,,16.0263056080526,16.0263056080526,0,NaN,NaN,NaN,0,72,
,A07,ROX,,Unkn,001-2,,11.6336730727728,11.6336730727728,0,NaN,NaN,NaN,0,72,
,A08,ROX,,Unkn,001-3,,9.953699258247,9.953699258247,0,NaN,NaN,NaN,0,72,
,A09,ROX,,Unkn,001-4,,22.9770741777549,22.9770741777549,0,NaN,NaN,NaN,0,72,
,A10,ROX,,Unkn,001-5,,12.920033800028,12.920033800028,0,NaN,NaN,NaN,0,72,
,B01,ROX,,Unkn,009-1,,22.9710231024764,22.9710231024764,0,NaN,NaN,NaN,0,72,
,B02,ROX,,Unkn,009-2,,14.13924429812,14.13924429812,0,NaN,NaN,NaN,0,72,
,B03,ROX,,Unkn,009-3,,10.3360818361594,10.3360818361594,0,NaN,NaN,NaN,0,72,
,B04,ROX,,Unkn,009-4,,19.8739323778514,19.8739323778514,0,NaN,NaN,NaN,0,72,
,B05,ROX,,Unkn,009-5,,9.58816929605673,9.58816929605673,0,NaN,NaN,NaN,0,72,
,B06,ROX,,Unkn,015-1,,NaN,0,0,NaN,NaN,0,0,72,
,B07,ROX,,Unkn,015-2,,21.7458858169131,21.7458858169131,0,NaN,NaN,NaN,0,72,
,B08,ROX,,Unkn,015-3,,NaN,0,0,NaN,NaN,0,0,72,
,B09,ROX,,Unkn,015-4,,23.7354043081031,23.7354043081031,0,NaN,NaN,NaN,0,72,
,B10,ROX,,Unkn,015-5,,NaN,0,0,NaN,NaN,0,0,72,
,C01,ROX,,Unkn,052-1,,18.2867387607997,18.2867387607997,0,NaN,NaN,NaN,0,72,
,C02,ROX,,Unkn,052-2,,NaN,0,0,NaN,NaN,0,0,72,
,C03,ROX,,Unkn,052-3,,18.56421204385,18.56421204385,0,NaN,NaN,NaN,0,72,
,C04,ROX,,Unkn,052-4,,16.496169263795,16.496169263795,0,NaN,NaN,NaN,0,72,
,C05,ROX,,Unkn,052-5,,39.9945378673616,39.9945378673616,0,NaN,NaN,NaN,0,72,
,C06,ROX,,Unkn,065-1,,10.8727662704918,10.8727662704918,0,NaN,NaN,NaN,0,72,
,C07,ROX,,Unkn,065-2,,19.9708587187422,19.9708587187422,0,NaN,NaN,NaN,0,72,
,C08,ROX,,Unkn,065-3,,10.1206119184695,10.1206119184695,0,NaN,NaN,NaN,0,72,
,C09,ROX,,Unkn,065-4,,9.11289166414348,9.11289166414348,0,NaN,NaN,NaN,0,72,
,C10,ROX,,Unkn,065-5,,19.5518970250605,19.5518970250605,0,NaN,NaN,NaN,0,72,
,D01,ROX,,Unkn,076-1,,16.7469370104402,16.7469370104402,0,NaN,NaN,NaN,0,72,
,D02,ROX,,Unkn,076-2,,13.9903964883528,13.9903964883528,0,NaN,NaN,NaN,0,72,
,D03,ROX,,Unkn,076-3,,15.9358471428044,15.9358471428044,0,NaN,NaN,NaN,0,72,
,D04,ROX,,Unkn,076-4,,27.9890493726395,27.9890493726395,0,NaN,NaN,NaN,0,72,
,D05,ROX,,Unkn,076-5,,15.5735155094198,15.5735155094198,0,NaN,NaN,NaN,0,72,
,D06,ROX,,Unkn,077-1,,27.7615199727249,27.7615199727249,0,NaN,NaN,NaN,0,72,
,D07,ROX,,Unkn,077-2,,20.9709030392265,20.9709030392265,0,NaN,NaN,NaN,0,72,
,D08,ROX,,Unkn,077-3,,NaN,0,0,NaN,NaN,0,0,72,
,D09,ROX,,Unkn,077-4,,9.89857120266345,9.89857120266345,0,NaN,NaN,NaN,0,72,
,D10,ROX,,Unkn,077-5,,NaN,0,0,NaN,NaN,0,0,72,
,E01,ROX,,Unkn,096-1,,20.4226617098502,20.4226617098502,0,NaN,NaN,NaN,0,72,
,E02,ROX,,Unkn,096-2,,6.87730203457831,6.87730203457831,0,NaN,NaN,NaN,0,72,
,E03,ROX,,Unkn,096-3,,NaN,0,0,NaN,NaN,0,0,72,
,E04,ROX,,Unkn,096-4,,38.751266439473,38.751266439473,0,NaN,NaN,NaN,0,72,
,E05,ROX,,Unkn,096-5,,39.8448081243908,39.8448081243908,0,NaN,NaN,NaN,0,72,
,E06,ROX,,Unkn,103-1,,14.8521197892654,14.8521197892654,0,NaN,NaN,NaN,0,72,
,E07,ROX,,Unkn,103-2,,NaN,0,0,NaN,NaN,0,0,72,
,E08,ROX,,Unkn,103-3,,NaN,0,0,NaN,NaN,0,0,72,
,E09,ROX,,Unkn,103-4,,35.5573965361828,35.5573965361828,0,NaN,NaN,NaN,0,72,
,E10,ROX,,Unkn,103-5,,23.7512730093439,23.7512730093439,0,NaN,NaN,NaN,0,72,
,E11,ROX,,Unkn,107-4,,19.2160856256215,19.2160856256215,0,NaN,NaN,NaN,0,72,
,E12,ROX,,Unkn,107-5,,22.7300475696827,22.7300475696827,0,NaN,NaN,NaN,0,72,
,F01,ROX,,Unkn,107-1,,NaN,0,0,NaN,NaN,0,0,72,
,F02,ROX,,Unkn,107-2,,NaN,0,0,NaN,NaN,0,0,72,
,F03,ROX,,Unkn,107-3,,10.678506302351,10.678506302351,0,NaN,NaN,NaN,0,72,
,A01,SYBR,,Unkn,014-1,,18.6526630350258,18.6526630350258,0,NaN,NaN,NaN,0,72,
,A02,SYBR,,Unkn,014-2,,18.4466189326829,18.4466189326829,0,NaN,NaN,NaN,0,72,
,A03,SYBR,,Unkn,048-1,,17.135419343828,17.135419343828,0,NaN,NaN,NaN,0,72,
,A04,SYBR,,Unkn,048-2,,17.0089910420915,17.0089910420915,0,NaN,NaN,NaN,0,72,
,A05,SYBR,,Unkn,Blank,,NaN,0,0,NaN,NaN,0,0,72,
,A06,SYBR,,Unkn,001-1,,22.1415950126633,22.1415950126633,0,NaN,NaN,NaN,0,72,
,A07,SYBR,,Unkn,001-2,,22.3240297491831,22.3240297491831,0,NaN,NaN,NaN,0,72,
,A08,SYBR,,Unkn,001-3,,22.3903148574691,22.3903148574691,0,NaN,NaN,NaN,0,72,
,A09,SYBR,,Unkn,001-4,,22.1756082520761,22.1756082520761,0,NaN,NaN,NaN,0,72,
