,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
A,Sample,014-1,014-2,048-1,048-2,Blank,001-1,001-2,001-3,001-4,001-5,,
A,Cq,10.7651478157434,20.4361007892613,26.4135697514463,16.5744955851661,12.8681902924091,16.0263056080526,11.6336730727728,9.953699258247,22.9770741777549,12.920033800028,,
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
B,Sample,009-1,009-2,009-3,009-4,009-5,015-1,015-2,015-3,015-4,015-5,,
B,Cq,22.9710231024764,14.13924429812,10.3360818361594,19.8739323778514,9.58816929605673,NaN,21.7458858169131,NaN,23.7354043081031,NaN,,
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
C,Sample,052-1,052-2,052-3,052-4,052-5,065-1,065-2,065-3,065-4,065-5,,
C,Cq,18.2867387607997,NaN,18.56421204385,16.496169263795,39.9945378673616,10.8727662704918,19.9708587187422,10.1206119184695,9.11289166414348,19.5518970250605,,
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
D,Sample,076-1,076-2,076-3,076-4,076-5,077-1,077-2,077-3,077-4,077-5,,
D,Cq,16.7469370104402,13.9903964883528,15.9358471428044,27.9890493726395,15.5735155094198,27.7615199727249,20.9709030392265,NaN,9.89857120266345,NaN,,
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,096-1,096-2,096-3,096-4,096-5,103-1,103-2,103-3,103-4,103-5,107-4,107-5
E,Cq,20.4226617098502,6.87730203457831,NaN,38.751266439473,39.8448081243908,14.8521197892654,NaN,NaN,35.5573965361828,23.7512730093439,19.2160856256215,22.7300475696827
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,,,,,,,,,
F,Sample,107-1,107-2,107-3,,,,,,,,,
F,Cq,NaN,NaN,10.678506302351,,,,,,,,,
F,copy number,NaN,NaN,NaN,,,,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,copy number,,,,,,,,,,,,
