,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
A,Sample,014-1,014-2,048-1,048-2,Blank,001-1,001-2,001-3,001-4,001-5,,
A,Cq,18.6526630350258,18.4466189326829,17.135419343828,17.0089910420915,NaN,22.1415950126633,22.3240297491831,22.3903148574691,22.1756082520761,22.1077302272284,,
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
B,Sample,009-1,009-2,009-3,009-4,009-5,015-1,015-2,015-3,015-4,015-5,,
B,Cq,18.7485227862353,19.0964358984885,19.1696343769236,19.1859405246469,18.8835294031505,23.5087638363358,23.1981908465234,23.2621516286552,23.120243841149,23.1335833073044,,
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
C,Sample,052-1,052-2,052-3,052-4,052-5,065-1,065-2,065-3,065-4,065-5,,
C,Cq,20.0277988129839,19.7602968560763,19.9534853760574,20.0340172173398,20.038679608266,18.4417336226882,18.6387829904508,18.4698463081113,18.5740373457335,18.5454370787486,,
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,
D,Sample,076-1,076-2,076-3,076-4,076-5,077-1,077-2,077-3,077-4,077-5,,
D,Cq,21.2012504476391,21.5300037242539,21.4789576435603,21.6569815579046,21.6320200654426,18.4951525733168,18.4043609684408,18.5870643084126,18.9585341847926,18.6143818408387,,
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,096-1,096-2,096-3,096-4,096-5,103-1,103-2,103-3,103-4,103-5,107-4,107-5
E,Cq,18.7588021011736,18.8191715447433,19.0801170312116,19.0727774498493,18.9966755340288,20.4287867921796,20.2497474327085,20.5305580206247,20.5676737511569,20.2628017981908,20.8087500748074,21.0424803802583
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,,,,,,,,,
F,Sample,107-1,107-2,107-3,,,,,,,,,
F,Cq,20.5863196128672,21.062622830847,21.1322657398191,,,,,,,,,
F,copy number,NaN,NaN,NaN,,,,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,copy number,,,,,,,,,,,,
