,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,014-1,10.7651478157434,NaN
,A02,ROX,,Unkn,014-2,20.4361007892613,NaN
,A03,ROX,,Unkn,048-1,26.4135697514463,NaN
,A04,ROX,,Unkn,048-2,16.5744955851661,NaN
,A05,ROX,,Unkn,Blank,12.8681902924091,NaN
,A06,ROX,,Unkn,001-1,16.0263056080526,NaN
,A07,ROX,,Unkn,001-2,11.6336730727728,NaN
,A08,ROX,,Unkn,001-3,9.953699258247,NaN
,A09,ROX,,Unkn,001-4,22.9770741777549,NaN
,A10,ROX,,Unkn,001-5,12.920033800028,NaN
,B01,ROX,,Unkn,009-1,22.9710231024764,NaN
,B02,ROX,,Unkn,009-2,14.13924429812,NaN
,B03,ROX,,Unkn,009-3,10.3360818361594,NaN
,B04,ROX,,Unkn,009-4,19.8739323778514,NaN
,B05,ROX,,Unkn,009-5,9.58816929605673,NaN
,B06,ROX,,Unkn,015-1,NaN,NaN
,B07,ROX,,Unkn,015-2,21.7458858169131,NaN
,B08,ROX,,Unkn,015-3,NaN,NaN
,B09,ROX,,Unkn,015-4,23.7354043081031,NaN
,B10,ROX,,Unkn,015-5,NaN,NaN
,C01,ROX,,Unkn,052-1,18.2867387607997,NaN
,C02,ROX,,Unkn,052-2,NaN,NaN
,C03,ROX,,Unkn,052-3,18.56421204385,NaN
,C04,ROX,,Unkn,052-4,16.496169263795,NaN
,C05,ROX,,Unkn,052-5,39.9945378673616,NaN
,C06,ROX,,Unkn,065-1,10.8727662704918,NaN
,C07,ROX,,Unkn,065-2,19.9708587187422,NaN
,C08,ROX,,Unkn,065-3,10.1206119184695,NaN
,C09,ROX,,Unkn,065-4,9.11289166414348,NaN
,C10,ROX,,Unkn,065-5,19.5518970250605,NaN
,D01,ROX,,Unkn,076-1,16.7469370104402,NaN
,D02,ROX,,Unkn,076-2,13.9903964883528,NaN
,D03,ROX,,Unkn,076-3,15.9358471428044,NaN
,D04,ROX,,Unkn,076-4,27.9890493726395,NaN
,D05,ROX,,Unkn,076-5,15.5735155094198,NaN
,D06,ROX,,Unkn,077-1,27.7615199727249,NaN
,D07,ROX,,Unkn,077-2,20.9709030392265,NaN
,D08,ROX,,Unkn,077-3,NaN,NaN
,D09,ROX,,Unkn,077-4,9.89857120266345,NaN
,D10,ROX,,Unkn,077-5,NaN,NaN
,E01,ROX,,Unkn,096-1,20.4226617098502,NaN
,E02,ROX,,Unkn,096-2,6.87730203457831,NaN
,E03,ROX,,Unkn,096-3,NaN,NaN
,E04,ROX,,Unkn,096-4,38.751266439473,NaN
,E05,ROX,,Unkn,096-5,39.8448081243908,NaN
,E06,ROX,,Unkn,103-1,14.8521197892654,NaN
,E07,ROX,,Unkn,103-2,NaN,NaN
,E08,ROX,,Unkn,103-3,NaN,NaN
,E09,ROX,,Unkn,103-4,35.5573965361828,NaN
,E10,ROX,,Unkn,103-5,23.7512730093439,NaN
,E11,ROX,,Unkn,107-4,19.2160856256215,NaN
,E12,ROX,,Unkn,107-5,22.7300475696827,NaN
,F01,ROX,,Unkn,107-1,NaN,NaN
,F02,ROX,,Unkn,107-2,NaN,NaN
,F03,ROX,,Unkn,107-3,10.678506302351,NaN
,A01,SYBR,,Unkn,014-1,18.6526630350258,NaN
,A02,SYBR,,Unkn,014-2,18.4466189326829,NaN
,A03,SYBR,,Unkn,048-1,17.135419343828,NaN
,A04,SYBR,,Unkn,048-2,17.0089910420915,NaN
,A05,SYBR,,Unkn,Blank,NaN,NaN
,A06,SYBR,,Unkn,001-1,22.1415950126633,NaN
,A07,SYBR,,Unkn,001-2,22.3240297491831,NaN
,A08,SYBR,,Unkn,001-3,22.3903148574691,NaN
,A09,SYBR,,Unkn,001-4,22.1756082520761,NaN
,A10,SYBR,,Unkn,001-5,22.1077302272284,NaN
,B01,SYBR,,Unkn,009-1,18.7485227862353,NaN
,B02,SYBR,,Unkn,009-2,19.0964358984885,NaN
,B03,SYBR,,Unkn,009-3,19.1696343769236,NaN
,B04,SYBR,,Unkn,009-4,19.1859405246469,NaN
,B05,SYBR,,Unkn,009-5,18.8835294031505,NaN
,B06,SYBR,,Unkn,015-1,23.5087638363358,NaN
,B07,SYBR,,Unkn,015-2,23.1981908465234,NaN
,B08,SYBR,,Unkn,015-3,23.2621516286552,NaN
,B09,SYBR,,Unkn,015-4,23.120243841149,NaN
,B10,SYBR,,Unkn,015-5,23.1335833073044,NaN
,C01,SYBR,,Unkn,052-1,20.0277988129839,NaN
,C02,SYBR,,Unkn,052-2,19.7602968560763,NaN
,C03,SYBR,,Unkn,052-3,19.9534853760574,NaN
,C04,SYBR,,Unkn,052-4,20.0340172173398,NaN
,C05,SYBR,,Unkn,052-5,20.038679608266,NaN
,C06,SYBR,,Unkn,065-1,18.4417336226882,NaN
,C07,SYBR,,Unkn,065-2,18.6387829904508,NaN
,C08,SYBR,,Unkn,065-3,18.4698463081113,NaN
,C09,SYBR,,Unkn,065-4,18.5740373457335,NaN
,C10,SYBR,,Unkn,065-5,18.5454370787486,NaN
,D01,SYBR,,Unkn,076-1,21.2012504476391,NaN
,D02,SYBR,,Unkn,076-2,21.5300037242539,NaN
,D03,SYBR,,Unkn,076-3,21.4789576435603,NaN
,D04,SYBR,,Unkn,076-4,21.6569815579046,NaN
,D05,SYBR,,Unkn,076-5,21.6320200654426,NaN
,D06,SYBR,,Unkn,077-1,18.4951525733168,NaN
,D07,SYBR,,Unkn,077-2,18.4043609684408,NaN
,D08,SYBR,,Unkn,077-3,18.5870643084126,NaN
,D09,SYBR,,Unkn,077-4,18.9585341847926,NaN
,D10,SYBR,,Unkn,077-5,18.6143818408387,NaN
,E01,SYBR,,Unkn,096-1,18.7588021011736,NaN
,E02,SYBR,,Unkn,096-2,18.8191715447433,NaN
,E03,SYBR,,Unkn,096-3,19.0801170312116,NaN
,E04,SYBR,,Unkn,096-4,19.0727774498493,NaN
,E05,SYBR,,Unkn,096-5,18.9966755340288,NaN
,E06,SYBR,,Unkn,103-1,20.4287867921796,NaN
,E07,SYBR,,Unkn,103-2,20.2497474327085,NaN
,E08,SYBR,,Unkn,103-3,20.5305580206247,NaN
,E09,SYBR,,Unkn,103-4,20.5676737511569,NaN
,E10,SYBR,,Unkn,103-5,20.2628017981908,NaN
,E11,SYBR,,Unkn,107-4,20.8087500748074,NaN
,E12,SYBR,,Unkn,107-5,21.0424803802583,NaN
,F01,SYBR,,Unkn,107-1,20.5863196128672,NaN
,F02,SYBR,,Unkn,107-2,21.062622830847,NaN
,F03,SYBR,,Unkn,107-3,21.1322657398191,NaN
