,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,ROX,,Unkn,019-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A02,ROX,,Unkn,019-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A03,ROX,,Unkn,024-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A04,ROX,,Unkn,024-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A05,ROX,,Unkn,Blank,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A06,ROX,,Unkn,062-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A07,ROX,,Unkn,062-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A08,ROX,,Unkn,062-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B01,ROX,,Unkn,062-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B02,ROX,,Unkn,062-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B03,ROX,,Unkn,064-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B04,ROX,,Unkn,064-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B05,ROX,,Unkn,064-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B06,ROX,,Unkn,064-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B07,ROX,,Unkn,064-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B08,ROX,,Unkn,065-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C01,ROX,,Unkn,065-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C02,ROX,,Unkn,065-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C03,ROX,,Unkn,065-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C04,ROX,,Unkn,065-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C05,ROX,,Unkn,067-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C06,ROX,,Unkn,067-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C07,ROX,,Unkn,067-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C08,ROX,,Unkn,067-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D01,ROX,,Unkn,067-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D02,ROX,,Unkn,073-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D03,ROX,,Unkn,073-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D04,ROX,,Unkn,073-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D05,ROX,,Unkn,073-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D06,ROX,,Unkn,073-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D07,ROX,,Unkn,084-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D08,ROX,,Unkn,084-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E01,ROX,,Unkn,084-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E02,ROX,,Unkn,084-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E03,ROX,,Unkn,084-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E04,ROX,,Unkn,089-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E05,ROX,,Unkn,089-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E06,ROX,,Unkn,089-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E07,ROX,,Unkn,089-4,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E08,ROX,,Unkn,089-5,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F01,ROX,,Unkn,124-1,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F02,ROX,,Unkn,124-2,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F03,ROX,,Unkn,124-3,,,0.00,0.000,,,0.00000,0.00000,72.0,
