,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A02,SYBR,,Unkn,019-1,454.952216569909,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,019-2,441.572522863626,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,024-1,459.767547492257,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,024-2,413.660808526961,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,Blank,261.5602431096,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,016-1,455.592120295666,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,016-2,379.68427250982,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,016-3,458.387882727453,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,016-4,357.413843918185,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,016-5,377.388908643305,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,017-1,475.512108978687,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,017-2,427.377325311499,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,017-3,436.669034981627,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,017-4,413.26864263329,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,017-5,412.184655558905,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,020-1,484.067915018547,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,020-2,333.801047195902,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,020-3,443.852118624355,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,020-4,422.80309705868,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,020-5,421.978359876163,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,027-1,396.849536551391,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,027-2,562.419758452103,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,027-3,450.827556702776,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,027-4,444.136336605937,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,027-5,337.969981625157,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,029-1,464.933445290879,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,029-2,492.436226888589,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,029-3,457.212031257398,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,029-4,517.753900704394,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,029-5,511.45072349456,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,035-1,431.670444090338,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,035-2,440.389994702067,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,035-3,385.514461664033,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,035-4,492.854090992821,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,035-5,509.3063651833,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,079-1,467.261825795027,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,079-2,445.598726663632,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,079-3,470.929902721799,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,079-4,519.726073686225,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,079-5,486.090230063243,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,083-1,318.502011334019,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,083-2,494.517168863623,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,083-3,506.289885449546,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,083-4,502.263608027527,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,083-5,469.109835439477,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,085-1,502.609424125619,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,085-2,493.578381172395,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,085-3,468.793219943384,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,085-4,360.295193391344,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,085-5,470.760102030721,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,090-1,592.399086742362,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,090-2,532.094740664254,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,090-3,424.464801550007,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,090-4,457.320360262328,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,090-5,488.044674426703,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,109-1,458.453597970738,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,109-2,300.653189930438,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,109-3,459.069858780626,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,109-4,371.503115385793,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,109-5,349.933729690899,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,Blank,182.342192992041,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,019-3,423.977050616584,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,024-3,235.307503313971,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,,-0.687021906871269,,Unknown,Unassigned,False
