,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
A,Sample,,019-1,019-2,019-3,Blank,022-1,022-2,022-3,022-4,,,
A,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
A,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
B,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
B,Sample,,022-5,032-1,032-2,032-3,032-4,032-5,042-1,042-2,,,
B,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
B,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
C,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
C,Sample,,042-3,042-4,042-5,044-1,044-2,044-3,044-4,044-5,,,
C,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
C,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
D,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
D,Sample,,045-1,045-2,045-3,045-4,045-5,099-1,099-2,099-3,,,
D,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
D,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
E,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
E,Sample,,099-4,099-5,100-1,100-2,100-3,100-4,100-5,114-1,,,
E,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
E,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
F,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
F,Sample,,114-2,114-3,114-4,114-5,116-1,116-2,116-3,116-4,,,
F,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
F,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
G,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
G,Sample,,116-5,117-1,117-2,117-3,117-4,117-5,121-1,121-2,,,
G,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
G,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
H,Sample,,121-3,121-4,121-5,122-1,122-2,122-3,122-4,122-5,,,
H,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
