Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,ROX,,Unkn,007-1,N/A,N/A
A02,ROX,,Unkn,007-2,N/A,N/A
A03,ROX,,Unkn,007-3,N/A,N/A
A04,ROX,,Unkn,007-4,N/A,N/A
A05,ROX,,Unkn,007-5,N/A,N/A
A06,ROX,,Unkn,Blank,N/A,N/A
A07,ROX,,Unkn,008-1,N/A,N/A
A08,ROX,,Unkn,008-2,N/A,N/A
B01,ROX,,Unkn,008-3,N/A,N/A
B02,ROX,,Unkn,008-4,N/A,N/A
B03,ROX,,Unkn,008-5,N/A,N/A
B04,ROX,,Unkn,011-1,N/A,N/A
B05,ROX,,Unkn,011-2,N/A,N/A
B06,ROX,,Unkn,011-3,N/A,N/A
B07,ROX,,Unkn,011-4,N/A,N/A
B08,ROX,,Unkn,011-5,N/A,N/A
C01,ROX,,Unkn,026-1,N/A,N/A
C02,ROX,,Unkn,026-2,N/A,N/A
C03,ROX,,Unkn,026-3,N/A,N/A
C04,ROX,,Unkn,026-4,N/A,N/A
C05,ROX,,Unkn,026-5,N/A,N/A
C06,ROX,,Unkn,028-1,N/A,N/A
C07,ROX,,Unkn,028-2,N/A,N/A
C08,ROX,,Unkn,028-3,N/A,N/A
D01,ROX,,Unkn,028-4,N/A,N/A
D02,ROX,,Unkn,028-5,N/A,N/A
D03,ROX,,Unkn,030-1,N/A,N/A
D04,ROX,,Unkn,030-2,N/A,N/A
D05,ROX,,Unkn,030-3,N/A,N/A
D06,ROX,,Unkn,030-4,N/A,N/A
D07,ROX,,Unkn,030-5,N/A,N/A
D08,ROX,,Unkn,034-1,N/A,N/A
E01,ROX,,Unkn,034-2,N/A,N/A
E02,ROX,,Unkn,034-3,N/A,N/A
E03,ROX,,Unkn,034-4,N/A,N/A
E04,ROX,,Unkn,034-5,N/A,N/A
E05,ROX,,Unkn,051-1,N/A,N/A
E06,ROX,,Unkn,051-2,N/A,N/A
E07,ROX,,Unkn,051-3,N/A,N/A
E08,ROX,,Unkn,051-4,N/A,N/A
F01,ROX,,Unkn,051-5,N/A,N/A
F02,ROX,,Unkn,077-1,N/A,N/A
F03,ROX,,Unkn,077-2,N/A,N/A
F04,ROX,,Unkn,077-3,N/A,N/A
F05,ROX,,Unkn,077-4,N/A,N/A
F06,ROX,,Unkn,077-5,N/A,N/A
F07,ROX,,Unkn,096-1,N/A,N/A
F08,ROX,,Unkn,096-2,N/A,N/A
G01,ROX,,Unkn,096-3,N/A,N/A
G02,ROX,,Unkn,096-4,N/A,N/A
G03,ROX,,Unkn,096-5,N/A,N/A
G04,ROX,,Unkn,103-1,N/A,N/A
G05,ROX,,Unkn,103-2,N/A,N/A
G06,ROX,,Unkn,103-3,N/A,N/A
G07,ROX,,Unkn,103-4,N/A,N/A
G08,ROX,,Unkn,103-5,N/A,N/A
H01,ROX,,Unkn,107-1,N/A,N/A
H02,ROX,,Unkn,107-2,N/A,N/A
H03,ROX,,Unkn,107-3,N/A,N/A
H04,ROX,,Unkn,107-4,N/A,N/A
H05,ROX,,Unkn,107-5,N/A,N/A
H06,ROX,,Unkn,019-1,N/A,N/A
H07,ROX,,Unkn,019-2,N/A,N/A
H08,ROX,,Unkn,019-3,N/A,N/A
A01,SYBR,,Unkn,007-1,14.69,N/A
A02,SYBR,,Unkn,007-2,14.45,N/A
A03,SYBR,,Unkn,007-3,14.57,N/A
A04,SYBR,,Unkn,007-4,14.36,N/A
A05,SYBR,,Unkn,007-5,14.34,N/A
A06,SYBR,,Unkn,Blank,37.55,N/A
A07,SYBR,,Unkn,008-1,14.96,N/A
A08,SYBR,,Unkn,008-2,15.06,N/A
B01,SYBR,,Unkn,008-3,15.02,N/A
B02,SYBR,,Unkn,008-4,14.65,N/A
B03,SYBR,,Unkn,008-5,15.04,N/A
B04,SYBR,,Unkn,011-1,13.55,N/A
B05,SYBR,,Unkn,011-2,13.58,N/A
B06,SYBR,,Unkn,011-3,13.71,N/A
B07,SYBR,,Unkn,011-4,13.72,N/A
B08,SYBR,,Unkn,011-5,13.99,N/A
C01,SYBR,,Unkn,026-1,14.29,N/A
C02,SYBR,,Unkn,026-2,14.31,N/A
C03,SYBR,,Unkn,026-3,14.41,N/A
C04,SYBR,,Unkn,026-4,14.51,N/A
C05,SYBR,,Unkn,026-5,14.46,N/A
C06,SYBR,,Unkn,028-1,14.91,N/A
C07,SYBR,,Unkn,028-2,15.35,N/A
C08,SYBR,,Unkn,028-3,15.08,N/A
D01,SYBR,,Unkn,028-4,15.18,N/A
D02,SYBR,,Unkn,028-5,14.69,N/A
D03,SYBR,,Unkn,030-1,14.36,N/A
D04,SYBR,,Unkn,030-2,14.38,N/A
D05,SYBR,,Unkn,030-3,14.29,N/A
D06,SYBR,,Unkn,030-4,14.30,N/A
D07,SYBR,,Unkn,030-5,14.06,N/A
D08,SYBR,,Unkn,034-1,14.30,N/A
E01,SYBR,,Unkn,034-2,14.32,N/A
E02,SYBR,,Unkn,034-3,14.11,N/A
E03,SYBR,,Unkn,034-4,14.36,N/A
E04,SYBR,,Unkn,034-5,14.13,N/A
E05,SYBR,,Unkn,051-1,14.61,N/A
E06,SYBR,,Unkn,051-2,14.60,N/A
E07,SYBR,,Unkn,051-3,14.80,N/A
E08,SYBR,,Unkn,051-4,14.81,N/A
F01,SYBR,,Unkn,051-5,15.29,N/A
F02,SYBR,,Unkn,077-1,13.43,N/A
F03,SYBR,,Unkn,077-2,13.51,N/A
F04,SYBR,,Unkn,077-3,13.24,N/A
F05,SYBR,,Unkn,077-4,13.38,N/A
F06,SYBR,,Unkn,077-5,13.97,N/A
F07,SYBR,,Unkn,096-1,13.57,N/A
F08,SYBR,,Unkn,096-2,13.98,N/A
G01,SYBR,,Unkn,096-3,13.50,N/A
G02,SYBR,,Unkn,096-4,13.04,N/A
G03,SYBR,,Unkn,096-5,13.78,N/A
G04,SYBR,,Unkn,103-1,13.27,N/A
G05,SYBR,,Unkn,103-2,13.91,N/A
G06,SYBR,,Unkn,103-3,13.63,N/A
G07,SYBR,,Unkn,103-4,13.92,N/A
G08,SYBR,,Unkn,103-5,14.25,N/A
H01,SYBR,,Unkn,107-1,15.87,N/A
H02,SYBR,,Unkn,107-2,13.96,N/A
H03,SYBR,,Unkn,107-3,14.06,N/A
H04,SYBR,,Unkn,107-4,14.19,N/A
H05,SYBR,,Unkn,107-5,14.28,N/A
H06,SYBR,,Unkn,019-1,14.94,N/A
H07,SYBR,,Unkn,019-2,14.92,N/A
H08,SYBR,,Unkn,019-3,15.35,N/A
