,Well,Sample,Call,Type,RFU1,RFU2
,A02,001-1,Allele 1,Auto,537.101664620475,3.55948413504711
,A03,001-2,Allele 1,Auto,567.026253625983,3.63742252522798
,A04,001-3,Allele 1,Auto,612.772436829868,0.508152818411872
,A05,001-4,Allele 1,Auto,593.257985095784,5.08232175652802
,A06,001-5,Allele 1,Auto,764.700939791422,3.78987208212766
,A07,Blank,Allele 1,Auto,181.573308983383,7.38609673384963
,A08,009-1,Allele 1,Auto,308.065613624378,17.2323971323585
,A09,009-2,Allele 1,Auto,404.93418349566,-14.7477621629887
,B02,009-3,Allele 1,Auto,599.328809767893,4.55334418437906
,B03,009-4,Allele 1,Auto,579.882835038616,6.10356379021778
,B04,009-5,Allele 1,Auto,613.378527267848,8.80136867931105
,B05,014-1,Allele 1,Auto,502.103634353241,5.61698053505052
,B06,014-2,Allele 1,Auto,595.555988500651,4.60498080520074
,B07,014-3,Allele 1,Auto,439.937103308344,4.82854775277156
,B08,014-4,Allele 1,Auto,609.376530503254,-0.772340923336742
,B09,014-5,Allele 1,Auto,355.334289529198,-20.6361106009317
,C02,015-1,Allele 1,Auto,612.944603042173,3.87423870202974
,C03,015-2,Allele 1,Auto,634.748211776099,3.39984633092945
,C04,015-3,Allele 1,Auto,572.62621431547,1.00923477237529
,C05,015-4,Allele 1,Auto,634.323188779661,4.9581824320212
,C06,015-5,Allele 1,Auto,741.761951441865,2.28772669560749
,C07,048-1,Allele 1,Auto,561.152067311943,5.89826134552823
,C08,048-2,Allele 1,Auto,616.920019098457,5.55340328871625
,C09,048-3,Allele 1,Auto,532.39840752532,4.32331774298655
,D02,048-4,Allele 1,Auto,572.979859769439,4.28042063553221
,D03,048-5,Allele 1,Auto,519.498974439799,2.32549348480916
,D04,049-1,Allele 1,Auto,579.744458121353,6.94967605957709
,D05,049-2,Allele 1,Auto,555.845445534964,4.19618111507771
,D06,049-3,Allele 1,Auto,591.315965612389,3.2245686134911
,D07,049-4,Allele 1,Auto,599.430021468467,5.58397426644206
,D08,049-5,Allele 1,Auto,669.121131252434,5.38317565743819
,D09,052-1,Allele 1,Auto,635.107229452229,8.42247081466439
,E02,052-2,Allele 1,Auto,687.180221545819,5.31609135095687
,E03,052-3,Allele 1,Auto,686.804944393,5.67029320290067
,E04,052-4,Allele 1,Auto,655.699896725159,4.75250237474256
,E05,052-5,Allele 1,Auto,654.901966940231,2.58215245249176
,E06,053-1,Allele 1,Auto,634.448538062504,6.48310964589928
,E07,053-2,Allele 1,Auto,611.920699577865,4.05428862941108
,E08,053-3,Allele 1,Auto,604.18651196619,1.75352771115558
,E09,053-4,Allele 1,Auto,596.755118753697,5.06694551607325
,F02,053-5,Allele 1,Auto,556.005138553406,1.53678176005678
,F03,069-1,Allele 1,Auto,580.525963110959,4.45950750672318
,F04,069-2,Allele 1,Auto,623.000908421531,4.61642320547708
,F05,069-3,Allele 1,Auto,658.643108950586,6.26389264195859
,F06,069-4,Allele 1,Auto,688.052048669866,6.19079176634068
,F07,069-5,Allele 1,Auto,643.760319344369,4.20996957190619
,F08,070-1,Allele 1,Auto,664.237173729583,5.97640584546025
,F09,070-2,Allele 1,Auto,602.891286817704,2.78607376735044
,G02,070-3,Allele 1,Auto,705.189107736481,9.67323641807479
,G03,070-4,Allele 1,Auto,642.639114225165,5.97977115884214
,G04,070-5,Allele 1,Auto,630.927796529989,5.30442819497966
,G05,076-1,Allele 1,Auto,637.923810732353,5.87743635996367
,G06,076-2,Allele 1,Auto,721.515937271164,0.437590032162461
,G07,076-3,Allele 1,Auto,631.314131086373,0.337750992198835
,G08,076-4,Allele 1,Auto,620.121932068279,2.84081344102106
,G09,076-5,Allele 1,Auto,641.701439755529,2.83716230943946
,H02,122-1,Allele 1,Auto,739.101309071758,7.24605446284841
,H03,122-2,Allele 1,Auto,571.853669833669,-3.32197301059068
,H04,122-3,Allele 1,Auto,546.387930997771,1.6849298889374
,H05,122-4,Allele 1,Auto,600.440946109514,0.687147085486231
,H06,122-5,Allele 1,Auto,603.698771335808,-2.18849257995544
,H07,019-1,Allele 1,Auto,531.682548030005,4.81444721539901
,H08,019-2,Allele 1,Auto,558.839242385055,14.4861917504809
,H09,019-3,Allele 1,Auto,329.985888560278,-1.16292424415496
