,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A02,ROX,,Unkn,001-1,2.91752451133416,,Unknown,Unassigned,False
,A03,ROX,,Unkn,001-2,1.14540940337629,,Unknown,Unassigned,False
,A04,ROX,,Unkn,001-3,0.111861859949295,,Unknown,Unassigned,False
,A05,ROX,,Unkn,001-4,3.18821373842447,,Unknown,Unassigned,False
,A06,ROX,,Unkn,001-5,0.603148854554729,,Unknown,Unassigned,False
,A07,ROX,,Unkn,Blank,5.62334917894286,,Unknown,Unassigned,False
,A08,ROX,,Unkn,009-1,15.4979149628267,,Unknown,Unassigned,False
,A09,ROX,,Unkn,009-2,-0.69341307011191,,Unknown,Unassigned,False
,B02,ROX,,Unkn,009-3,2.07556764564461,,Unknown,Unassigned,False
,B03,ROX,,Unkn,009-4,4.93591283337073,,Unknown,Unassigned,False
,B04,ROX,,Unkn,009-5,5.14484659794152,,Unknown,Unassigned,False
,B05,ROX,,Unkn,014-1,4.46377849571809,,Unknown,Unassigned,False
,B06,ROX,,Unkn,014-2,3.00646906887532,,Unknown,Unassigned,False
,B07,ROX,,Unkn,014-3,2.91292619571414,,Unknown,Unassigned,False
,B08,ROX,,Unkn,014-4,-2.48124241460155,,Unknown,Unassigned,False
,B09,ROX,,Unkn,014-5,-15.9459220699562,,Unknown,Unassigned,False
,C02,ROX,,Unkn,015-1,2.21682241810686,,Unknown,Unassigned,False
,C03,ROX,,Unkn,015-2,3.45578808163073,,Unknown,Unassigned,False
,C04,ROX,,Unkn,015-3,3.29506569006307,,Unknown,Unassigned,False
,C05,ROX,,Unkn,015-4,3.65102825630502,,Unknown,Unassigned,False
,C06,ROX,,Unkn,015-5,3.88218014144359,,Unknown,Unassigned,False
,C07,ROX,,Unkn,048-1,4.14850416655518,,Unknown,Unassigned,False
,C08,ROX,,Unkn,048-2,4.95995576193573,,Unknown,Unassigned,False
,C09,ROX,,Unkn,048-3,2.80022345846792,,Unknown,Unassigned,False
,D02,ROX,,Unkn,048-4,4.02476619828312,,Unknown,Unassigned,False
,D03,ROX,,Unkn,048-5,2.04973555127235,,Unknown,Unassigned,False
,D04,ROX,,Unkn,049-1,4.23744933471735,,Unknown,Unassigned,False
,D05,ROX,,Unkn,049-2,4.21822155513555,,Unknown,Unassigned,False
,D06,ROX,,Unkn,049-3,2.21415937781212,,Unknown,Unassigned,False
,D07,ROX,,Unkn,049-4,3.46083496652982,,Unknown,Unassigned,False
,D08,ROX,,Unkn,049-5,2.15954118075724,,Unknown,Unassigned,False
,D09,ROX,,Unkn,052-1,4.85864385814011,,Unknown,Unassigned,False
,E02,ROX,,Unkn,052-2,3.93295101377817,,Unknown,Unassigned,False
,E03,ROX,,Unkn,052-3,2.79504087803625,,Unknown,Unassigned,False
,E04,ROX,,Unkn,052-4,2.34700243683274,,Unknown,Unassigned,False
,E05,ROX,,Unkn,052-5,3.44503936676856,,Unknown,Unassigned,False
,E06,ROX,,Unkn,053-1,4.51732889364366,,Unknown,Unassigned,False
,E07,ROX,,Unkn,053-2,2.34626907871052,,Unknown,Unassigned,False
,E08,ROX,,Unkn,053-3,2.21288331970936,,Unknown,Unassigned,False
,E09,ROX,,Unkn,053-4,4.56115829408573,,Unknown,Unassigned,False
,F02,ROX,,Unkn,053-5,1.26093189626245,,Unknown,Unassigned,False
,F03,ROX,,Unkn,069-1,2.36334156173225,,Unknown,Unassigned,False
,F04,ROX,,Unkn,069-2,1.9259502510612,,Unknown,Unassigned,False
,F05,ROX,,Unkn,069-3,5.92613319504699,,Unknown,Unassigned,False
,F06,ROX,,Unkn,069-4,5.7561766334743,,Unknown,Unassigned,False
,F07,ROX,,Unkn,069-5,2.62247266719933,,Unknown,Unassigned,False
,F08,ROX,,Unkn,070-1,4.9340956811182,,Unknown,Unassigned,False
,F09,ROX,,Unkn,070-2,3.14629682398981,,Unknown,Unassigned,False
,G02,ROX,,Unkn,070-3,6.07678736309008,,Unknown,Unassigned,False
,G03,ROX,,Unkn,070-4,5.84889269829191,,Unknown,Unassigned,False
,G04,ROX,,Unkn,070-5,4.6137637006861,,Unknown,Unassigned,False
,G05,ROX,,Unkn,076-1,2.7986188286689,,Unknown,Unassigned,False
,G06,ROX,,Unkn,076-2,0.245374274744881,,Unknown,Unassigned,False
,G07,ROX,,Unkn,076-3,2.10349658549285,,Unknown,Unassigned,False
,G08,ROX,,Unkn,076-4,1.39822627786298,,Unknown,Unassigned,False
,G09,ROX,,Unkn,076-5,2.86479405690734,,Unknown,Unassigned,False
,H02,ROX,,Unkn,122-1,4.52918679915638,,Unknown,Unassigned,False
,H03,ROX,,Unkn,122-2,-1.73628534655727,,Unknown,Unassigned,False
,H04,ROX,,Unkn,122-3,0.980738930919779,,Unknown,Unassigned,False
,H05,ROX,,Unkn,122-4,1.14162370612803,,Unknown,Unassigned,False
,H06,ROX,,Unkn,122-5,1.4923773296372,,Unknown,Unassigned,False
,H07,ROX,,Unkn,019-1,1.38787027723802,,Unknown,Unassigned,False
,H08,ROX,,Unkn,019-2,-2.43057281044321,,Unknown,Unassigned,False
,H09,ROX,,Unkn,019-3,-2.99711932061582,,Unknown,Unassigned,False
