,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,,Unkn,048-1,-2.02684529420194,,Unknown,Unassigned,False
,A02,ROX,,Unkn,048-2,-2.62706395099449,,Unknown,Unassigned,False
,A03,ROX,,Unkn,014-1,-0.908715621948431,,Unknown,Unassigned,False
,A04,ROX,,Unkn,014-2,67.2920429375277,,Unknown,Unassigned,False
,A05,ROX,,Unkn,014-3,-2.74476516018076,,Unknown,Unassigned,False
,A06,ROX,,Unkn,007-1,-1.64192604549535,,Unknown,Unassigned,False
,A07,ROX,,Unkn,007-2,-0.8018702019599,,Unknown,Unassigned,False
,A08,ROX,,Unkn,007-3,-4.44714519618647,,Unknown,Unassigned,False
,A09,ROX,,Unkn,007-4,-3.75778270561505,,Unknown,Unassigned,False
,A10,ROX,,Unkn,007-5,-1.20981127905634,,Unknown,Unassigned,False
,A11,ROX,,Unkn,008-1,-2.01136148780834,,Unknown,Unassigned,False
,A12,ROX,,Unkn,008-2,-4.95070781300583,,Unknown,Unassigned,False
,B01,ROX,,Unkn,008-3,68.6812419374729,,Unknown,Unassigned,False
,B02,ROX,,Unkn,008-4,-2.51038512450723,,Unknown,Unassigned,False
,B03,ROX,,Unkn,008-5,-3.46625086747927,,Unknown,Unassigned,False
,B04,ROX,,Unkn,011-1,-1.61359256408914,,Unknown,Unassigned,False
,B05,ROX,,Unkn,011-2,-3.03792995555941,,Unknown,Unassigned,False
,B06,ROX,,Unkn,011-3,72.6233114554337,,Unknown,Unassigned,False
,B07,ROX,,Unkn,011-4,-2.1262908110084,,Unknown,Unassigned,False
,B08,ROX,,Unkn,011-5,101.033571586002,,Unknown,Unassigned,False
,B09,ROX,,Unkn,026-1,-1.77151869759382,,Unknown,Unassigned,False
,B10,ROX,,Unkn,026-2,-1.4287744527257,,Unknown,Unassigned,False
,B11,ROX,,Unkn,026-3,-5.0276154105115,,Unknown,Unassigned,False
,B12,ROX,,Unkn,026-4,-3.02850207239744,,Unknown,Unassigned,False
,C01,ROX,,Unkn,026-5,-0.884518640974693,,Unknown,Unassigned,False
,C02,ROX,,Unkn,028-1,-1.44038438489606,,Unknown,Unassigned,False
,C03,ROX,,Unkn,028-2,-0.263173303164967,,Unknown,Unassigned,False
,C04,ROX,,Unkn,028-3,90.6336901546844,,Unknown,Unassigned,False
,C05,ROX,,Unkn,028-4,-2.88033187402389,,Unknown,Unassigned,False
,C06,ROX,,Unkn,028-5,-2.28834029148084,,Unknown,Unassigned,False
,C07,ROX,,Unkn,030-1,-2.29359514276794,,Unknown,Unassigned,False
,C08,ROX,,Unkn,030-2,-3.46216370892771,,Unknown,Unassigned,False
,C09,ROX,,Unkn,030-3,-0.998010628120301,,Unknown,Unassigned,False
,C10,ROX,,Unkn,030-4,-2.57909163557488,,Unknown,Unassigned,False
,C11,ROX,,Unkn,030-5,-2.7190718381722,,Unknown,Unassigned,False
,C12,ROX,,Unkn,034-1,-3.47075560186031,,Unknown,Unassigned,False
,D01,ROX,,Unkn,034-2,-0.880807980695499,,Unknown,Unassigned,False
,D02,ROX,,Unkn,034-3,51.7212335757933,,Unknown,Unassigned,False
,D03,ROX,,Unkn,034-4,141.933007638401,,Unknown,Unassigned,False
,D04,ROX,,Unkn,034-5,-4.02817094776656,,Unknown,Unassigned,False
,D05,ROX,,Unkn,051-1,-4.68324826678427,,Unknown,Unassigned,False
,D06,ROX,,Unkn,051-2,-4.41712966283067,,Unknown,Unassigned,False
,D07,ROX,,Unkn,051-3,-4.20947404570452,,Unknown,Unassigned,False
,D08,ROX,,Unkn,051-4,-0.328173844452886,,Unknown,Unassigned,False
,D09,ROX,,Unkn,051-5,-3.397963588332,,Unknown,Unassigned,False
,D10,ROX,,Unkn,056-1,-4.11622630386109,,Unknown,Unassigned,False
,D11,ROX,,Unkn,056-2,-1.59109154960734,,Unknown,Unassigned,False
,D12,ROX,,Unkn,056-3,-3.40030418923734,,Unknown,Unassigned,False
,E01,ROX,,Unkn,056-4,-1.37353332222992,,Unknown,Unassigned,False
,E02,ROX,,Unkn,056-5,-3.02285273061798,,Unknown,Unassigned,False
,E03,ROX,,Unkn,059-1,-5.46825368019718,,Unknown,Unassigned,False
,E04,ROX,,Unkn,059-2,-0.863209854535125,,Unknown,Unassigned,False
,E05,ROX,,Unkn,059-3,-2.96818032116798,,Unknown,Unassigned,False
,E06,ROX,,Unkn,059-4,-0.678244317146164,,Unknown,Unassigned,False
,E07,ROX,,Unkn,059-5,-2.85517298581908,,Unknown,Unassigned,False
,E08,ROX,,Unkn,086-1,-2.41633040117158,,Unknown,Unassigned,False
,E09,ROX,,Unkn,086-2,-4.3760688953048,,Unknown,Unassigned,False
,E10,ROX,,Unkn,086-3,-3.36395501059742,,Unknown,Unassigned,False
,E11,ROX,,Unkn,086-4,-1.05629432616552,,Unknown,Unassigned,False
,E12,ROX,,Unkn,086-5,-1.48777326629597,,Unknown,Unassigned,False
,F01,ROX,,Unkn,087-1,0.595945653513081,,Unknown,Unassigned,False
,F02,ROX,,Unkn,087-2,-2.33911186734094,,Unknown,Unassigned,False
,F03,ROX,,Unkn,087-3,-1.63787878827225,,Unknown,Unassigned,False
,F04,ROX,,Unkn,087-4,-3.19907458906937,,Unknown,Unassigned,False
,F05,ROX,,Unkn,087-5,-0.888598317625656,,Unknown,Unassigned,False
,F06,ROX,,Unkn,101-1,30.3150931180228,,Unknown,Unassigned,False
,F07,ROX,,Unkn,101-2,-3.18478136152999,,Unknown,Unassigned,False
,F08,ROX,,Unkn,101-3,-3.41992415839186,,Unknown,Unassigned,False
,F09,ROX,,Unkn,101-4,-0.778218497741545,,Unknown,Unassigned,False
,F10,ROX,,Unkn,101-5,-2.59266672108324,,Unknown,Unassigned,False
,F11,ROX,,Unkn,104-1,-3.76039657824667,,Unknown,Unassigned,False
,F12,ROX,,Unkn,104-2,-4.68415475709317,,Unknown,Unassigned,False
,G01,ROX,,Unkn,104-3,6.48772876275925,,Unknown,Unassigned,False
,G02,ROX,,Unkn,104-4,0.905885224092617,,Unknown,Unassigned,False
,G03,ROX,,Unkn,104-5,-0.0318055326424656,,Unknown,Unassigned,False
,G04,ROX,,Unkn,112-1,-1.37268684754135,,Unknown,Unassigned,False
,G05,ROX,,Unkn,112-2,-1.02465685316138,,Unknown,Unassigned,False
,G06,ROX,,Unkn,112-3,-1.30722440403124,,Unknown,Unassigned,False
,G07,ROX,,Unkn,112-4,-1.57552705022626,,Unknown,Unassigned,False
,G08,ROX,,Unkn,112-5,-2.30601119963703,,Unknown,Unassigned,False
,G09,ROX,,Unkn,120-1,-2.03364024018701,,Unknown,Unassigned,False
,G10,ROX,,Unkn,120-2,0.00807817080376481,,Unknown,Unassigned,False
,G11,ROX,,Unkn,120-3,131.405006318225,,Unknown,Unassigned,False
,G12,ROX,,Unkn,120-4,-4.14755553478235,,Unknown,Unassigned,False
,H01,ROX,,Unkn,120-5,-3.25296784551838,,Unknown,Unassigned,False
,H02,ROX,,Unkn,123-1,-3.55428827426085,,Unknown,Unassigned,False
,H03,ROX,,Unkn,123-2,-3.77078251663252,,Unknown,Unassigned,False
,H04,ROX,,Unkn,123-3,-2.48544744749788,,Unknown,Unassigned,False
,H05,ROX,,Unkn,123-4,-2.21082354732816,,Unknown,Unassigned,False
,H06,ROX,,Unkn,123-5,-2.00409433699124,,Unknown,Unassigned,False
,H07,ROX,,Unkn,125-1,-2.64514813032192,,Unknown,Unassigned,False
,H08,ROX,,Unkn,125-2,-3.43735215476363,,Unknown,Unassigned,False
,H09,ROX,,Unkn,125-3,-4.74963046497669,,Unknown,Unassigned,False
,H10,ROX,,Unkn,125-4,-3.07315834542587,,Unknown,Unassigned,False
,H11,ROX,,Unkn,125-5,-5.29304717231398,,Unknown,Unassigned,False
,H12,ROX,,Unkn,Blank,-3.26093887983261,,Unknown,Unassigned,False
